0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Arun Jaitley Stadium,10.0,0,47,2,0,2/47,23.50,30.00,4.70
Brisbane Cricket Ground,9.0,0,45,0,0,0/45,,,5.00
Civil Service Cricket Club,31.0,2,145,6,0,3/29,24.17,31.00,4.68
County Ground (Bristol),10.0,0,60,3,0,3/60,20.00,20.00,6.00
Edgbaston,9.0,0,50,1,0,1/50,50.00,54.00,5.56
Headingley,5.0,0,31,1,0,1/31,31.00,30.00,6.20
Kennington Oval,10.0,1,44,1,0,1/44,44.00,60.00,4.40
Lord's,9.0,1,44,0,0,0/44,,,4.89
M Chinnaswamy Stadium,18.0,0,127,2,0,2/71,63.50,54.00,7.06
National Stadium (Karachi),25.0,2,128,6,1,4/23,21.33,25.00,5.12
Old Trafford,10.0,0,43,0,0,0/43,,,4.30
Shere Bangla National Stadium,38.4,0,204,8,1,4/40,25.50,29.00,5.28
SuperSport Park,7.0,0,32,0,0,0/32,,,4.57
Sydney Cricket Ground,10.0,0,33,0,0,0/33,,,3.30
The Rose Bowl,7.0,0,42,0,0,0/42,,,6.00
Titwood,10.0,0,42,2,0,2/42,21.00,30.00,4.20
Overall (16),218.4,6,1117,32,2,4/23,34.91,41.00,5.11
