0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,16/11/2014,Sri Lanka,JSCA International Stadium Complex,b B A W Mendis,20,24,83.33,,20,20.00,83.33
2,10/07/2015,Zimbabwe,Harare Sports Club,c †R Mutumbami b C J Chibhabha,5,13,38.46,,25,12.50,67.57
3,12/07/2015,Zimbabwe,Harare Sports Club,c †R Mutumbami b N Madziva,16,13,123.08,,41,13.67,82.00
4,14/07/2015,Zimbabwe,Harare Sports Club,not out,105*,87,120.69,,146,48.67,106.57
5,11/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,146,48.67,106.57
6,13/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,146,48.67,106.57
7,15/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,146,48.67,106.57
8,16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,not out,10*,12,83.33,,156,52.00,104.70
9,20/10/2016,New Zealand,Arun Jaitley Stadium,c †L Ronchi b M J Henry,41,37,110.81,,197,49.25,105.91
10,23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,197,49.25,105.91
11,26/10/2016,New Zealand,JSCA International Stadium Complex,lbw b T G Southee,0,1,0.00,,197,39.40,105.35
12,29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,not out,39*,37,105.41,,236,47.20,105.36
13,15/01/2017,England,Maharashtra Cricket Association Stadium,c B A Stokes b J T Ball,120,76,157.89,,356,59.33,118.67
14,19/01/2017,England,Barabati Stadium,c J T Ball b L E Plunkett,22,10,220.00,,378,54.00,121.94
15,22/01/2017,England,Eden Gardens,c S W Billings b C R Woakes,90,75,120.00,,468,58.50,121.56
16,04/06/2017,Pakistan,Edgbaston,did not bat,-,-,-,,468,58.50,121.56
17,08/06/2017,Sri Lanka,Kennington Oval,not out,25*,13,192.31,,493,61.63,123.87
18,11/06/2017,South Africa,Kennington Oval,did not bat,-,-,-,,493,61.63,123.87
19,15/06/2017,Bangladesh,Edgbaston,did not bat,-,-,-,,493,61.63,123.87
20,18/06/2017,Pakistan,Kennington Oval,c †Sarfaraz Ahmed b Shadab Khan,9,13,69.23,,502,55.78,122.14
21,23/06/2017,West Indies,Queen's Park Oval,did not bat,-,-,-,,502,55.78,122.14
22,25/06/2017,West Indies,Queen's Park Oval,not out,13*,6,216.67,,515,57.22,123.50
23,30/06/2017,West Indies,Sir Vivian Richards Stadium,not out,40*,26,153.85,,555,61.67,125.28
24,02/07/2017,West Indies,Sir Vivian Richards Stadium,c †S D Hope b A R Nurse,10,14,71.43,,565,56.50,123.63
25,06/07/2017,West Indies,Sabina Park,did not bat,-,-,-,,565,56.50,123.63
26,20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-,-,,565,56.50,123.63
27,24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,b A Dananjaya,1,3,33.33,,566,51.45,123.04
28,27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,lbw b A Dananjaya,0,2,0.00,,566,47.17,122.51
29,03/09/2017,Sri Lanka,R Premadasa Stadium,c †N Dickwella b P W H de Silva,63,73,86.30,,629,48.38,117.57
30,17/09/2017,Australia,MA Chidambaram Stadium,c H W R Cartwright b M P Stoinis,40,54,74.07,,669,47.79,113.58
31,21/09/2017,Australia,Eden Gardens,c G J Maxwell b N M Coulter-Nile,24,24,100.00,,693,46.20,113.05
32,24/09/2017,Australia,Holkar Cricket Stadium,c †P S P Handscomb b K W Richardson,2,4,50.00,,695,43.44,112.64
33,28/09/2017,Australia,M Chinnaswamy Stadium,c A J Finch b K W Richardson,67,69,97.10,,762,44.82,111.08
34,01/10/2017,Australia,Vidarbha Cricket Association Stadium,not out,5*,8,62.50,,767,45.12,110.52
35,22/10/2017,New Zealand,Wankhede Stadium,c & b M J Santner,12,25,48.00,,779,43.28,108.34
36,25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,779,43.28,108.34
37,29/10/2017,New Zealand,Green Park,c M J Guptill b A F Milne,18,10,180.00,,797,41.95,109.33
38,01/02/2018,South Africa,Kingsmead,did not bat,-,-,-,,797,41.95,109.33
39,04/02/2018,South Africa,SuperSport Park,did not bat,-,-,-,,797,41.95,109.33
40,07/02/2018,South Africa,Newlands,c †H Klaasen b A L Phehlukwayo,1,3,33.33,,798,39.90,109.02
41,18/09/2018,Hong Kong,Dubai International Cricket Stadium,not out,28*,27,103.70,,826,41.30,108.83
42,19/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-,-,,826,41.30,108.83
43,21/09/2018,Bangladesh,Dubai International Cricket Stadium,did not bat,-,-,-,,826,41.30,108.83
44,23/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-,-,,826,41.30,108.83
45,25/09/2018,Afghanistan,Dubai International Cricket Stadium,run out,19,26,73.08,,845,40.24,107.64
46,28/09/2018,Bangladesh,Dubai International Cricket Stadium,not out,23*,27,85.19,,868,41.33,106.90
47,29/10/2018,West Indies,Brabourne Stadium,not out,16*,7,228.57,,884,42.10,107.94
48,01/11/2018,West Indies,Greenfield International Stadium,did not bat,-,-,-,,884,42.10,107.94
49,18/01/2019,Australia,Melbourne Cricket Ground,not out,61*,57,107.02,,945,45.00,107.88
50,23/01/2019,New Zealand,McLean Park,did not bat,-,-,-,,945,45.00,107.88
51,26/01/2019,New Zealand,Bay Oval,not out,22*,10,220.00,,967,46.05,109.14
52,28/01/2019,New Zealand,Bay Oval,did not bat,-,-,-,,967,46.05,109.14
53,31/01/2019,New Zealand,Seddon Park,lbw b T A Boult,1,7,14.29,,968,44.00,108.40
54,03/02/2019,New Zealand,Westpac Stadium,b M J Henry,34,45,75.56,,1002,43.57,106.82
55,02/03/2019,Australia,Rajiv Gandhi International Stadium,not out,81*,87,93.10,,1083,47.09,105.66
56,05/03/2019,Australia,Vidarbha Cricket Association Stadium,c A J Finch b A Zampa,11,12,91.67,,1094,45.58,105.50
57,08/03/2019,Australia,JSCA International Stadium Complex,lbw b A Zampa,26,39,66.67,,1120,44.80,104.09
58,10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,c J A Richardson b P J Cummins,10,12,83.33,,1130,43.46,103.86
59,13/03/2019,Australia,Arun Jaitley Stadium,c G J Maxwell b J A Richardson,44,57,77.19,,1174,43.48,102.53
60,05/06/2019,South Africa,The Rose Bowl,did not bat,-,-,-,,1174,43.48,102.53
61,09/06/2019,Australia,Kennington Oval,not out,0*,0,-,,1174,43.48,102.53
62,16/06/2019,Pakistan,Old Trafford,not out,9*,8,112.50,,1183,43.81,102.60
63,22/06/2019,Afghanistan,The Rose Bowl,c sub b Gulbadin Naib,52,68,76.47,,1235,44.11,101.15
64,27/06/2019,West Indies,Old Trafford,c †S D Hope b K A J Roach,7,10,70.00,,1242,42.83,100.89
65,30/06/2019,England,Edgbaston,not out,12*,13,92.31,,1254,43.24,100.80
66,08/08/2019,West Indies,Providence Stadium,did not bat,-,-,-,,1254,43.24,100.80
67,11/08/2019,West Indies,Queen's Park Oval,run out,16,14,114.29,,1270,42.33,100.95
68,14/08/2019,West Indies,Queen's Park Oval,not out,19*,12,158.33,,1289,42.97,101.50
No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,No. of Innings Played = 47,,
