0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,56.1,3,259,8,0,2/23,32.38,42.13,4.61
Bangladesh,7.0,0,31,0,0,0/31,,,4.43
England,19.0,1,90,3,0,2/36,30.00,38.00,4.74
Kenya,10.0,3,24,0,0,0/24,,,2.40
New Zealand,24.0,0,104,3,0,2/47,34.67,48.00,4.33
Pakistan,121.2,9,539,11,0,2/29,49.00,66.18,4.44
South Africa,122.0,7,564,20,2,5/6,28.20,36.60,4.62
Sri Lanka,46.5,4,196,4,0,3/17,49.00,70.25,4.19
West Indies,54.0,2,232,3,0,2/30,77.33,108.00,4.30
Zimbabwe,104.0,4,470,17,0,3/40,27.65,36.71,4.52
Overall (10),564.2,33,2509,69,2,5/6,36.36,49.07,4.45
