0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,22/02/1995,Australia,Carisbrook,did not bat,-,-,-,,0,,
2,09/04/1995,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,0,,
3,14/04/1995,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,0,,
4,18/11/1995,New Zealand,Gandhi Sports Complex Ground,did not bat,-,-,-,,0,,
5,24/11/1995,New Zealand,Nehru Stadium (Pune),did not bat,-,-,-,,0,,
6,26/11/1995,New Zealand,Vidarbha Cricket Association Ground,lbw b G R Larsen,6,6,100.00,,6,6.00,100.00
7,29/11/1995,New Zealand,Brabourne Stadium,did not bat,-,-,-,,6,6.00,100.00
8,21/02/1996,West Indies,Captain Roop Singh Stadium,did not bat,-,-,-,,6,6.00,100.00
9,13/03/1996,Sri Lanka,Eden Gardens,c P A de Silva b M Muralitharan,0,1,0.00,,6,3.00,85.71
10,15/04/1996,Pakistan,Sharjah Cricket Stadium,did not bat,-,-,-,,6,3.00,85.71
11,28/08/1996,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,6,3.00,85.71
12,18/09/1996,Pakistan,"Cricket, Skating & Curling Club",c Mushtaq Ahmed b Saqlain Mushtaq,0,3,0.00,,6,2.00,60.00
13,21/09/1996,Pakistan,"Cricket, Skating & Curling Club",c †Moin Khan b Waqar Younis,19,33,57.58,,25,6.25,58.14
14,23/09/1996,Pakistan,"Cricket, Skating & Curling Club",c Ijaz Ahmed b Mushtaq Ahmed,18,19,94.74,,43,8.60,69.35
15,29/10/1996,South Africa,Madhavrao Scindia Cricket Ground,lbw b L Klusener,0,1,0.00,,43,7.17,68.25
16,11/12/2000,Zimbabwe,Green Park,did not bat,-,-,-,,43,7.17,68.25
17,14/12/2000,Zimbabwe,Madhavrao Scindia Cricket Ground,did not bat,-,-,-,,43,7.17,68.25
No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,,
