0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,21/01/1983,Pakistan,National Stadium (Karachi),,8.0,0/47,,,5.88,,
2.0,09/03/1983,West Indies,Queen's Park Oval,C G Greenidge (c S Madan Lal),9.0,1/62,,102.00,6.41,1,109.00
3.0,12/10/1984,Pakistan,Ayub National Stadium,Zaheer Abbas (c & b),5.0,1/24,,66.00,6.05,2,66.50
4.0,10/04/1986,New Zealand,Sharjah Cricket Stadium,T E Blain (c S M Patil),9.0,3/23,,37.20,5.03,3,31.20
,,,,K R Rutherford (b),,,,,,4,
,,,,M C Snedden (c S M Patil),,,,,,5,
5.0,13/04/1986,Sri Lanka,Sharjah Cricket Stadium,R L Dias (b),10.0,1/19,,41.00,4.27,6,29.17
6.0,18/04/1986,Pakistan,Sharjah Cricket Stadium,Ramiz Raja (b),10.0,1/36,,43.71,4.14,7,30.14
7.0,24/05/1986,England,Kennington Oval,A J Lamb (c Kapil Dev),11.0,1/31,,46.50,3.90,8,30.25
8.0,26/05/1986,England,Old Trafford,,11.0,0/55,,54.75,4.07,,37.13
9.0,07/09/1986,Australia,Sawai Mansingh Stadium,,10.0,0/42,,62.25,4.08,,42.38
10.0,09/09/1986,Australia,Sher-I-Kashmir Stadium,,10.0,0/50,,69.75,4.18,,48.63
11.0,24/09/1986,Australia,Lal Bahadur Shastri Stadium,,7.0,0/42,,75.00,4.31,,53.88
12.0,02/10/1986,Australia,Arun Jaitley Stadium,A R Border (c R Lamba),10.0,2/30,,66.00,4.19,9,46.10
,,,,G R J Matthews (st †C S Pandit),,,,,,10,
13.0,05/10/1986,Australia,Sardar Patel Stadium,,10.0,0/29,,72.00,4.08,,49.00
14.0,07/10/1986,Australia,Madhavrao Scindia Cricket Ground,,10.0,0/49,,78.00,4.15,,53.90
15.0,27/11/1986,Sri Lanka,Sharjah Cricket Stadium,,2.0,0/8,,79.20,4.14,,54.70
16.0,30/11/1986,West Indies,Sharjah Cricket Stadium,I V A Richards (c R M H Binny),8.0,1/30,,76.36,4.12,11,52.45
17.0,05/12/1986,Pakistan,Sharjah Cricket Stadium,Imran Khan (c D B Vengsarkar),9.0,4/22,,59.60,4.02,12,39.93
,,,,Javed Miandad (c & b),,,,,,13,
,,,,Shoaib Mohammad (c S M Gavaskar),,,,,,14,
,,,,Mudassar Nazar (c K Srikkanth),,,,,,15,
18.0,24/12/1986,Sri Lanka,Green Park,R G De Alwis (b),10.0,3/24,,53.00,3.92,16,34.61
,,,,R L Dias (c & b),,,,,,17,
,,,,A P Gurusinha (c S Madan Lal),,,,,,18,
