0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,18.0,3,69,2,0,1/31,34.50,54.00,3.83
AMI Stadium,7.2,0,79,0,0,0/79,,,10.77
Bellerive Oval,9.0,0,51,0,0,0/51,,,5.67
County Ground (Bristol),8.0,0,70,3,0,3/70,23.33,16.00,8.75
Eden Gardens,7.0,1,25,2,0,2/25,12.50,21.00,3.57
Edgbaston,5.0,0,37,1,0,1/37,37.00,30.00,7.40
Green Park,6.4,0,36,2,0,2/36,18.00,20.00,5.40
Holkar Cricket Stadium,7.0,0,31,0,0,0/31,,,4.43
Keenan Stadium,7.0,0,37,0,0,0/37,,,5.29
Kennington Oval,8.5,0,63,1,0,1/63,63.00,53.00,7.13
Kingsmead,17.0,3,75,4,0,2/36,18.75,25.50,4.41
Kinrara Academy Oval,34.0,3,134,7,0,3/53,19.14,29.14,3.94
Lord's,9.5,0,54,1,0,1/54,54.00,59.00,5.49
M Chinnaswamy Stadium,18.5,1,117,5,0,2/22,23.40,22.60,6.21
MA Chidambaram Stadium,8.0,0,29,0,0,0/9,,,3.63
Madhavrao Scindia Cricket Ground,15.0,1,69,5,1,4/49,13.80,18.00,4.60
McLean Park,2.0,0,14,0,0,0/14,,,7.00
Nehru Stadium (Guwahati),12.0,1,52,1,0,1/13,52.00,72.00,4.33
Nehru Stadium (Margao),18.0,2,88,1,0,1/41,88.00,108.00,4.89
Newlands,10.0,1,42,2,0,2/42,21.00,30.00,4.20
Punjab Cricket Association IS Bindra Stadium,18.4,1,101,2,0,2/40,50.50,56.00,5.41
Queen's Park Oval,55.3,7,251,10,0,3/35,25.10,33.30,4.52
R Premadasa Stadium,26.0,2,110,5,0,3/42,22.00,31.20,4.23
Rajiv Gandhi International Stadium,9.0,0,73,0,0,0/73,,,8.11
Rangiri Dambulla International Stadium,36.0,3,152,7,0,3/21,21.71,30.86,4.22
Reliance Stadium,10.0,0,28,1,0,1/28,28.00,60.00,2.80
Sabina Park,16.0,2,87,1,0,1/48,87.00,96.00,5.44
Sardar Patel Stadium,15.0,2,73,1,0,1/29,73.00,90.00,4.87
Sawai Mansingh Stadium,16.0,2,52,4,0,3/18,13.00,24.00,3.25
Shere Bangla National Stadium,24.0,1,113,4,1,4/48,28.25,36.00,4.71
Sir Vivian Richards Stadium,10.0,1,60,3,0,3/60,20.00,20.00,6.00
Sophia Gardens,4.0,0,26,0,0,0/26,,,6.50
St George's Park,8.0,1,49,0,0,0/49,,,6.13
SuperSport Park,8.0,0,50,3,0,3/50,16.67,16.00,6.25
The Rose Bowl,5.0,0,35,0,0,0/35,,,7.00
Titwood,9.0,0,36,2,0,2/36,18.00,27.00,4.00
Vidarbha Cricket Association Stadium,10.0,0,65,2,0,2/65,32.50,30.00,6.50
Wanderers Stadium,8.0,0,29,4,1,4/29,7.25,12.00,3.63
Wankhede Stadium,9.0,0,41,0,0,0/41,,,4.56
Overall (39),525.4,38,2603,86,3,4/29,30.27,36.67,4.95
