0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,05/01/1988,West Indies,Madhavrao Scindia Cricket Ground,D L Haynes (b),4.0,1/44,,24.00,11.00,1,44.00
2.0,22/01/1988,West Indies,Captain Roop Singh Stadium,,3.0,0/23,,42.00,9.57,,67.00
3.0,27/03/1988,New Zealand,Sharjah Cricket Stadium,,1.0,0/1,,48.00,8.50,,68.00
4.0,01/04/1988,New Zealand,Sharjah Cricket Stadium,I D S Smith (c S K Sharma),2.0,1/23,,30.00,9.10,2,45.50
5.0,17/12/1988,New Zealand,Moti Bagh Stadium,,1.0,0/11,,33.00,9.27,,51.00
6.0,08/03/1990,Australia,Seddon Park,,10.0,0/43,,63.00,6.90,,72.50
7.0,14/12/1996,South Africa,Wankhede Stadium,,6.0,0/25,,81.00,6.30,,85.00
