0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,28/01/2014,New Zealand,Seddon Park,,3.0,0/23,,,7.67,,
2.0,26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,,3.0,0/17,,,6.67,,
3.0,28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium,,1.0,0/9,,,7.00,,
4.0,30/08/2014,England,Trent Bridge,A N Cook (st †M S Dhoni),2.0,1/8,,54.00,6.33,1,57.00
5.0,09/11/2014,Sri Lanka,Rajiv Gandhi International Stadium,T M Dilshan (c A M Rahane),3.0,1/16,,36.00,6.08,2,36.50
6.0,16/11/2014,Sri Lanka,JSCA International Stadium Complex,,4.0,0/33,,48.00,6.63,,53.00
7.0,24/06/2015,Bangladesh,Shere Bangla National Stadium,Mustafizur Rahman (lbw),2.0,1/5,,36.00,6.17,3,37.00
8.0,19/09/2018,Pakistan,Dubai International Cricket Stadium,,0.1,0/0,,36.33,6.11,,37.00
9.0,12/01/2019,Australia,Sydney Cricket Ground,,2.0,0/13,,40.33,6.15,,41.33
