0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,03/12/1982,Pakistan,Jinnah Stadium (Gujwranwala),-,0,,0/55,0,,,0,,,,26 years 121 days
2.0,17/12/1982,Pakistan,Ibn-e-Qasim Bagh Stadium,-,0,,0/28,0,,,0,,,,26 years 135 days
3.0,31/12/1982,Pakistan,Gaddafi Stadium,-,0,,0/52,0,,,0,,,,26 years 149 days
4.0,21/01/1983,Pakistan,National Stadium (Karachi),-,0,,2/38,2,86.50,,0,,,,26 years 170 days
5.0,29/03/1983,West Indies,Albion Sports Complex,-,0,,2/38,4,52.75,1,1,,,,26 years 237 days
6.0,07/04/1983,West Indies,Queen's Park (Old),16*,16,,0/30,4,60.25,1,2,,,,26 years 246 days
7.0,09/06/1983,West Indies,Old Trafford,-,16,,1/36,5,55.40,1,3,,,,26 years 309 days
8.0,11/06/1983,Zimbabwe,Grace Road,-,16,,1/29,6,51.00,,3,,,,26 years 311 days
9.0,13/06/1983,Australia,Trent Bridge,9*,25,,0/52,6,59.67,1,4,,,,26 years 313 days
10.0,15/06/1983,West Indies,Kennington Oval,0,25,25.00,1/42,7,57.14,,4,,,,26 years 315 days
11.0,18/06/1983,Zimbabwe,Nevill Ground,-,25,25.00,1/44,8,55.50,,4,,,,26 years 318 days
12.0,20/06/1983,Australia,County Ground (Chelmsford),8,33,16.50,2/26,10,47.00,,4,,,,26 years 320 days
13.0,22/06/1983,England,Old Trafford,-,33,16.50,0/36,10,50.60,,4,,,,26 years 322 days
14.0,25/06/1983,West Indies,Lord's,11*,44,22.00,2/32,12,44.83,,4,,,,26 years 325 days
15.0,10/09/1983,Pakistan,Lal Bahadur Shastri Stadium,-,44,22.00,3/27,15,37.67,,4,,,,27 years 37 days
16.0,02/10/1983,Pakistan,Sawai Mansingh Stadium,-,44,22.00,0/36,15,40.07,,4,,,,27 years 59 days
17.0,13/10/1983,West Indies,Sher-I-Kashmir Stadium,0,44,14.67,0/10,15,40.73,,4,,,,27 years 70 days
18.0,09/11/1983,West Indies,Moti Bagh Stadium,-,44,14.67,0/53,15,44.27,1,5,,,,27 years 97 days
19.0,01/12/1983,West Indies,Nehru Stadium (Indore),-,44,14.67,0/26,15,46.00,,5,,,,27 years 119 days
20.0,06/10/1984,Australia,Nehru Stadium (Indore),-,44,14.67,0/38,15,48.53,,5,,,,28 years 64 days
21.0,12/10/1984,Pakistan,Ayub National Stadium,7,51,12.75,1/35,16,47.69,,5,,,,28 years 70 days
22.0,31/10/1984,Pakistan,Jinnah Stadium (Sialkot),-,51,12.75,,16,47.69,,5,,,,28 years 89 days
