0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,02/01/1988,West Indies,Eden Gardens,C A Walsh (c sub),5.5,1/29,,35.00,4.97,1,29.00
2.0,05/01/1988,West Indies,Madhavrao Scindia Cricket Ground,R B Richardson (c Kapil Dev),6.0,1/31,,35.50,5.07,2,30.00
3.0,07/01/1988,West Indies,Sardar Patel Stadium,,5.0,0/24,,50.50,4.99,,42.00
4.0,22/01/1988,West Indies,Captain Roop Singh Stadium,D L Haynes (b),6.0,1/42,,45.67,5.52,3,42.00
5.0,25/01/1988,West Indies,University Stadium,,6.5,0/47,,59.33,5.83,,57.67
6.0,01/04/1988,New Zealand,Sharjah Cricket Stadium,R H Vance (c †K S More),6.0,1/21,,53.50,5.44,4,48.50
7.0,16/10/1988,West Indies,Sharjah Cricket Stadium,W K M Benjamin (lbw),7.3,5/26,,28.78,5.10,5,24.44
,,,,C G Greenidge (c Kapil Dev),,,,,,6,
,,,,R A Harper (b),,,,,,7,
,,,,B P Patterson (b),,,,,,8,
,,,,C A Walsh (c N S Sidhu),,,,,,9,
8.0,19/10/1988,Pakistan,Sharjah Cricket Stadium,Ramiz Raja (c Maninder Singh),8.0,1/51,,30.70,5.30,10,27.10
9.0,21/10/1988,West Indies,Sharjah Cricket Stadium,D L Haynes (b),6.0,2/25,,28.58,5.18,11,24.67
,,,,R B Richardson (c †K S More),,,,,,12,
10.0,27/10/1988,Bangladesh,MA Aziz Stadium,Azhar Hossain (lbw),9.0,1/22,,30.54,4.81,13,24.46
11.0,29/10/1988,Sri Lanka,Bangabandhu National Stadium,D S B Kuruppu (b),8.0,1/44,,31.79,4.88,14,25.86
12.0,31/10/1988,Pakistan,Bangabandhu National Stadium,,7.0,0/26,,34.79,4.78,,27.71
13.0,04/11/1988,Sri Lanka,Bangabandhu National Stadium,,5.0,0/20,,36.93,4.74,,29.14
14.0,10/12/1988,New Zealand,Indira Priyadarshini Stadium,,6.0,0/13,,39.50,4.57,,30.07
15.0,12/12/1988,New Zealand,Barabati Stadium,,5.0,0/19,,41.64,4.53,,31.43
16.0,15/12/1988,New Zealand,Nehru Stadium (Indore),A H Jones (c †C S Pandit),7.0,2/22,,39.06,4.44,15,28.88
,,,,K R Rutherford (c Kapil Dev),,,,,,16,
17.0,17/12/1988,New Zealand,Moti Bagh Stadium,,10.0,0/74,,42.81,4.69,,33.50
18.0,07/03/1989,West Indies,Kensington Oval,,8.0,0/55,,45.81,4.84,,36.94
19.0,25/04/1990,Sri Lanka,Sharjah Cricket Stadium,P A de Silva (b),10.0,2/63,,44.06,4.95,17,36.33
,,,,H P Tillakaratne (b),,,,,,18,
20.0,27/04/1990,Pakistan,Sharjah Cricket Stadium,Wasim Akram (lbw),10.0,1/52,,44.89,4.97,19,37.16
21.0,18/07/1990,England,Headingley,P A J De Freitas (b),11.0,2/57,,43.76,4.98,20,36.33
,,,,E E Hemmings (b),,,,,,21,
22.0,20/07/1990,England,Trent Bridge,P A J De Freitas (c D B Vengsarkar),10.0,1/50,,44.50,4.98,22,36.95
