0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,40.0,0,206,6,0,2/35,34.33,40.00,5.15
AMI Stadium,27.5,2,134,4,0,3/44,33.50,41.75,4.81
Arun Jaitley Stadium,36.4,2,151,3,0,1/22,50.33,73.33,4.12
Bangabandhu National Stadium,60.0,6,294,14,1,5/23,21.00,25.71,4.90
Barabati Stadium,26.0,0,111,1,0,1/41,111.00,156.00,4.27
Barkatullah Khan Stadium,8.3,1,28,0,0,0/28,,,3.29
Basin Reserve,23.0,5,76,6,0,3/31,12.67,23.00,3.30
Bellerive Oval,20.0,1,92,1,0,1/37,92.00,120.00,4.60
Boland Park,26.1,2,91,5,1,4/30,18.20,31.40,3.48
Brabourne Stadium,6.0,0,22,2,0,2/22,11.00,18.00,3.67
Brisbane Cricket Ground,27.0,3,124,6,1,4/49,20.67,27.00,4.59
Buffalo Park,20.0,0,105,3,0,2/55,35.00,40.00,5.25
Captain Roop Singh Stadium,38.0,0,134,10,0,3/37,13.40,22.80,3.53
Carisbrook,18.0,0,84,2,0,2/49,42.00,54.00,4.67
City Oval,6.0,0,25,0,0,0/25,,,4.17
County Ground (Bristol),10.0,3,31,1,0,1/31,31.00,60.00,3.10
County Ground (Hove),10.0,0,69,2,0,2/69,34.50,30.00,6.90
"Cricket, Skating & Curling Club",93.4,2,432,18,0,3/23,24.00,31.22,4.61
Eden Gardens,46.0,1,191,8,0,3/34,23.88,34.50,4.15
Eden Park,36.4,7,94,12,1,4/23,7.83,18.33,2.56
Edgbaston,8.2,3,25,2,0,2/25,12.50,25.00,3.00
Galle International Stadium,5.0,0,26,0,0,0/26,,,5.20
Gandhi Sports Complex Ground,8.1,1,26,2,0,2/26,13.00,24.50,3.18
Gandhi Stadium,7.5,0,53,1,0,1/53,53.00,47.00,6.77
Grace Road,10.0,1,35,2,0,2/35,17.50,30.00,3.50
Green Park,33.4,2,122,9,1,5/24,13.56,22.44,3.62
Harare Sports Club,18.0,2,49,5,0,3/35,9.80,21.60,2.72
Headingley,9.0,4,18,1,0,1/18,18.00,54.00,2.00
Indira Gandhi Stadium,9.0,0,55,1,0,1/55,55.00,54.00,6.11
Indira Priyadarshini Stadium,18.0,0,92,1,0,1/61,92.00,108.00,5.11
Jawaharlal Nehru Stadium (Delhi),10.0,0,69,1,0,1/69,69.00,60.00,6.90
Keenan Stadium,14.0,1,68,0,0,0/30,,,4.86
Kennington Oval,20.0,3,79,1,0,1/45,79.00,120.00,3.95
Kingsmead,44.0,3,159,4,0,1/11,39.75,66.00,3.61
Lal Bahadur Shastri Stadium,25.0,2,126,2,0,1/37,63.00,75.00,5.04
M Chinnaswamy Stadium,45.3,3,251,10,1,5/41,25.10,27.30,5.52
MA Chidambaram Stadium,15.0,0,74,2,0,1/24,37.00,45.00,4.93
Madhavrao Scindia Cricket Ground,34.0,2,160,4,0,2/37,40.00,51.00,4.71
Mangaung Oval,26.1,1,106,3,0,2/13,35.33,52.33,4.05
McLean Park,38.2,2,190,9,1,4/52,21.11,25.56,4.96
Melbourne Cricket Ground,29.0,3,123,4,0,2/39,30.75,43.50,4.24
Nahar Singh Stadium,20.0,3,80,6,0,3/38,13.33,20.00,4.00
