0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,03/02/2008,Australia,Brisbane Cricket Ground,2,2,2.00,,0,,,0,,,,22 years 80 days
2.0,13/06/2011,West Indies,Sir Vivian Richards Stadium,2,4,2.00,0/26,0,,3,3,,,,25 years 210 days
3.0,16/06/2011,West Indies,Sabina Park,22,26,8.67,,0,,,3,,,,25 years 213 days
4.0,06/09/2011,England,The Rose Bowl,11,37,9.25,,0,,,3,,,,25 years 295 days
5.0,25/10/2011,England,Eden Gardens,24,61,12.20,1/28,1,54.00,,3,,,,25 years 344 days
6.0,11/12/2011,West Indies,MA Chidambaram Stadium,104*,165,33.00,0/15,1,69.00,,3,,,,26 years 26 days
7.0,31/07/2012,Sri Lanka,R Premadasa Stadium,21,186,31.00,4/61,5,26.00,,3,,,,26 years 259 days
8.0,04/08/2012,Sri Lanka,Pallekele International Cricket Stadium,65,251,35.86,0/14,5,28.80,,3,,,,26 years 263 days
9.0,19/06/2014,Bangladesh,Shere Bangla National Stadium,2,253,31.63,,5,28.80,,3,,,,28 years 217 days
10.0,10/07/2015,Zimbabwe,Harare Sports Club,2,255,28.33,0/6,5,30.00,1,4,,,,29 years 237 days
11.0,12/07/2015,Zimbabwe,Harare Sports Club,22,277,27.70,,5,30.00,,4,,,,29 years 239 days
12.0,14/07/2015,Zimbabwe,Harare Sports Club,10,287,26.09,,5,30.00,,4,,,,29 years 241 days
