0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,13/07/1974,England,Headingley,1*,1,,1/58,1,58.00,1,1,,,,29 years 82 days
2.0,07/06/1975,England,Lord's,-,1,,0/41,1,99.00,1,2,,,,30 years 46 days
3.0,11/06/1975,East Africa,Headingley,-,1,,0/29,1,128.00,,2,,,,30 years 50 days
4.0,14/06/1975,New Zealand,Old Trafford,26*,27,,0/39,1,167.00,,2,,,,30 years 53 days
5.0,21/02/1976,New Zealand,AMI Stadium,0,27,27.00,0/39,1,206.00,,2,,,,30 years 305 days
6.0,22/02/1976,New Zealand,Eden Park,1,28,14.00,1/45,2,125.50,1,3,,,,30 years 306 days
7.0,01/10/1978,Pakistan,Ayub National Stadium,-,28,14.00,0/14,2,132.50,,3,,,,33 years 162 days
8.0,13/10/1978,Pakistan,Jinnah Stadium (Sialkot),0,28,9.33,,2,132.50,,3,,,,33 years 174 days
9.0,03/11/1978,Pakistan,Zafar Ali (Sahiwal) Stadium,-,28,9.33,2/34,4,74.75,,3,,,,33 years 195 days
10.0,09/06/1979,West Indies,Edgbaston,13*,41,13.67,0/30,4,82.25,,3,,,,34 years 48 days
11.0,13/06/1979,New Zealand,Headingley,1,42,10.50,0/34,4,90.75,,3,,,,34 years 52 days
12.0,16/06/1979,Sri Lanka,Old Trafford,9*,51,12.75,0/44,4,101.75,,3,,,,34 years 55 days
13.0,09/03/1983,West Indies,Queen's Park Oval,-,51,12.75,0/48,4,113.75,,3,,,,37 years 321 days
14.0,29/03/1983,West Indies,Albion Sports Complex,-,51,12.75,0/63,4,129.50,,3,,,,37 years 341 days
15.0,07/04/1983,West Indies,Queen's Park (Old),3,54,10.80,1/24,5,108.40,1,4,,,,37 years 350 days
