0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,5.0,0,27,0,0,0/5,,,5.40
AMI Stadium,10.0,0,71,2,0,2/71,35.50,30.00,7.10
Arbab Niaz Stadium,1.0,0,9,0,0,,,,9.00
Arun Jaitley Stadium,27.0,3,105,5,0,2/32,21.00,32.40,3.89
Bangabandhu National Stadium,6.0,0,24,0,0,,,,4.00
Barabati Stadium,12.0,0,50,0,0,,,,4.17
Bellerive Oval,4.0,0,11,0,0,,,,2.75
Boland Park,10.0,1,35,2,0,2/35,17.50,30.00,3.50
Brisbane Cricket Ground,3.0,0,15,0,0,,,,5.00
Buffalo Park,7.0,0,29,0,0,0/29,,,4.14
Captain Roop Singh Stadium,4.0,0,17,1,0,1/12,17.00,24.00,4.25
City Oval,4.3,2,6,4,1,4/6,1.50,6.75,1.33
Civil Service Cricket Club,17.3,0,88,3,0,3/36,29.33,35.00,5.03
County Ground (Bristol),2.0,0,12,1,0,1/12,12.00,12.00,6.00
Darren Sammy National Cricket Stadium,2.0,0,19,0,0,,,,9.50
Dr YS Rajasekhara Reddy Cricket Stadium,18.0,0,103,3,0,3/55,34.33,36.00,5.72
Eden Gardens,5.0,0,37,0,0,,,,7.40
Edgbaston,9.2,0,45,2,0,1/6,22.50,28.00,4.82
Gaddafi Stadium,2.0,0,18,0,0,,,,9.00
Green Park,15.0,0,72,2,0,1/18,36.00,45.00,4.80
Gymkhana Club Ground,18.0,2,63,1,0,1/15,63.00,108.00,3.50
Harare Sports Club,10.0,1,39,1,0,1/39,39.00,60.00,3.90
Himachal Pradesh Cricket Association Stadium,2.0,0,15,0,0,0/15,,,7.50
Holkar Cricket Stadium,17.0,0,59,5,1,4/28,11.80,20.40,3.47
JSCA International Stadium Complex,1.0,0,12,0,0,,,,12.00
Keenan Stadium,7.4,0,46,1,0,1/10,46.00,46.00,6.00
Kennington Oval,14.0,0,119,1,0,1/37,119.00,84.00,8.50
Kingsmead,12.0,0,75,1,0,1/43,75.00,72.00,6.25
Lal Bahadur Shastri Stadium,5.0,0,25,0,0,,,,5.00
Lord's,18.0,0,92,4,0,3/39,23.00,27.00,5.11
M Chinnaswamy Stadium,39.0,0,221,7,1,5/31,31.57,33.43,5.67
MA Chidambaram Stadium,19.0,0,109,5,0,2/5,21.80,22.80,5.74
Maharashtra Cricket Association Stadium,8.0,0,48,2,0,2/34,24.00,24.00,6.00
McLean Park,6.0,0,42,1,0,1/42,42.00,36.00,7.00
Melbourne Cricket Ground,2.0,0,11,0,0,,,,5.50
Nahar Singh Stadium,10.0,0,39,1,0,1/39,39.00,60.00,3.90
National Stadium (Karachi),6.0,0,37,0,0,,,,6.17
Nehru Stadium (Guwahati),20.0,1,94,3,0,3/43,31.33,40.00,4.70
Nehru Stadium (Kochi),21.0,1,104,2,0,2/34,52.00,63.00,4.95
Nehru Stadium (Margao),6.0,0,35,0,0,,,,5.83
Nehru Stadium (Pune),2.0,0,14,0,0,0/14,,,7.00
Newlands,8.0,0,39,0,0,0/9,,,4.88
Old Trafford,2.0,0,8,0,0,0/8,,,4.00
Punjab Cricket Association IS Bindra Stadium,23.0,1,131,3,0,2/57,43.67,46.00,5.70
Queen's Park Oval,10.0,0,50,0,0,,,,5.00
R Premadasa Stadium,112.4,2,532,18,0,3/31,29.56,37.56,4.72
Rajiv Gandhi International Stadium,19.0,0,112,1,0,1/49,112.00,114.00,5.89
Rangiri Dambulla International Stadium,17.0,0,87,2,0,1/23,43.50,51.00,5.12
Rawalpindi Cricket Stadium,10.0,1,41,2,0,2/41,20.50,30.00,4.10
Reliance Stadium,7.4,0,35,1,0,1/17,35.00,46.00,4.57
Sabina Park,8.0,0,51,1,0,1/17,51.00,48.00,6.38
Sardar Patel Stadium,26.0,0,154,2,0,2/44,77.00,78.00,5.92
Sawai Mansingh Stadium,19.0,1,130,1,0,1/47,130.00,114.00,6.84
Seddon Park,9.0,0,40,1,0,1/40,40.00,54.00,4.44
Sharjah Cricket Stadium,5.0,0,30,0,0,,,,6.00
Shere Bangla National Stadium,62.0,1,276,7,0,2/40,39.43,53.14,4.45
Sinhalese Sports Club Ground,9.0,0,37,2,0,2/37,18.50,27.00,4.11
St George's Park,15.0,0,78,4,0,3/34,19.50,22.50,5.20
SuperSport Park,8.0,0,45,2,0,2/45,22.50,24.00,5.63
Sydney Cricket Ground,12.0,0,56,1,0,1/18,56.00,72.00,4.67
The Rose Bowl,9.0,0,46,0,0,0/17,,,5.11
Vidarbha Cricket Association Ground,1.0,0,15,0,0,,,,15.00
Vidarbha Cricket Association Stadium,16.0,0,86,0,0,,,,5.38
Wanderers Stadium,3.0,0,15,0,0,,,,5.00
Wankhede Stadium,22.0,1,108,3,0,2/49,36.00,44.00,4.91
Overall (65),841.2,18,4294,111,3,5/31,38.68,45.48,5.10
