0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,03/05/2019,England,The Village,,8.0,0/48,,,6.00,,
2.0,05/05/2019,West Indies,Castle Avenue,J O Holder (c K J O'Brien),10.0,1/84,,108.00,7.33,1,132.00
3.0,11/05/2019,West Indies,The Village,,7.0,0/57,,150.00,7.56,,189.00
4.0,15/05/2019,Bangladesh,Castle Avenue,Mosaddeck Hossain (c †G C Wilson),10.0,1/52,,105.00,6.89,2,120.50
5.0,19/05/2019,Afghanistan,Civil Service Cricket Club,Gulbadin Naib (c sub),6.4,4/19,,41.67,6.24,3,43.33
,,,,Hashmatullah Shahidi (c †G C Wilson),,,,,,4,
,,,,Hazratullah Zazai (b),,,,,,5,
,,,,Mujeeb Ur Rahman (c & b),,,,,,6,
6.0,21/05/2019,Afghanistan,Civil Service Cricket Club,Noor Ali Zadran (c W B Rankin),10.0,3/71,,34.44,6.41,7,36.78
,,,,Hashmatullah Shahidi (c T J Murtagh),,,,,,8,
,,,,Rashid Khan (c sub),,,,,,9,
7.0,01/07/2019,Zimbabwe,Bready Cricket Club,H Masakadza (lbw),10.0,4/73,,28.46,6.55,10,31.08
,,,,K M Jarvis (c A R McBrine),,,,,,11,
,,,,P J Moor (c †L J Tucker),,,,,,12,
,,,,T S Kamunhukamwe (b),,,,,,13,
8.0,04/07/2019,Zimbabwe,Civil Service Cricket Club,,10.0,0/52,,33.08,6.36,,35.08
9.0,07/07/2019,Zimbabwe,Civil Service Cricket Club,C R Ervine (b),9.0,2/53,,32.27,6.31,14,33.93
,,,,S F Mire (b),,,,,,15,
