0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/06/2006,England,Civil Service Cricket Club,E C Joyce (c K J O'Brien),10.0,3/63,,20.00,6.30,1,21.00
,,,,G Chapple (c K J O'Brien),,,,,,2,
,,,,J W M Dalrymple (c P J K Mooney),,,,,,3,
2.0,05/08/2006,Scotland,Cambusdoon New Ground,N J MacRae (c D T Johnston),10.0,3/32,,20.00,4.75,4,15.83
,,,,R R Watson (c D T Johnston),,,,,,5,
,,,,N S Poonia (b),,,,,,6,
3.0,08/08/2006,Netherlands,Cambusdoon New Ground,T B M de Leede (c †N J O'Brien),7.0,3/41,,18.00,5.04,7,15.11
,,,,D L S van Bunge (b),,,,,,8,
,,,,W F Stelling (c †N J O'Brien),,,,,,9,
4.0,30/01/2007,Scotland,Gymkhana Club Ground,,7.0,0/46,,22.67,5.35,,20.22
5.0,02/02/2007,Kenya,Ruaraka Sports Club Ground,M A Ouma (lbw),7.0,1/60,,24.60,5.90,10,24.20
6.0,04/02/2007,Canada,Jaffrey Sports Club Ground,,10.0,0/40,,30.60,5.53,,28.20
7.0,05/02/2007,Netherlands,Gymkhana Club Ground,,7.0,0/32,,34.80,5.41,,31.40
8.0,15/03/2007,Zimbabwe,Sabina Park,,9.0,0/34,,40.20,5.19,,34.80
9.0,17/03/2007,Pakistan,Sabina Park,Mohammad Hafeez (c †N J O'Brien),10.0,1/31,,42.00,4.92,11,34.45
10.0,23/03/2007,West Indies,Queen's Park Oval,C H Gayle (c A R White),9.0,1/33,,43.00,4.79,12,34.33
11.0,30/03/2007,England,Providence Stadium,,7.0,0/38,,46.50,4.84,,37.50
12.0,03/04/2007,South Africa,Providence Stadium,,5.0,0/31,,49.00,4.91,,40.08
13.0,09/04/2007,New Zealand,Providence Stadium,H J H Marshall (c E J G Morgan),10.0,2/41,,46.29,4.83,13,37.29
,,,,S B Styris (c †N J O'Brien),,,,,,14,
14.0,13/04/2007,Australia,Kensington Oval,,3.0,0/27,,47.57,4.95,,39.21
15.0,15/04/2007,Bangladesh,Kensington Oval,Mohammad Rafique (c D T Johnston),10.0,2/27,,45.38,4.76,15,36.00
,,,,Mashrafe Mortaza (c & b),,,,,,16,
16.0,18/04/2007,Sri Lanka,National Cricket Stadium (Grenada),K C Sangakkara (c K E D Carroll),3.0,1/29,,43.76,4.88,17,35.59
17.0,11/07/2007,Netherlands,Civil Service Cricket Club,,3.0,0/22,,44.82,4.94,,36.88
18.0,15/07/2007,Scotland,Civil Service Cricket Club,D F Watts (c & b),6.0,1/25,,44.33,4.90,18,36.22
19.0,18/03/2008,Bangladesh,Shere Bangla National Stadium,Tamim Iqbal (c G J Thompson),7.0,1/49,,44.21,5.01,19,36.89
20.0,20/03/2008,Bangladesh,Shere Bangla National Stadium,Mashrafe Mortaza (c R Strydom),10.0,3/43,,40.91,4.96,20,33.82
,,,,Farhad Reza (lbw),,,,,,21,
,,,,Shakib Al Hasan (c W T S Porterfield),,,,,,22,
21.0,22/03/2008,Bangladesh,Shere Bangla National Stadium,Mashrafe Mortaza (c W T S Porterfield),7.0,3/53,,37.68,5.08,23,31.88
,,,,Shakib Al Hasan (c W T S Porterfield),,,,,,24,
,,,,Tamim Iqbal (c W T S Porterfield),,,,,,25,
