0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,9.0,1,40,0,0,0/40,,,4.44
Bellerive Oval,10.0,0,58,2,0,2/58,29.00,30.00,5.80
Brisbane Cricket Ground,6.0,0,32,0,0,0/32,,,5.33
Cambusdoon New Ground,9.0,1,61,1,0,1/26,61.00,54.00,6.78
Castle Avenue,30.4,4,110,9,1,4/27,12.22,20.44,3.59
Civil Service Cricket Club,29.0,0,176,5,0,3/79,35.20,34.80,6.07
"Cricket, Skating & Curling Club",10.0,0,42,0,0,,,,4.20
Dubai International Cricket Stadium,23.0,2,116,5,0,2/36,23.20,27.60,5.04
Eden Gardens,18.0,0,95,3,0,2/59,31.67,36.00,5.28
Grange Cricket Club,4.3,0,37,1,0,1/37,37.00,27.00,8.22
Gymkhana Club Ground,7.0,0,49,0,0,0/23,,,7.00
Harare Sports Club,25.3,2,120,5,0,2/27,24.00,30.60,4.71
Hazelaarweg,6.0,0,26,2,0,2/26,13.00,18.00,4.33
Jaffrey Sports Club Ground,8.0,0,62,1,0,1/62,62.00,48.00,7.75
Kensington Oval,1.0,0,14,0,0,0/14,,,14.00
M Chinnaswamy Stadium,11.0,0,81,4,1,4/63,20.25,16.50,7.36
Manuka Oval,7.0,2,52,1,0,1/52,52.00,42.00,7.43
Mombasa Sports Ground,8.0,1,36,1,0,1/27,36.00,48.00,4.50
Punjab Cricket Association IS Bindra Stadium,9.0,0,58,2,0,2/58,29.00,27.00,6.44
Queen's Park Oval,4.0,1,22,0,0,0/22,,,5.50
Saxton Oval,7.0,1,59,1,0,1/59,59.00,42.00,8.43
Seddon Park,6.0,0,44,0,0,0/44,,,7.33
Shere Bangla National Stadium,7.0,0,25,1,0,1/25,25.00,42.00,3.57
Sportpark Westvliet,8.0,1,24,1,0,1/24,24.00,48.00,3.00
The Village,22.5,2,120,1,0,1/36,120.00,137.00,5.26
VRA Ground,13.0,1,76,2,0,1/9,38.00,39.00,5.85
Overall (26),299.3,19,1635,48,2,4/27,34.06,37.44,5.46
