0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,04/03/2017,United Arab Emirates,ICC Global Cricket Academy,Amjad Javed (b),10.0,2/28,,30.00,2.80,1,14.00
,,,,Ahmed Raza (c †N J O'Brien),,,,,,2,
2.0,15/03/2017,Afghanistan,Greater Noida Sports Complex Ground,,2.0,0/18,,36.00,3.83,,23.00
3.0,22/03/2017,Afghanistan,Greater Noida Sports Complex Ground,Shafiqullah (lbw),10.0,3/57,,26.40,4.68,3,20.60
,,,,Gulbadin Naib (lbw),,,,,,4,
,,,,Hashmatullah Shahidi (b),,,,,,5,
4.0,24/03/2017,Afghanistan,Greater Noida Sports Complex Ground,,9.0,0/52,,37.20,5.00,,31.00
