0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/06/2006,England,Civil Service Cricket Club,A J Strauss (c A C Botha),10.0,1/47,,60.00,4.70,1,47.00
2.0,30/01/2007,Scotland,Gymkhana Club Ground,,8.0,0/52,,108.00,5.50,,99.00
3.0,31/01/2007,Bermuda,Jaffrey Sports Club Ground,L O B Cann (c W K McCallan),8.0,2/38,,52.00,5.27,2,45.67
,,,,D L Hemp (c K E D Carroll),,,,,,3,
4.0,02/02/2007,Kenya,Ruaraka Sports Club Ground,,6.0,0/25,,64.00,5.06,,54.00
5.0,04/02/2007,Canada,Jaffrey Sports Club Ground,A A Mulla (c †J P Bray),7.0,1/34,,58.50,5.03,4,49.00
6.0,05/02/2007,Netherlands,Gymkhana Club Ground,T B M de Leede (b),9.0,2/58,,48.00,5.29,5,42.33
,,,,P W Borren (st †N J O'Brien),,,,,,6,
7.0,15/03/2007,Zimbabwe,Sabina Park,P Utseya (c E J G Morgan),2.0,1/8,,42.86,5.24,7,37.43
8.0,17/03/2007,Pakistan,Sabina Park,Shoaib Malik (c †N J O'Brien),6.0,1/29,,42.00,5.20,8,36.38
9.0,23/03/2007,West Indies,Queen's Park Oval,,3.0,0/13,,44.25,5.15,,38.00
10.0,30/03/2007,England,Providence Stadium,I R Bell (c †N J O'Brien),4.0,1/26,,42.00,5.24,9,36.67
11.0,09/04/2007,New Zealand,Providence Stadium,,2.0,0/20,,43.33,5.38,,38.89
12.0,18/04/2007,Sri Lanka,National Cricket Stadium (Grenada),,1.0,0/4,,44.00,5.36,,39.33
13.0,23/06/2007,India,Civil Service Cricket Club,,4.0,0/25,,46.67,5.41,,42.11
14.0,24/06/2007,South Africa,Civil Service Cricket Club,,2.0,0/15,,48.00,5.47,,43.78
15.0,11/07/2007,Netherlands,Civil Service Cricket Club,E S Szwarczynski (c & b),5.0,1/19,,46.20,5.36,10,41.30
16.0,15/07/2007,Scotland,Civil Service Cricket Club,,2.0,0/11,,47.40,5.37,,42.40
17.0,18/03/2008,Bangladesh,Shere Bangla National Stadium,,5.0,0/30,,50.40,5.40,,45.40
18.0,20/03/2008,Bangladesh,Shere Bangla National Stadium,,4.0,0/12,,52.80,5.30,,46.60
19.0,22/03/2008,Bangladesh,Shere Bangla National Stadium,Raqibul Hasan (c †N J O'Brien),9.0,2/58,,48.50,5.40,11,43.67
,,,,Mohammad Ashraful (c †N J O'Brien),,,,,,12,
20.0,28/07/2008,Netherlands,Castle Avenue,Mudassar Bukhari (c G C Wilson),9.0,3/30,,42.40,5.23,13,36.93
,,,,D J Reekers (c W K McCallan),,,,,,14,
,,,,D L S van Bunge (c W T S Porterfield),,,,,,15,
