0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,10.0,0,49,0,0,0/49,,,4.90
Bellerive Oval,10.0,0,90,2,0,2/90,45.00,30.00,9.00
Brisbane Cricket Ground,7.0,0,61,2,0,2/61,30.50,21.00,8.71
Castle Avenue,75.0,8,345,16,0,3/18,21.56,28.13,4.60
Civil Service Cricket Club,133.4,3,608,20,1,4/45,30.40,40.10,4.55
"Cricket, Skating & Curling Club",13.0,0,64,3,0,2/40,21.33,26.00,4.92
Dubai International Cricket Stadium,21.0,3,104,4,0,3/49,26.00,31.50,4.95
Eden Gardens,5.0,0,33,0,0,,,,6.60
Greater Noida Sports Complex Ground,17.0,1,73,7,1,4/26,10.43,14.57,4.29
Gymkhana Club Ground,17.0,0,110,2,0,2/58,55.00,51.00,6.47
Harare Sports Club,66.0,3,358,12,0,3/27,29.83,33.00,5.42
Hazelaarweg,15.0,1,61,2,0,1/26,30.50,45.00,4.07
ICC Global Cricket Academy,42.2,3,193,8,1,4/41,24.13,31.75,4.56
Jaffrey Sports Club Ground,15.0,1,72,3,0,2/38,24.00,30.00,4.80
Lord's,9.0,0,71,0,0,0/71,,,7.89
M Chinnaswamy Stadium,1.0,0,3,0,0,,,,3.00
Mannofield Park,4.0,1,13,0,0,0/13,,,3.25
Manuka Oval,7.0,0,95,1,0,1/95,95.00,42.00,13.57
Mombasa Sports Ground,1.0,0,10,0,0,,,,10.00
National Cricket Stadium (Grenada),1.0,0,4,0,0,0/4,,,4.00
Providence Stadium,6.0,0,46,1,0,1/26,46.00,36.00,7.67
Punjab Cricket Association IS Bindra Stadium,9.0,0,71,4,1,4/71,17.75,13.50,7.89
Queen's Park Oval,3.0,0,13,0,0,0/13,,,4.33
Ruaraka Sports Club Ground,6.0,0,25,0,0,0/25,,,4.17
Sabina Park,16.0,1,72,2,0,1/8,36.00,48.00,4.50
Saxton Oval,9.0,0,71,1,0,1/71,71.00,54.00,7.89
Seddon Park,6.5,0,42,0,0,0/42,,,6.15
Sharjah Cricket Stadium,18.0,1,93,1,0,1/50,93.00,108.00,5.17
Shere Bangla National Stadium,20.0,0,108,2,0,2/58,54.00,60.00,5.40
Sportpark Westvliet,9.0,0,24,1,0,1/24,24.00,54.00,2.67
The Village,65.1,0,367,4,0,1/22,91.75,97.75,5.63
VRA Ground,39.0,3,162,12,1,4/13,13.50,19.50,4.15
Willowmoore Park,27.0,0,161,3,0,2/66,53.67,54.00,5.96
Overall (33),704.0,29,3672,113,5,4/13,32.50,37.38,5.22
