0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,15/05/1999,Zimbabwe,The Cooper Associates County Ground,did not bat,-,-,-,,0,,
2,30/05/1999,Sri Lanka,County Ground (Southampton),did not bat,-,-,-,,0,,
3,25/09/1999,Zimbabwe,Gymkhana Club Ground,not out,2*,2,100.00,,2,,100.00
4,03/10/2000,India,Gymkhana Club Ground,c R Dravid b A Kumble,18,40,45.00,,20,20.00,47.62
5,15/08/2001,West Indies,Simba Union Ground,not out,28*,46,60.87,,48,48.00,54.55
6,18/08/2001,West Indies,Gymkhana Club Ground,not out,32*,54,59.26,,80,80.00,56.34
7,19/08/2001,West Indies,Gymkhana Club Ground,did not bat,-,-,-,,80,80.00,56.34
8,12/10/2001,India,Mangaung Oval,b J Srinath,5,14,35.71,,85,42.50,54.49
9,14/10/2001,South Africa,Diamond Oval,did not bat,-,-,-,,85,42.50,54.49
10,22/10/2001,South Africa,Newlands,b C K Langeveldt,0,1,0.00,,85,28.33,54.14
11,01/09/2002,Pakistan,Gymkhana Club Ground,c Shoaib Malik b Waqar Younis,23,44,52.27,,108,27.00,53.73
12,02/09/2002,Australia,Gymkhana Club Ground,c †A C Gilchrist b G D McGrath,1,20,5.00,,109,21.80,49.32
13,05/09/2002,Australia,Gymkhana Club Ground,b B Lee,5,25,20.00,,114,19.00,46.34
14,20/09/2002,South Africa,R Premadasa Stadium,not out,2*,11,18.18,,116,19.33,45.14
15,08/12/2002,Zimbabwe,Harare Sports Club,b D A Marillier,18,23,78.26,,134,19.14,47.86
16,08/04/2003,Pakistan,Sharjah Cricket Stadium,lbw b Umar Gul,3,2,150.00,,137,17.13,48.58
17,25/02/2006,Zimbabwe,Queens Sports Club,c & b H Masakadza,15,18,83.33,,152,16.89,50.67
18,26/02/2006,Zimbabwe,Queens Sports Club,not out,32*,20,160.00,,184,20.44,57.50
19,01/03/2006,Zimbabwe,Harare Sports Club,lbw b E C Rainsford,17,50,34.00,,201,20.10,54.32
20,03/03/2006,Zimbabwe,Harare Sports Club,c E Chigumbura b P Utseya,0,5,0.00,,201,18.27,53.60
21,17/03/2006,Bangladesh,Shaheed Chandu Stadium,b Mohammad Rafique,4,5,80.00,,205,17.08,53.95
22,20/03/2006,Bangladesh,Sheikh Abu Naser Stadium,c †Khaled Mashud b Syed Rasel,12,27,44.44,,217,16.69,53.32
23,23/03/2006,Bangladesh,Khan Shaheb Osman Ali Stadium,b Mashrafe Mortaza,1,3,33.33,,218,15.57,53.17
24,25/03/2006,Bangladesh,Khan Shaheb Osman Ali Stadium,not out,6*,5,120.00,,224,16.00,53.98
25,05/08/2006,Canada,"Cricket, Skating & Curling Club",c S Thuraisingam b J M Davison,68,106,64.15,,292,19.47,56.05
26,06/08/2006,Canada,"Cricket, Skating & Curling Club",c N Ifill b J M Davison,0,3,0.00,,292,18.25,55.73
27,12/08/2006,Bangladesh,Gymkhana Club Ground,c †Khaled Mashud b Mashrafe Mortaza,5,41,12.20,,297,17.47,52.57
28,13/08/2006,Bangladesh,Gymkhana Club Ground,c †Khaled Mashud b Syed Rasel,3,19,15.79,,300,16.67,51.37
29,11/11/2006,Bermuda,Mombasa Sports Ground,c sub b M O Jones,6,11,54.55,,306,16.11,51.43
30,12/11/2006,Bermuda,Mombasa Sports Ground,did not bat,-,-,-,,306,16.11,51.43
31,14/11/2006,Bermuda,Mombasa Sports Ground,c S K W Kelly b R D M Leverock,0,1,0.00,,306,15.30,51.34
32,17/01/2007,Scotland,Mombasa Sports Ground,did not bat,-,-,-,,306,15.30,51.34
33,21/01/2007,Scotland,Mombasa Sports Ground,run out,10,10,100.00,,316,15.05,52.15
34,24/01/2007,Canada,Mombasa Sports Ground,run out,2,6,33.33,,318,14.45,51.96
35,31/01/2007,Netherlands,Gymkhana Club Ground,did not bat,-,-,-,,318,14.45,51.96
36,02/02/2007,Ireland,Ruaraka Sports Club Ground,c K J O'Brien b W K McCallan,20,11,181.82,,338,14.70,54.25
37,04/02/2007,Scotland,Gymkhana Club Ground,c N F I McCallum b R M Haq,2,10,20.00,,340,14.17,53.71
38,05/02/2007,Canada,Jaffrey Sports Club Ground,lbw b H Osinde,12,10,120.00,,352,14.08,54.74
39,07/02/2007,Scotland,Gymkhana Club Ground,did not bat,-,-,-,,352,14.08,54.74
40,14/03/2007,Canada,Darren Sammy National Cricket Stadium,did not bat,-,-,-,,352,14.08,54.74
41,20/03/2007,New Zealand,Darren Sammy National Cricket Stadium,b D L Vettori,12,15,80.00,,364,14.00,55.32
42,24/03/2007,England,Darren Sammy National Cricket Stadium,b P D Collingwood,17,28,60.71,,381,14.11,55.54
43,18/10/2007,Canada,Gymkhana Club Ground,not out,37*,31,119.35,,418,15.48,58.30
44,20/10/2007,Canada,Gymkhana Club Ground,b S Dhaniram,2,3,66.67,,420,15.00,58.33
45,25/10/2007,Bermuda,Gymkhana Club Ground,did not bat,-,-,-,,420,15.00,58.33
46,27/10/2007,Bermuda,Gymkhana Club Ground,b R D M Leverock,10,33,30.30,,430,14.83,57.10
47,28/10/2007,Bermuda,Gymkhana Club Ground,b R J Trott,22,28,78.57,,452,15.07,57.87
48,12/08/2008,Scotland,Cambusdoon New Ground,b J A R Blain,7,17,41.18,,459,14.81,57.52
49,21/08/2008,Netherlands,Hazelaarweg,not out,10*,6,166.67,,469,15.13,58.33
50,24/08/2008,Ireland,Civil Service Cricket Club,c W T S Porterfield b A C Botha,33,87,37.93,,502,15.69,56.34
51,25/08/2008,Ireland,Civil Service Cricket Club,did not bat,-,-,-,,502,15.69,56.34
52,18/10/2008,Ireland,Gymkhana Club Ground,c †N J O'Brien b A R Cusack,42,48,87.50,,544,16.48,57.93
53,19/10/2008,Zimbabwe,Gymkhana Club Ground,c H Masakadza b C B Mpofu,18,12,150.00,,562,16.53,59.10
54,31/10/2008,South Africa,Mangaung Oval,b J Botha,6,21,28.57,,568,16.23,58.44
55,02/11/2008,South Africa,Diamond Oval,c A B de Villiers b J A Morkel,29,31,93.55,,597,16.58,59.52
56,27/01/2009,Zimbabwe,Mombasa Sports Ground,b E C Rainsford,74,86,86.05,,671,18.14,61.62
57,29/01/2009,Zimbabwe,Mombasa Sports Ground,run out,8,8,100.00,,679,17.87,61.90
58,31/01/2009,Zimbabwe,Gymkhana Club Ground,c P Utseya b A G Cremer,0,2,0.00,,679,17.41,61.78
59,01/04/2009,Netherlands,Senwes Park,c †J Smits b E Schiferli,58,50,116.00,,737,18.43,64.14
60,06/04/2009,Bermuda,Senwes Park,did not bat,-,-,-,,737,18.43,64.14
61,19/04/2009,Netherlands,Senwes Park,c †J Smits b R G Nijman,27,53,50.94,,764,18.63,63.56
62,09/07/2009,Ireland,Castle Avenue,c W T S Porterfield b W B Rankin,1,3,33.33,,765,18.21,63.49
63,11/07/2009,Ireland,Castle Avenue,b W K McCallan,0,5,0.00,,765,17.79,63.22
64,12/07/2009,Ireland,Castle Avenue,c & b W B Rankin,23,27,85.19,,788,17.91,63.70
65,19/08/2009,Canada,Maple Leaf North - West Ground,b H S Baidwan,6,18,33.33,,794,17.64,63.27
66,22/08/2009,Canada,Maple Leaf North - West Ground,did not bat,-,-,-,,794,17.64,63.27
67,12/10/2009,Zimbabwe,Harare Sports Club,c M A Vermeulen b K M Jarvis,9,21,42.86,,803,17.46,62.93
68,15/10/2009,Zimbabwe,Harare Sports Club,run out,5,7,71.43,,808,17.19,62.98
69,17/10/2009,Zimbabwe,Harare Sports Club,c M N Waller b P Utseya,17,13,130.77,,825,17.19,63.66
70,18/10/2009,Zimbabwe,Harare Sports Club,b C B Mpofu,37,63,58.73,,862,17.59,63.43
71,16/02/2010,Netherlands,Gymkhana Club Ground,not out,6*,3,200.00,,868,17.71,63.73
72,18/02/2010,Netherlands,Gymkhana Club Ground,c Mudassar Bukhari b R N ten Doeschate,42,73,57.53,,910,18.20,63.41
73,01/07/2010,Ireland,Hazelaarweg,run out,0,1,0.00,,910,17.84,63.37
74,03/07/2010,Netherlands,Sportpark Westvliet,not out,19*,26,73.08,,929,18.22,63.54
