0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Arun Jaitley Stadium,2.0,0,15,0,0,0/15,,,7.50
Boland Park,10.0,0,52,0,0,0/52,,,5.20
Darren Sammy National Cricket Stadium,3.0,0,8,0,0,,,,2.67
Diamond Oval,20.0,0,82,1,0,1/48,82.00,120.00,4.10
Eden Gardens,3.0,0,14,0,0,0/14,,,4.67
Gymkhana Club Ground,70.3,1,382,8,1,5/24,47.75,52.88,5.42
ICC Global Cricket Academy,8.0,0,40,2,0,2/15,20.00,24.00,5.00
Khan Shaheb Osman Ali Stadium,2.1,0,17,0,0,0/8,,,7.85
Kingsmead,14.0,0,102,0,0,0/40,,,7.29
Kwekwe Sports Club,4.0,0,30,0,0,0/30,,,7.50
M Chinnaswamy Stadium,4.0,0,33,1,0,1/33,33.00,24.00,8.25
Mahinda Rajapaksha International Cricket Stadium,1.0,0,5,0,0,0/5,,,5.00
Mangaung Oval,10.0,0,32,3,0,3/32,10.67,20.00,3.20
Mombasa Sports Ground,24.0,0,141,6,0,3/24,23.50,24.00,5.88
Newlands,29.5,3,158,3,0,2/46,52.67,59.67,5.30
R Premadasa Stadium,11.4,0,90,2,0,2/77,45.00,35.00,7.71
Senwes Park,10.1,1,72,1,0,1/40,72.00,61.00,7.08
Sharjah Cricket Stadium,29.0,1,125,5,0,2/31,25.00,34.80,4.31
Sheikh Abu Naser Stadium,3.0,0,35,0,0,0/35,,,11.67
Simba Union Ground,5.0,0,25,0,0,0/25,,,5.00
Sinhalese Sports Club Ground,10.0,0,57,0,0,0/57,,,5.70
St George's Park,10.0,2,32,1,0,1/32,32.00,60.00,3.20
Wanderers Stadium,9.0,0,40,1,0,1/40,40.00,54.00,4.44
Willowmoore Park,9.4,0,45,1,0,1/45,45.00,58.00,4.66
Overall (24),303.0,8,1632,35,1,5/24,46.63,51.94,5.39
