0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,18/02/1996,India,Barabati Stadium,26,26,26.00,1/39,1,39.00,,0,,,,26 years 247 days
2.0,23/02/1996,Australia,Indira Priyadarshini Stadium,50,76,38.00,0/35,1,74.00,,0,,,,26 years 252 days
3.0,26/02/1996,Zimbabwe,Moin-ul-Haq Stadium,-,76,38.00,,1,74.00,1,1,,,,26 years 255 days
4.0,27/02/1996,Zimbabwe,Moin-ul-Haq Stadium,30,106,35.33,2/24,3,32.67,,1,,,,26 years 256 days
5.0,29/02/1996,West Indies,Nehru Stadium (Pune),6,112,28.00,3/15,6,18.83,,1,,,,26 years 258 days
6.0,06/03/1996,Sri Lanka,Asgiriya Stadium,0,112,22.40,0/74,6,31.17,,1,,,,26 years 264 days
7.0,28/09/1996,Sri Lanka,Gymkhana Club Ground,3,115,19.17,1/13,7,28.57,,1,,,,27 years 105 days
8.0,02/10/1996,Pakistan,Aga Khan Sports Club Ground,1,116,16.57,0/12,7,30.29,,1,,,,27 years 109 days
9.0,03/10/1996,South Africa,Gymkhana Club Ground,19,135,16.88,1/53,8,33.13,,1,,,,27 years 110 days
10.0,10/10/1997,Bangladesh,Gymkhana Club Ground,15*,150,18.75,0/37,8,37.75,,1,,,,28 years 117 days
11.0,12/10/1997,Zimbabwe,Gymkhana Club Ground,23,173,19.22,1/39,9,37.89,,1,,,,28 years 119 days
12.0,15/10/1997,Bangladesh,Aga Khan Sports Club Ground,-,173,19.22,1/16,10,35.70,,1,,,,28 years 122 days
13.0,16/10/1997,Zimbabwe,Aga Khan Sports Club Ground,2,175,17.50,0/19,10,37.60,,1,,,,28 years 123 days
14.0,18/10/1997,Zimbabwe,Gymkhana Club Ground,67,242,22.00,2/48,12,35.33,,1,,,,28 years 125 days
15.0,19/10/1997,Zimbabwe,Gymkhana Club Ground,14,256,21.33,1/26,13,34.62,,1,,,,28 years 126 days
16.0,17/05/1998,Bangladesh,Lal Bahadur Shastri Stadium,20,276,21.23,1/42,14,35.14,,1,,,,28 years 336 days
17.0,20/05/1998,India,M Chinnaswamy Stadium,47,323,23.07,0/38,14,37.86,,1,,,,28 years 339 days
18.0,23/05/1998,Bangladesh,MA Chidambaram Stadium,40,363,24.20,0/30,14,40.00,1,2,,,,28 years 342 days
19.0,28/05/1998,India,Captain Roop Singh Stadium,83,446,27.88,3/14,17,33.76,,2,,,,28 years 347 days
20.0,31/05/1998,India,Eden Gardens,0,446,26.24,0/15,17,34.65,,2,,,,28 years 350 days
21.0,19/03/1999,Zimbabwe,Bangabandhu National Stadium,13,459,25.50,0/45,17,37.29,1,3,,,,29 years 276 days
22.0,20/03/1999,Bangladesh,Bangabandhu National Stadium,58*,517,28.72,2/47,19,35.84,1,4,,,,29 years 277 days
23.0,23/03/1999,Zimbabwe,Bangabandhu National Stadium,50,567,29.84,0/20,19,36.89,,4,,,,29 years 280 days
24.0,24/03/1999,Bangladesh,Bangabandhu National Stadium,25,592,29.60,0/17,19,37.79,,4,,,,29 years 281 days
25.0,27/03/1999,Zimbabwe,Bangabandhu National Stadium,1,593,28.24,,19,37.79,,4,,,,29 years 284 days
26.0,15/05/1999,Zimbabwe,The Cooper Associates County Ground,20,613,27.86,2/39,21,36.05,,4,,,,29 years 333 days
27.0,18/05/1999,England,St Lawrence Ground,6,619,26.91,0/23,21,37.14,,4,,,,29 years 336 days
28.0,23/05/1999,India,County Ground (Bristol),14,633,26.38,0/59,21,39.95,,4,,,,29 years 341 days
29.0,26/05/1999,South Africa,VRA Ground,7,640,25.60,1/15,22,38.82,,4,,,,29 years 344 days
30.0,30/05/1999,Sri Lanka,County Ground (Southampton),82,722,27.77,0/18,22,39.64,,4,,,,29 years 348 days
31.0,25/09/1999,Zimbabwe,Gymkhana Club Ground,12,734,27.19,1/31,23,39.26,,4,,,,30 years 101 days
32.0,29/09/1999,India,Gymkhana Club Ground,5,739,26.39,3/51,26,36.69,1,5,,,,30 years 105 days
33.0,30/09/1999,South Africa,Gymkhana Club Ground,3,742,25.59,0/45,26,38.42,1,6,,,,30 years 106 days
34.0,03/10/2000,India,Gymkhana Club Ground,51,793,26.43,1/18,27,37.67,,6,,,,31 years 110 days
35.0,15/08/2001,West Indies,Simba Union Ground,13,806,26.00,0/59,27,39.85,,6,,,,32 years 61 days
36.0,18/08/2001,West Indies,Gymkhana Club Ground,28,834,26.06,0/25,27,40.78,,6,,,,32 years 64 days
37.0,19/08/2001,West Indies,Gymkhana Club Ground,2,836,25.33,0/42,27,42.33,,6,,,,32 years 65 days
38.0,07/10/2001,South Africa,Willowmoore Park,24,860,25.29,0/14,27,42.85,,6,,,,32 years 114 days
39.0,12/10/2001,India,Mangaung Oval,6,866,24.74,,27,42.85,,6,,,,32 years 119 days
40.0,14/10/2001,South Africa,Diamond Oval,60,926,25.72,0/41,27,44.37,,6,,,,32 years 121 days
41.0,24/10/2001,India,Boland Park,20,946,25.57,0/44,27,46.00,1,7,,,,32 years 131 days
42.0,29/08/2002,Pakistan,Gymkhana Club Ground,0,946,24.89,,27,46.00,,7,,,,33 years 74 days
43.0,01/09/2002,Pakistan,Gymkhana Club Ground,10,956,24.51,0/24,27,46.89,,7,,,,33 years 77 days
44.0,02/09/2002,Australia,Gymkhana Club Ground,0,956,23.90,,27,46.89,,7,,,,33 years 78 days
45.0,05/09/2002,Australia,Gymkhana Club Ground,55,1011,24.66,0/28,27,47.93,,7,,,,33 years 81 days
46.0,17/09/2002,West Indies,Sinhalese Sports Club Ground,9,1020,24.29,1/21,28,46.96,,7,,,,33 years 93 days
47.0,20/09/2002,South Africa,R Premadasa Stadium,0,1020,23.72,1/52,29,47.14,,7,,,,33 years 96 days
48.0,08/12/2002,Zimbabwe,Harare Sports Club,5,1025,23.30,,29,47.14,,7,,,,33 years 175 days
49.0,11/12/2002,Zimbabwe,Kwekwe Sports Club,12,1037,23.04,1/73,30,48.00,,7,,,,33 years 178 days
50.0,15/12/2002,Zimbabwe,Queens Sports Club,48,1085,23.59,,30,48.00,,7,,,,33 years 182 days
51.0,12/02/2003,South Africa,Senwes Park,16,1101,23.43,0/21,30,48.70,,7,,,,33 years 241 days
52.0,15/02/2003,Canada,Newlands,26,1127,23.48,2/41,32,46.94,,7,,,,33 years 244 days
53.0,24/02/2003,Sri Lanka,Gymkhana Club Ground,26,1153,23.53,1/39,33,46.70,,7,,,,33 years 253 days
54.0,01/03/2003,Bangladesh,Wanderers Stadium,52*,1205,24.59,4/38,37,42.68,,7,,,,33 years 258 days
55.0,04/03/2003,West Indies,Diamond Oval,0,1205,24.10,2/62,39,42.08,,7,,,,33 years 261 days
56.0,07/03/2003,India,Newlands,34*,1239,24.78,0/25,39,42.72,,7,,,,33 years 264 days
57.0,12/03/2003,Zimbabwe,Mangaung Oval,38*,1277,25.54,,39,42.72,1,8,,,,33 years 269 days
58.0,20/03/2003,India,Kingsmead,19,1296,25.41,,39,42.72,1,9,,,,33 years 277 days
59.0,05/04/2003,Zimbabwe,Sharjah Cricket Stadium,17,1313,25.25,0/50,39,44.00,,9,,,,33 years 293 days
60.0,06/04/2003,Sri Lanka,Sharjah Cricket Stadium,42,1355,25.57,0/56,39,45.44,2,11,,,,33 years 294 days
61.0,08/04/2003,Pakistan,Sharjah Cricket Stadium,54,1409,26.09,0/35,39,46.33,1,12,,,,33 years 296 days
