0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,29/06/2011,Scotland,Mannofield Park,,8.0,0/45,,,5.63,,
2.0,12/09/2011,Kenya,Sportpark Westvliet,D O Obuya (c T J G Gruitjers),10.0,3/38,,36.00,4.61,1,27.67
,,,,T Mishra (c S J Myburgh),,,,,,2,
,,,,L N Oluoch (b),,,,,,3,
3.0,13/09/2011,Kenya,Sportpark Westvliet,H A Varaiya (c M R Swart),10.0,1/32,,42.00,4.11,4,28.75
4.0,29/03/2012,Afghanistan,Sharjah Cricket Stadium,,5.0,0/13,,49.50,3.88,,32.00
5.0,31/03/2012,Afghanistan,Sharjah Cricket Stadium,,5.0,0/27,,57.00,4.08,,38.75
6.0,31/05/2013,South Africa,VRA Ground,,10.0,0/81,,72.00,4.92,,59.00
7.0,07/07/2013,Ireland,VRA Ground,J F Mooney (c T L W Cooper),7.5,3/51,,47.86,5.14,5,41.00
,,,,W T S Porterfield (st †W Barresi),,,,,,6,
,,,,T J Murtagh (c P W Borren),,,,,,7,
8.0,09/07/2013,Ireland,VRA Ground,,5.0,0/28,,52.14,5.18,,45.00
9.0,29/08/2013,Canada,Maple Leaf North - West Ground,,4.0,0/18,,55.57,5.14,,47.57
10.0,23/01/2014,Kenya,Bert Sutcliffe Oval,T M Odoyo (c M R Swart),8.4,3/54,,44.10,5.27,8,38.70
,,,,R R Patel (lbw),,,,,,9,
,,,,I A Karim (c E S Szwarczynski),,,,,,10,
11.0,28/01/2014,Canada,Bay Oval,Khurram Chohan (c B N Cooper),5.0,2/21,,39.25,5.20,11,34.00
,,,,Raza-ur-Rehman (b),,,,,,12,
