0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,25/02/2003,Pakistan,Boland Park,Waqar Younis (c & b),4.0,1/24,,24.00,6.00,1,24.00
2.0,28/02/2003,Zimbabwe,Queens Sports Club,,3.0,0/26,,42.00,7.14,,50.00
3.0,03/03/2003,Namibia,Mangaung Oval,B G Murgatroyd (c B Zuiderent),6.0,1/39,,39.00,6.85,2,44.50
4.0,11/07/2007,Ireland,Civil Service Cricket Club,A C Botha (c G M C Mol),6.0,1/16,,38.00,5.53,3,35.00
5.0,13/07/2007,Scotland,Civil Service Cricket Club,N F I McCallum (c †J Smits),6.2,2/17,,30.40,4.82,4,24.40
,,,,N S Poonia (c A F Buurman),,,,,,5,
6.0,28/07/2008,Ireland,Castle Avenue,,3.0,0/17,,34.00,4.91,,27.80
7.0,21/08/2008,Kenya,Hazelaarweg,,2.0,0/10,,36.40,4.91,,29.80
