0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,03/07/2007,Canada,"Cricket, Skating & Curling Club",not out,6*,3,200.00,,6,,200.00
2,10/07/2007,West Indies,Castle Avenue,c C H Gayle b D R Smith,7,15,46.67,,13,13.00,72.22
3,11/07/2007,Ireland,Civil Service Cricket Club,run out,71,114,62.28,,84,42.00,63.64
4,13/07/2007,Scotland,Civil Service Cricket Club,did not bat,-,-,-,,84,42.00,63.64
5,18/08/2007,Bermuda,Hazelaarweg,c L O B Cann b I H Romaine,61,47,129.79,,145,48.33,81.01
6,20/08/2007,Bermuda,Hazelaarweg,did not bat,-,-,-,,145,48.33,81.01
7,28/07/2008,Ireland,Castle Avenue,c G C Wilson b K J O'Brien,0,3,0.00,,145,36.25,79.67
8,29/07/2008,Scotland,Castle Avenue,c R R Watson b J A R Blain,1,4,25.00,,146,29.20,78.49
9,08/08/2008,Bermuda,VRA Ground,did not bat,-,-,-,,146,29.20,78.49
10,21/08/2008,Kenya,Hazelaarweg,did not bat,-,-,-,,146,29.20,78.49
11,01/04/2009,Kenya,Senwes Park,did not bat,-,-,-,,146,29.20,78.49
12,08/04/2009,Bermuda,Senwes Park,c S D Outerbridge b I H Romaine,4,12,33.33,,150,25.00,75.76
13,19/04/2009,Kenya,Senwes Park,c †M A Ouma b P J Ongondo,4,8,50.00,,154,22.00,74.76
14,11/07/2009,Canada,VRA Ground,c †A Bagai b H Osinde,12,23,52.17,,166,20.75,72.49
15,30/08/2009,Afghanistan,VRA Ground,run out,38,70,54.29,,204,22.67,68.23
16,01/09/2009,Afghanistan,VRA Ground,c Raees Ahmadzai b Shapoor Zadran,3,13,23.08,,207,20.70,66.35
17,16/02/2010,Kenya,Gymkhana Club Ground,c H A Varaiya b E Otieno,6,22,27.27,,213,19.36,63.77
18,18/02/2010,Kenya,Gymkhana Club Ground,c †M A Ouma b N N Odhiambo,0,2,0.00,,213,17.75,63.39
19,15/06/2010,Scotland,Hazelaarweg,did not bat,-,-,-,,213,17.75,63.39
20,01/07/2010,Scotland,VRA Ground,c N F I McCallum b G Goudie,12,8,150.00,,225,17.31,65.41
21,03/07/2010,Kenya,Sportpark Westvliet,c C O Obuya b J K Kamande,6,9,66.67,,231,16.50,65.44
22,05/07/2010,Canada,Hazelaarweg,did not bat,-,-,-,,231,16.50,65.44
23,09/07/2010,Ireland,VRA Ground,lbw b G H Dockrell,5,14,35.71,,236,15.73,64.31
24,10/07/2010,Afghanistan,Hazelaarweg,not out,11*,8,137.50,,247,16.47,65.87
25,20/07/2010,Bangladesh,Titwood,did not bat,-,-,-,,247,16.47,65.87
26,16/08/2010,Ireland,Castle Avenue,c N G Jones b A R White,29,31,93.55,,276,17.25,67.98
27,18/08/2010,Ireland,Castle Avenue,run out,7,27,25.93,,283,16.65,65.36
28,22/02/2011,England,Vidarbha Cricket Association Stadium,not out,6*,5,120.00,,289,17.00,65.98
29,28/02/2011,West Indies,Arun Jaitley Stadium,b K A J Roach,24,42,57.14,,313,17.39,65.21
30,03/03/2011,South Africa,Punjab Cricket Association IS Bindra Stadium,b Imran Tahir,0,4,0.00,,313,16.47,64.67
31,09/03/2011,India,Arun Jaitley Stadium,b Z Khan,21,18,116.67,,334,16.70,66.53
32,14/03/2011,Bangladesh,Zahur Ahmed Chowdhury Stadium,c †Mushfiqur Rahim b Abdur Razzak,6,13,46.15,,340,16.19,66.02
33,18/03/2011,Ireland,Eden Gardens,run out,11,8,137.50,,351,15.95,67.11
34,28/06/2011,Scotland,Mannofield Park,c N F I McCallum b J H Davey,41,23,178.26,,392,17.04,71.79
35,29/06/2011,Scotland,Mannofield Park,c G Goudie b S M Sharif,28,21,133.33,,420,17.50,74.07
36,12/09/2011,Kenya,Sportpark Westvliet,not out,37*,29,127.59,,457,19.04,76.68
37,13/09/2011,Kenya,Sportpark Westvliet,did not bat,-,-,-,,457,19.04,76.68
38,29/03/2012,Afghanistan,Sharjah Cricket Stadium,did not bat,-,-,-,,457,19.04,76.68
39,31/03/2012,Afghanistan,Sharjah Cricket Stadium,c Karim Sadiq b Izatullah Dawlatzai,8,6,133.33,,465,18.60,77.24
40,31/05/2013,South Africa,VRA Ground,c †A B de Villiers b R J Peterson,22,24,91.67,,487,18.73,77.80
41,07/07/2013,Ireland,VRA Ground,c J F Mooney b K J O'Brien,0,2,0.00,,487,18.04,77.55
42,09/07/2013,Ireland,VRA Ground,c G H Dockrell b A R Cusack,7,8,87.50,,494,17.64,77.67
43,27/08/2013,Canada,Maple Leaf North - West Ground,c sub b K Kamyuka,18,31,58.06,,512,17.66,76.76
44,29/08/2013,Canada,Maple Leaf North - West Ground,did not bat,-,-,-,,512,17.66,76.76
45,23/01/2014,Kenya,Bert Sutcliffe Oval,run out,4,4,100.00,,516,17.20,76.90
46,28/01/2014,Canada,Bay Oval,did not bat,-,-,-,,516,17.20,76.90
No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,No. of Innings Played = 34,,
