0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,12/02/2003,India,Boland Park,c V Sehwag b J Srinath,26,66,39.39,,26,26.00,39.39
2,16/02/2003,England,Buffalo Park,not out,17*,38,44.74,,43,43.00,41.35
3,20/02/2003,Australia,Senwes Park,c †J P Maher b I J Harvey,0,2,0.00,,43,21.50,40.57
4,25/02/2003,Pakistan,Boland Park,lbw b Wasim Akram,7,21,33.33,,50,16.67,39.37
5,28/02/2003,Zimbabwe,Queens Sports Club,not out,8*,11,72.73,,58,19.33,42.03
6,03/03/2003,Namibia,Mangaung Oval,did not bat,-,-,-,,58,19.33,42.03
7,04/07/2006,Sri Lanka,VRA Ground,not out,0*,1,0.00,,58,19.33,41.73
8,06/07/2006,Sri Lanka,VRA Ground,lbw b M F Maharoof,1,3,33.33,,59,14.75,41.55
9,06/08/2006,Scotland,Cambusdoon New Ground,did not bat,-,-,-,,59,14.75,41.55
10,08/08/2006,Ireland,Cambusdoon New Ground,did not bat,-,-,-,,59,14.75,41.55
11,26/11/2006,Canada,Senwes Park,not out,6*,6,100.00,,65,16.25,43.92
12,28/11/2006,Bermuda,Senwes Park,did not bat,-,-,-,,65,16.25,43.92
13,01/12/2006,Canada,Willowmoore Park,lbw b G R Codrington,0,1,0.00,,65,13.00,43.62
14,02/12/2006,Bermuda,Willowmoore Park,not out,9*,35,25.71,,74,14.80,40.22
15,30/01/2007,Canada,Ruaraka Sports Club Ground,did not bat,-,-,-,,74,14.80,40.22
16,31/01/2007,Kenya,Gymkhana Club Ground,not out,19*,40,47.50,,93,18.60,41.52
17,02/02/2007,Scotland,Jaffrey Sports Club Ground,not out,0*,0,-,,93,18.60,41.52
18,04/02/2007,Bermuda,Ruaraka Sports Club Ground,did not bat,-,-,-,,93,18.60,41.52
19,05/02/2007,Ireland,Gymkhana Club Ground,did not bat,-,-,-,,93,18.60,41.52
20,16/03/2007,South Africa,Warner Park,did not bat,-,-,-,,93,18.60,41.52
21,18/03/2007,Australia,Warner Park,lbw b G B Hogg,3,12,25.00,,96,16.00,40.68
22,22/03/2007,Scotland,Warner Park,did not bat,-,-,-,,96,16.00,40.68
23,03/07/2007,Canada,"Cricket, Skating & Curling Club",did not bat,-,-,-,,96,16.00,40.68
24,10/07/2007,West Indies,Castle Avenue,c †D Ramdin b D J G Sammy,1,5,20.00,,97,13.86,40.25
25,11/07/2007,Ireland,Civil Service Cricket Club,did not bat,-,-,-,,97,13.86,40.25
26,13/07/2007,Scotland,Civil Service Cricket Club,did not bat,-,-,-,,97,13.86,40.25
27,18/08/2007,Bermuda,Hazelaarweg,not out,19*,19,100.00,,116,16.57,44.62
28,20/08/2007,Bermuda,Hazelaarweg,did not bat,-,-,-,,116,16.57,44.62
29,28/07/2008,Ireland,Castle Avenue,run out,18,50,36.00,,134,16.75,43.23
30,29/07/2008,Scotland,Castle Avenue,run out,2,11,18.18,,136,15.11,42.37
31,08/08/2008,Bermuda,VRA Ground,did not bat,-,-,-,,136,15.11,42.37
32,21/08/2008,Kenya,Hazelaarweg,did not bat,-,-,-,,136,15.11,42.37
33,01/04/2009,Kenya,Senwes Park,did not bat,-,-,-,,136,15.11,42.37
34,08/04/2009,Bermuda,Senwes Park,not out,29*,30,96.67,,165,18.33,47.01
35,19/04/2009,Kenya,Senwes Park,did not bat,-,-,-,,165,18.33,47.01
36,11/07/2009,Canada,VRA Ground,did not bat,-,-,-,,165,18.33,47.01
37,30/08/2009,Afghanistan,VRA Ground,run out,4,9,44.44,,169,16.90,46.94
38,01/09/2009,Afghanistan,VRA Ground,did not bat,-,-,-,,169,16.90,46.94
No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,,
