0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,04/07/2006,Sri Lanka,VRA Ground,K S Lokuarachchi (lbw),10.0,2/77,,30.00,7.70,1,38.50
,,,,M F Maharoof (b),,,,,,2,
2.0,06/07/2006,Sri Lanka,VRA Ground,D P M D Jayawardene (c & b),10.0,2/91,,30.00,8.40,3,42.00
,,,,M F Maharoof (lbw),,,,,,4,
3.0,06/08/2006,Scotland,Cambusdoon New Ground,P J C Hoffmann (c P W Borren),4.0,2/15,,24.00,7.63,5,30.50
,,,,D F Watts (c †J Smits),,,,,,6,
4.0,08/08/2006,Ireland,Cambusdoon New Ground,A R White (c A N Kervezee),8.0,1/44,,27.43,7.09,7,32.43
5.0,28/11/2006,Bermuda,Senwes Park,D A Minors (c R N ten Doeschate),10.0,2/39,,28.00,6.33,8,29.56
,,,,Kwame Tucker (c P M Seelaar),,,,,,9,
6.0,01/12/2006,Canada,Willowmoore Park,A M Samad (lbw),10.0,1/45,,31.20,5.98,10,31.10
7.0,30/01/2007,Canada,Ruaraka Sports Club Ground,A C Cummins (lbw),10.0,3/41,,28.62,5.68,11,27.08
,,,,D R Chumney (c B Zuiderent),,,,,,12,
,,,,Qaiser Ali (c D J Reekers),,,,,,13,
8.0,31/01/2007,Kenya,Gymkhana Club Ground,,3.0,0/23,,30.00,5.77,,28.85
9.0,02/02/2007,Scotland,Jaffrey Sports Club Ground,R R Watson (c R N ten Doeschate),8.0,2/41,,29.20,5.70,14,27.73
,,,,D F Watts (c R N ten Doeschate),,,,,,15,
10.0,16/03/2007,South Africa,Warner Park,A B de Villiers (c †J Smits),8.0,1/43,,30.38,5.67,16,28.69
11.0,22/03/2007,Scotland,Warner Park,G M Hamilton (lbw),8.0,3/12,,28.11,5.29,17,24.79
,,,,D R Brown (lbw),,,,,,18,
,,,,N S Poonia (c †J Smits),,,,,,19,
12.0,03/07/2007,Canada,"Cricket, Skating & Curling Club",S Dhaniram (b),10.0,2/47,,28.29,5.23,20,24.67
,,,,Shahzad Khan (c D J Reekers),,,,,,21,
13.0,10/07/2007,West Indies,Castle Avenue,,2.3,0/21,,29.00,5.31,,25.67
14.0,11/07/2007,Ireland,Civil Service Cricket Club,K E D Carroll (lbw),10.0,1/21,,30.41,5.02,22,25.45
15.0,13/07/2007,Scotland,Civil Service Cricket Club,,5.0,0/7,,31.77,4.87,,25.77
