0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,16/02/2003,England,Buffalo Park,N V Knight (c B Zuiderent),3.0,3/16,,6.00,5.33,1,5.33
,,,,A Flintoff (c R P Lefebvre),,,,,,2,
,,,,M P Vaughan (c T B M de Leede),,,,,,3,
2.0,20/02/2003,Australia,Senwes Park,,2.0,0/20,,10.00,7.20,,12.00
3.0,25/02/2003,Pakistan,Boland Park,Saleem Elahi (c B Zuiderent),4.0,2/27,,10.80,7.00,4,12.60
,,,,Abdul Razzaq (c †J Smits),,,,,,5,
4.0,28/02/2003,Zimbabwe,Queens Sports Club,,3.0,0/22,,14.40,7.08,,17.00
5.0,26/11/2006,Canada,Senwes Park,D R Chumney (st †J Smits),8.0,2/46,,17.14,6.55,6,18.71
,,,,D E S Maxwell (st †J Smits),,,,,,7,
6.0,28/11/2006,Bermuda,Senwes Park,H Durham (c †J Smits),6.0,2/12,,17.33,5.50,8,15.89
,,,,S Mukuddem (b),,,,,,9,
7.0,01/12/2006,Canada,Willowmoore Park,,7.0,0/32,,22.00,5.30,,19.44
8.0,04/02/2007,Bermuda,Ruaraka Sports Club Ground,,3.0,0/24,,24.00,5.53,,22.11
9.0,16/03/2007,South Africa,Warner Park,,4.0,0/56,,26.67,6.38,,28.33
10.0,22/03/2007,Scotland,Warner Park,P J C Hoffmann (c R N ten Doeschate),1.1,1/4,,24.70,6.29,10,25.90
11.0,19/04/2009,Kenya,Senwes Park,,3.0,0/18,,26.50,6.27,,27.70
12.0,01/09/2009,Afghanistan,VRA Ground,Asghar Afghan (c E S Szwarczynski),9.0,1/44,,29.00,6.04,11,29.18
13.0,09/07/2013,Ireland,VRA Ground,,2.0,0/8,,30.09,5.96,,29.91
