0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,19.0,2,98,3,0,2/52,32.67,38.00,5.16
Bangladesh,16.0,1,74,1,0,1/50,74.00,96.00,4.63
Canada,6.0,0,38,0,0,0/38,,,6.33
England,40.2,3,173,8,0,3/13,21.63,30.25,4.29
India,52.1,4,235,17,2,5/22,13.82,18.41,4.50
Pakistan,56.0,2,347,6,0,2/57,57.83,56.00,6.20
South Africa,57.0,1,286,6,0,2/33,47.67,57.00,5.02
Sri Lanka,48.0,2,272,5,0,2/58,54.40,57.60,5.67
West Indies,9.4,1,44,4,1,4/44,11.00,14.50,4.55
Zimbabwe,10.0,0,76,3,0,2/22,25.33,20.00,7.60
Overall (10),314.1,16,1643,53,3,5/22,31.00,35.57,5.23
