0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,26/02/1997,England,McLean Park,1*,1,,2/49,2,24.50,1,1,,,,25 years 64 days
2.0,02/03/1997,England,Eden Park,3,4,4.00,2/21,4,17.50,1,2,,,,25 years 68 days
3.0,04/03/1997,England,Basin Reserve,-,4,4.00,1/40,5,22.00,,2,,,,25 years 70 days
4.0,24/10/1998,Zimbabwe,Bangabandhu National Stadium,-,4,4.00,3/54,8,20.50,,2,,,,26 years 304 days
5.0,26/10/1998,Sri Lanka,Bangabandhu National Stadium,3,7,3.50,1/37,9,22.33,1,3,,,,26 years 306 days
6.0,12/01/1999,India,McLean Park,7*,14,7.00,0/21,9,24.67,,3,,,,27 years 19 days
7.0,14/02/1999,South Africa,Carisbrook,-,14,7.00,4/35,13,19.77,1,4,,,,27 years 52 days
8.0,17/02/1999,South Africa,AMI Stadium,-,14,7.00,2/42,15,19.93,,4,,,,27 years 55 days
9.0,20/02/1999,South Africa,Eden Park,-,14,7.00,2/51,17,20.59,,4,,,,27 years 58 days
10.0,25/03/1999,South Africa,McLean Park,-,14,7.00,0/9,17,21.12,,4,,,,27 years 91 days
11.0,26/03/1999,South Africa,McLean Park,0,14,4.67,2/33,19,20.63,,4,,,,27 years 92 days
12.0,27/03/1999,South Africa,Eden Park,0*,14,4.67,4/47,23,19.09,,4,,,,27 years 93 days
13.0,30/03/1999,South Africa,Basin Reserve,-,14,4.67,0/46,23,21.09,,4,,,,27 years 96 days
14.0,17/05/1999,Bangladesh,County Ground (Chelmsford),-,14,4.67,3/30,26,19.81,,4,,,,27 years 144 days
15.0,20/05/1999,Australia,Sophia Gardens,-,14,4.67,4/37,30,18.40,,4,,,,27 years 147 days
16.0,24/05/1999,West Indies,County Ground (Southampton),0*,14,4.67,1/39,31,19.06,,4,,,,27 years 151 days
17.0,28/05/1999,Pakistan,County Ground (Derby),-,14,4.67,4/64,35,18.71,,4,,,,27 years 155 days
18.0,31/05/1999,Scotland,Grange Cricket Club,-,14,4.67,3/15,38,17.63,1,5,,,,27 years 158 days
19.0,06/06/1999,Zimbabwe,Headingley,-,14,4.67,3/24,41,16.93,,5,,,,27 years 164 days
20.0,10/06/1999,South Africa,Edgbaston,-,14,4.67,1/42,42,17.52,,5,,,,27 years 168 days
21.0,12/06/1999,India,Trent Bridge,-,14,4.67,1/33,43,17.88,,5,,,,27 years 170 days
22.0,16/06/1999,Pakistan,Old Trafford,-,14,4.67,0/41,43,18.84,,5,,,,27 years 174 days
23.0,20/08/2000,Pakistan,Kallang Ground,1*,15,5.00,3/33,46,18.33,,5,,,,28 years 240 days
24.0,25/08/2000,South Africa,Kallang Ground,1,16,4.00,0/24,46,18.85,,5,,,,28 years 245 days
25.0,30/09/2000,Zimbabwe,Queens Sports Club,1*,17,4.25,1/44,47,19.38,,5,,,,28 years 281 days
26.0,09/10/2000,Zimbabwe,Gymkhana Club Ground,-,17,4.25,1/45,48,19.92,,5,,,,28 years 290 days
27.0,11/10/2000,Pakistan,Gymkhana Club Ground,-,17,4.25,1/57,49,20.67,,5,,,,28 years 292 days
28.0,15/10/2000,India,Gymkhana Club Ground,-,17,4.25,1/54,50,21.34,,5,,,,28 years 296 days
29.0,20/10/2000,South Africa,Senwes Park,-,17,4.25,0/33,50,22.00,,5,,,,28 years 301 days
30.0,25/10/2000,South Africa,SuperSport Park,0,17,3.40,1/69,51,22.92,,5,,,,28 years 306 days
31.0,01/11/2000,South Africa,Kingsmead,-,17,3.40,1/38,52,23.21,,5,,,,28 years 313 days
