0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,11/01/2002,Australia,Melbourne Cricket Ground,M E Waugh (c †A C Parore),10.0,3/53,,20.00,5.30,1,17.67
,,,,M G Bevan (c J E C Franklin),,,,,,2,
,,,,R T Ponting (c J E C Franklin),,,,,,3,
2.0,15/01/2002,South Africa,Bellerive Oval,H H Dippenaar (c C D McMillan),10.0,1/64,,30.00,5.85,4,29.25
3.0,17/01/2002,Australia,Sydney Cricket Ground,S R Waugh (c C Z Harris),8.0,2/28,,28.00,5.18,5,24.17
,,,,R T Ponting (c †A C Parore),,,,,,6,
4.0,19/01/2002,South Africa,Brisbane Cricket Ground,J H Kallis (c L Vincent),9.3,4/37,,22.50,4.85,7,18.20
,,,,M V Boucher (c J E C Franklin),,,,,,8,
,,,,S Elworthy (c C L Cairns),,,,,,9,
,,,,J L Ontong (c C D McMillan),,,,,,10,
5.0,26/01/2002,Australia,Adelaide Oval,D R Martyn (c L Vincent),9.2,5/25,,18.73,4.42,11,13.80
,,,,R T Ponting (c †A C Parore),,,,,,12,
,,,,J N Gillespie (b),,,,,,13,
,,,,A J Bichel (c N J Astle),,,,,,14,
,,,,A C Gilchrist (b),,,,,,15,
6.0,27/01/2002,South Africa,Adelaide Oval,G Kirsten (c †A C Parore),10.0,1/47,,21.31,4.47,16,15.88
7.0,29/01/2002,Australia,Melbourne Cricket Ground,R T Ponting (c N J Astle),9.3,4/38,,19.90,4.40,17,14.60
,,,,A C Gilchrist (b),,,,,,18,
,,,,B Lee (c N J Astle),,,,,,19,
,,,,I J Harvey (c †A C Parore),,,,,,20,
8.0,06/02/2002,South Africa,Melbourne Cricket Ground,,8.0,0/21,,22.30,4.21,,15.65
9.0,08/02/2002,South Africa,Sydney Cricket Ground,G Kirsten (c †A C Parore),8.0,1/31,,23.52,4.18,21,16.38
10.0,08/06/2002,West Indies,Darren Sammy National Cricket Stadium,,9.0,0/59,,26.10,4.41,,19.19
11.0,12/06/2002,West Indies,Queen's Park Oval,,6.0,0/43,,27.81,4.58,,21.24
12.0,16/06/2002,West Indies,Arnos Vale Ground,R R Sarwan (c D R Tuffey),10.0,2/41,,28.00,4.54,22,21.17
,,,,R O Hinds (b),,,,,,23,
13.0,15/09/2002,Australia,Sinhalese Sports Club Ground,D R Martyn (c C Z Harris),10.0,2/63,,28.16,4.69,24,22.00
,,,,R T Ponting (c S P Fleming),,,,,,25,
14.0,23/09/2002,Bangladesh,Sinhalese Sports Club Ground,Al Sahariar Rokon (lbw),5.0,4/21,,25.31,4.67,26,19.69
,,,,Khaled Mashud (c †L Vincent),,,,,,27,
,,,,Mohammad Ashraful (c S B Styris),,,,,,28,
