0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,11/06/1983,Pakistan,Edgbaston,lbw b Rashid Khan,3,6,50.00,,3,3.00,50.00
2,15/06/1983,England,Edgbaston,not out,4*,7,57.14,,7,7.00,53.85
3,20/06/1983,Pakistan,Trent Bridge,c Mohsin Khan b Sarfraz Nawaz,34,24,141.67,,41,20.50,110.81
4,23/11/1984,Pakistan,Iqbal Stadium,not out,17*,14,121.43,,58,29.00,113.73
5,02/12/1984,Pakistan,Jinnah Stadium (Sialkot),c Saleem Malik b Mohsin Kamal,1,7,14.29,,59,19.67,101.72
6,07/12/1984,Pakistan,Ibn-e-Qasim Bagh Stadium,not out,14*,13,107.69,,73,24.33,102.82
7,12/01/1985,Pakistan,McLean Park,did not bat,-,-,-,,73,24.33,102.82
8,15/01/1985,Pakistan,Seddon Park,did not bat,-,-,-,,73,24.33,102.82
9,06/02/1985,Pakistan,AMI Stadium,not out,20*,8,250.00,,93,31.00,117.72
10,16/02/1985,Pakistan,Eden Park,did not bat,-,-,-,,93,31.00,117.72
11,09/03/1985,West Indies,Sydney Cricket Ground,not out,11*,15,73.33,,104,34.67,110.64
12,14/04/1985,West Indies,Albion Sports Complex,c I V A Richards b H A Gomes,15,62,24.19,,119,29.75,76.28
13,17/04/1985,West Indies,Queen's Park Oval,run out,1,6,16.67,,120,24.00,74.07
14,09/01/1986,Australia,Melbourne Cricket Ground,c S R Waugh b C J McDermott,13,15,86.67,,133,22.17,75.14
15,14/01/1986,Australia,Sydney Cricket Ground,c & b D R Gilbert,5,16,31.25,,138,19.71,71.50
16,23/01/1986,India,Melbourne Cricket Ground,did not bat,-,-,-,,138,19.71,71.50
17,25/01/1986,India,Adelaide Oval,c Kapil Dev b M Amarnath,20,31,64.52,,158,19.75,70.54
18,27/01/1986,Australia,Adelaide Oval,c A R Border b C J McDermott,0,1,0.00,,158,17.56,70.22
19,29/01/1986,Australia,Sydney Cricket Ground,b C J McDermott,0,2,0.00,,158,15.80,69.60
20,19/03/1986,Australia,Carisbrook,did not bat,-,-,-,,158,15.80,69.60
21,22/03/1986,Australia,AMI Stadium,not out,2*,1,200.00,,160,16.00,70.18
22,26/03/1986,Australia,Basin Reserve,c G R Marsh b S P Davis,0,2,0.00,,160,14.55,69.57
23,29/03/1986,Australia,Eden Park,c G R J Matthews b S R Waugh,20,17,117.65,,180,15.00,72.87
24,05/04/1986,Sri Lanka,R Premadasa Stadium,not out,16*,15,106.67,,196,16.33,74.81
25,07/04/1986,Pakistan,Sinhalese Sports Club Ground,not out,15*,10,150.00,,211,17.58,77.57
26,10/04/1986,India,Sharjah Cricket Stadium,b R J Shastri,25,35,71.43,,236,18.15,76.87
27,15/04/1986,Pakistan,Sharjah Cricket Stadium,b Abdul Qadir,0,2,0.00,,236,16.86,76.38
28,16/07/1986,England,Headingley,not out,10*,13,76.92,,246,17.57,76.40
29,18/07/1986,England,Old Trafford,did not bat,-,-,-,,246,17.57,76.40
30,18/03/1987,West Indies,Carisbrook,b A H Gray,9,23,39.13,,255,17.00,73.91
31,21/03/1987,West Indies,Eden Park,c A L Logie b B P Patterson,14,25,56.00,,269,16.81,72.70
32,28/03/1987,West Indies,AMI Stadium,b C L Hooper,0,3,0.00,,269,15.82,72.12
33,10/10/1987,Zimbabwe,Lal Bahadur Shastri Stadium,not out,13*,20,65.00,,282,16.59,71.76
34,14/10/1987,India,M Chinnaswamy Stadium,c Maninder Singh b R J Shastri,8,14,57.14,,290,16.11,71.25
35,18/10/1987,Australia,Nehru Stadium (Indore),c & b B A Reid,6,4,150.00,,296,15.58,72.02
36,27/10/1987,Australia,Sector 16 Stadium,run out,12,20,60.00,,308,15.40,71.46
37,03/01/1988,Australia,WACA Ground,run out,4,17,23.53,,312,14.86,69.64
38,05/01/1988,Sri Lanka,Sydney Cricket Ground,did not bat,-,-,-,,312,14.86,69.64
39,07/01/1988,Australia,Melbourne Cricket Ground,c D C Boon b C J McDermott,9,11,81.82,,321,14.59,69.93
40,20/01/1988,Australia,Sydney Cricket Ground,b S R Waugh,38,52,73.08,,359,15.61,70.25
41,22/01/1988,Australia,Melbourne Cricket Ground,c A R Border b S R Waugh,17,18,94.44,,376,15.67,71.08
42,24/01/1988,Australia,Sydney Cricket Ground,did not bat,-,-,-,,376,15.67,71.08
43,09/03/1988,England,Carisbrook,run out,7,18,38.89,,383,15.32,70.02
44,12/03/1988,England,AMI Stadium,run out,43,49,87.76,,426,16.38,71.48
45,10/12/1988,India,Indira Priyadarshini Stadium,c †C S Pandit b K Srikkanth,12,17,70.59,,438,16.22,71.45
46,12/12/1988,India,Barabati Stadium,not out,24*,28,85.71,,462,17.11,72.07
47,15/12/1988,India,Nehru Stadium (Indore),b K Srikkanth,7,5,140.00,,469,16.75,72.60
48,17/12/1988,India,Moti Bagh Stadium,did not bat,-,-,-,,469,16.75,72.60
49,04/03/1990,Australia,AMI Stadium,b S P O'Donnell,0,1,0.00,,469,16.17,72.49
50,11/03/1990,Australia,Eden Park,c †I A Healy b G D Campbell,3,10,30.00,,472,15.73,71.84
51,26/04/1990,Australia,Sharjah Cricket Stadium,not out,36*,39,92.31,,508,16.93,72.99
52,28/04/1990,Bangladesh,Sharjah Cricket Stadium,did not bat,-,-,-,,508,16.93,72.99
53,01/05/1990,Pakistan,Sharjah Cricket Stadium,c Aaqib Javed b Mushtaq Ahmed,4,21,19.05,,512,16.52,71.41
No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,No. of Innings Played = 43,,
