0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/02/1991,England,Basin Reserve,G A Gooch (c J G Wright),9.0,2/41,,27.00,4.56,1,20.50
,,,,A J Lamb (b),,,,,,2,
2.0,16/02/1991,England,Eden Park,A J Lamb (c †I D S Smith),10.0,4/55,,19.00,5.05,3,16.00
,,,,R C Russell (b),,,,,,4,
,,,,R A Smith (b),,,,,,5,
,,,,A J Stewart (c †I D S Smith),,,,,,6,
3.0,11/01/1992,England,Eden Park,G A Hick (b),5.0,1/32,,20.57,5.33,7,18.29
4.0,12/02/1992,England,Carisbrook,,6.1,0/36,,25.86,5.44,,23.43
5.0,15/02/1992,England,AMI Stadium,R A Smith (c †I D S Smith),6.0,2/37,,24.11,5.56,8,22.33
,,,,D R Pringle (c W Watson),,,,,,9,
6.0,22/02/1992,Australia,Eden Park,,4.0,0/30,,26.78,5.75,,25.67
7.0,29/02/1992,South Africa,Eden Park,J N Rhodes (c M D Crowe),8.0,2/43,,26.27,5.69,10,24.91
,,,,D J Richardson (c G R Larsen),,,,,,11,
8.0,03/03/1992,Zimbabwe,McLean Park,,2.0,0/27,,27.36,6.00,,27.36
9.0,12/03/1992,India,Carisbrook,,8.0,0/40,,31.73,5.86,,31.00
10.0,15/03/1992,England,Basin Reserve,,3.0,0/21,,33.36,5.92,,32.91
11.0,12/12/1993,Australia,Adelaide Oval,,9.5,0/27,,38.73,5.48,,35.36
12.0,16/12/1993,Australia,Melbourne Cricket Ground,M A Taylor (c †T E Blain),7.0,1/33,,39.00,5.41,12,35.17
13.0,18/12/1993,South Africa,Bellerive Oval,P L Symcox (c †T E Blain),7.0,1/27,,39.23,5.28,13,34.54
14.0,08/01/1994,South Africa,Brisbane Cricket Ground,J N Rhodes (c †T E Blain),8.0,2/44,,37.20,5.30,14,32.87
,,,,P N Kirsten (c A H Jones),,,,,,15,
15.0,11/01/1994,Australia,Sydney Cricket Ground,S K Warne (b),9.0,1/18,,38.25,5.01,16,31.94
16.0,14/01/1994,South Africa,WACA Ground,,7.0,0/32,,40.88,4.98,,33.94
17.0,19/01/1994,Australia,Melbourne Cricket Ground,D C Boon (c K R Rutherford),10.0,1/53,,42.00,5.01,17,35.06
18.0,03/03/1994,Pakistan,Carisbrook,Basit Ali (lbw),6.0,2/33,,39.47,5.03,18,33.11
,,,,Saleem Malik (lbw),,,,,,19,
19.0,06/03/1994,Pakistan,Eden Park,,7.0,0/24,,41.68,4.95,,34.37
20.0,09/03/1994,Pakistan,Basin Reserve,Saeed Anwar (b),10.0,1/26,,42.60,4.78,20,33.95
21.0,13/03/1994,Pakistan,Eden Park,,7.0,0/21,,44.70,4.70,,35.00
