0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,13/02/1982,Australia,Eden Park,did not bat,-,-,-,,0,,
2,17/02/1982,Australia,Carisbrook,c K J Hughes b T M Alderman,3,13,23.08,,3,3.00,23.08
3,20/02/1982,Australia,Basin Reserve,c B M Laird b T M Alderman,7,17,41.18,,10,5.00,33.33
4,17/03/1983,Australia,Sydney Cricket Ground,c K J Hughes b G S Chappell,66,67,98.51,,76,25.33,78.35
5,19/03/1983,Sri Lanka,McLean Park,not out,43*,48,89.58,,119,39.67,82.07
6,20/03/1983,Sri Lanka,Eden Park,not out,7*,5,140.00,,126,42.00,84.00
7,09/06/1983,England,Kennington Oval,run out,97,118,82.20,,223,55.75,83.21
8,11/06/1983,Pakistan,Edgbaston,c Mohsin Khan b Rashid Khan,34,53,64.15,,257,51.40,80.06
9,13/06/1983,Sri Lanka,County Ground (Bristol),c †R G De Alwis b A L F De Mel,0,11,0.00,,257,42.83,77.41
10,15/06/1983,England,Edgbaston,b V J Marks,20,40,50.00,,277,39.57,74.46
11,18/06/1983,Sri Lanka,County Ground (Derby),lbw b R J Ratnayake,8,32,25.00,,285,35.63,70.54
12,20/06/1983,Pakistan,Trent Bridge,b Mudassar Nazar,43,62,69.35,,328,36.44,70.39
13,18/02/1984,England,AMI Stadium,run out,0,2,0.00,,328,32.80,70.09
14,22/02/1984,England,Basin Reserve,c N A Foster b V J Marks,8,15,53.33,,336,30.55,69.57
15,25/02/1984,England,Eden Park,not out,105*,105,100.00,,441,40.09,75.00
16,03/03/1984,Sri Lanka,Sinhalese Sports Club Ground,c A L F De Mel b D S De Silva,29,27,107.41,,470,39.17,76.42
17,31/03/1984,Sri Lanka,Tyronne Fernando Stadium,c †R G De Alwis b S H U Karnain,9,13,69.23,,479,36.85,76.27
18,01/04/1984,Sri Lanka,P Sara Oval,run out,68,84,80.95,,547,39.07,76.83
19,03/11/1984,Sri Lanka,P Sara Oval,b A Ranatunga,23,44,52.27,,570,38.00,75.40
20,04/11/1984,Sri Lanka,Tyronne Fernando Stadium,not out,52*,57,91.23,,622,41.47,76.51
21,12/11/1984,Pakistan,Arbab Niaz Stadium,c †A Dalpat b Zakir Khan,8,10,80.00,,630,39.38,76.55
22,23/11/1984,Pakistan,Iqbal Stadium,c Zaheer Abbas b Mudassar Nazar,19,17,111.76,,649,38.18,77.26
23,02/12/1984,Pakistan,Jinnah Stadium (Sialkot),b Mohsin Kamal,67,61,109.84,,716,39.78,79.47
24,07/12/1984,Pakistan,Ibn-e-Qasim Bagh Stadium,run out,28,26,107.69,,744,39.16,80.26
25,12/01/1985,Pakistan,McLean Park,c Qasim Omar b Tahir Naqqash,32,36,88.89,,776,38.80,80.58
26,15/01/1985,Pakistan,Seddon Park,c Tahir Naqqash b M Iqbal Qasim,59,72,81.94,,835,39.76,80.68
27,06/02/1985,Pakistan,AMI Stadium,run out,20,17,117.65,,855,38.86,81.27
28,19/02/1985,West Indies,Sydney Cricket Ground,did not bat,-,-,-,,855,38.86,81.27
29,23/02/1985,Sri Lanka,Melbourne Cricket Ground,run out,22,31,70.97,,877,38.13,80.98
30,05/03/1985,India,Sydney Cricket Ground,c M Azharuddin b S Madan Lal,9,25,36.00,,886,36.92,79.96
31,09/03/1985,West Indies,Sydney Cricket Ground,c R A Harper b M A Holding,8,34,23.53,,894,35.76,78.28
32,20/03/1985,West Indies,Antigua Recreation Ground,lbw b R A Harper,41,56,73.21,,935,35.96,78.05
33,27/03/1985,West Indies,Queen's Park Oval,not out,20*,65,30.77,,955,36.73,75.61
34,14/04/1985,West Indies,Albion Sports Complex,b M A Holding,20,33,60.61,,975,36.11,75.23
35,17/04/1985,West Indies,Queen's Park Oval,b J Garner,1,13,7.69,,976,34.86,74.56
36,23/04/1985,West Indies,Kensington Oval,c A L Logie b W W Davis,6,5,120.00,,982,33.86,74.73
37,09/01/1986,Australia,Melbourne Cricket Ground,b D R Gilbert,71,57,124.56,,1053,35.10,76.81
38,11/01/1986,India,Brisbane Cricket Ground,c & b M Amarnath,76,83,91.57,,1129,36.42,77.65
39,14/01/1986,Australia,Sydney Cricket Ground,c †W B Phillips b D R Gilbert,9,24,37.50,,1138,35.56,77.00
40,18/01/1986,India,WACA Ground,c M Azharuddin b Kapil Dev,33,58,56.90,,1171,35.48,76.24
41,19/01/1986,Australia,WACA Ground,c D C Boon b S R Waugh,1,6,16.67,,1172,34.47,76.01
42,23/01/1986,India,Melbourne Cricket Ground,c R J Shastri b Kapil Dev,67,93,72.04,,1239,35.40,75.78
43,25/01/1986,India,Adelaide Oval,c †K S More b R J Shastri,28,52,53.85,,1267,35.19,75.10
44,27/01/1986,Australia,Adelaide Oval,c A R Border b B A Reid,26,45,57.78,,1293,34.95,74.65
45,29/01/1986,Australia,Sydney Cricket Ground,b C J McDermott,9,15,60.00,,1302,34.26,74.53
46,02/02/1986,India,North Tasmania Cricket Association Ground,c & b R M H Binny,10,21,47.62,,1312,33.64,74.21
47,19/03/1986,Australia,Carisbrook,b B A Reid,47,77,61.04,,1359,33.98,73.66
48,22/03/1986,Australia,AMI Stadium,c G M Ritchie b S R Waugh,12,14,85.71,,1371,33.44,73.75
49,26/03/1986,Australia,Basin Reserve,b C J McDermott,28,38,73.68,,1399,33.31,73.75
50,29/03/1986,Australia,Eden Park,c A R Border b G R J Matthews,14,25,56.00,,1413,32.86,73.52
51,05/04/1986,Sri Lanka,R Premadasa Stadium,c R S Mahanama b A Ranatunga,4,19,21.05,,1417,32.20,73.00
52,07/04/1986,Pakistan,Sinhalese Sports Club Ground,c Manzoor Elahi b Mohsin Kamal,75,85,88.24,,1492,33.16,73.64
53,10/04/1986,India,Sharjah Cricket Stadium,lbw b S Madan Lal,1,9,11.11,,1493,32.46,73.37
54,15/04/1986,Pakistan,Sharjah Cricket Stadium,c Abdul Qadir b Wasim Akram,9,13,69.23,,1502,31.96,73.34
55,16/07/1986,England,Headingley,b R M Ellison,9,16,56.25,,1511,31.48,73.21
56,18/07/1986,England,Old Trafford,not out,93*,74,125.68,,1604,33.42,75.02
57,18/03/1987,West Indies,Carisbrook,c R B Richardson b J Garner,7,29,24.14,,1611,32.88,74.34
58,21/03/1987,West Indies,Eden Park,c †P J L Dujon b A H Gray,53,86,61.63,,1664,33.28,73.86
59,28/03/1987,West Indies,AMI Stadium,lbw b C A Walsh,42,71,59.15,,1706,33.45,73.41
60,10/10/1987,Zimbabwe,Lal Bahadur Shastri Stadium,c & b P W E Rawson,72,88,81.82,,1778,34.19,73.71
61,14/10/1987,India,M Chinnaswamy Stadium,st K S More b Maninder Singh,9,12,75.00,,1787,33.72,73.72
62,18/10/1987,Australia,Nehru Stadium (Indore),c G R Marsh b S R Waugh,58,48,120.83,,1845,34.17,74.64
63,23/10/1987,Zimbabwe,Eden Gardens,c I P Butchart b A H Omarshah,58,58,100.00,,1903,34.60,75.22
64,27/10/1987,Australia,Sector 16 Stadium,run out,4,5,80.00,,1907,34.05,75.23
65,31/10/1987,India,Vidarbha Cricket Association Ground,c †C S Pandit b M Azharuddin,21,24,87.50,,1928,33.82,75.34
66,03/01/1988,Australia,WACA Ground,c †G C Dyer b P L Taylor,45,65,69.23,,1973,34.02,75.19
67,05/01/1988,Sri Lanka,Sydney Cricket Ground,c P A de Silva b G F Labrooy,52,68,76.47,,2025,34.32,75.22
68,07/01/1988,Australia,Melbourne Cricket Ground,b A I C Dodemaide,37,62,59.68,,2062,34.37,74.87
69,09/01/1988,Sri Lanka,Adelaide Oval,c A P Gurusinha b C P H Ramanayake,39,42,92.86,,2101,34.44,75.14
70,12/01/1988,Sri Lanka,Bellerive Oval,c †R G De Alwis b C P H Ramanayake,25,33,75.76,,2126,34.29,75.15
71,16/01/1988,Sri Lanka,Brisbane Cricket Ground,run out,43,60,71.67,,2169,34.43,75.08
72,17/01/1988,Australia,Brisbane Cricket Ground,c S P Davis b P L Taylor,1,4,25.00,,2170,33.91,75.01
73,22/01/1988,Australia,Melbourne Cricket Ground,c †G C Dyer b A I C Dodemaide,48,72,66.67,,2218,34.12,74.81
