0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,18/04/1994,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,0,,
2,20/04/1994,Pakistan,Sharjah Cricket Stadium,did not bat,-,-,-,,0,,
3,20/02/1997,England,AMI Stadium,did not bat,-,-,-,,0,,
4,23/02/1997,England,Eden Park,did not bat,-,-,-,,0,,
5,26/02/1997,England,McLean Park,b C White,1,2,50.00,,1,1.00,50.00
6,02/03/1997,England,Eden Park,b A R Caddick,0,8,0.00,,1,0.50,10.00
7,04/03/1997,England,Basin Reserve,not out,7*,11,63.64,,8,4.00,38.10
8,25/03/1997,Sri Lanka,AMI Stadium,not out,4*,9,44.44,,12,6.00,40.00
9,27/03/1997,Sri Lanka,Basin Reserve,not out,1*,3,33.33,,13,6.50,39.39
10,09/05/1997,Pakistan,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,13,6.50,39.39
11,14/05/1997,India,M Chinnaswamy Stadium,not out,0*,0,-,,13,6.50,39.39
No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,,
