0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,31/10/1992,Zimbabwe,Bulawayo Athletic Club,not out,2*,2,100.00,,2,,100.00
2,01/11/1994,West Indies,Nehru Stadium (Guwahati),b K L T Arthurton,4,4,100.00,,6,6.00,100.00
3,03/11/1994,India,Arun Jaitley Stadium,st V Yadav b V G Kambli,8,10,80.00,,14,7.00,87.50
4,06/12/1994,South Africa,Newlands,not out,19*,15,126.67,,33,16.50,106.45
5,08/12/1994,Sri Lanka,Mangaung Oval,did not bat,-,-,-,,33,16.50,106.45
6,11/12/1994,South Africa,SuperSport Park,c †D J Richardson b E O Simons,13,8,162.50,,46,15.33,117.95
7,22/01/1995,West Indies,Eden Park,not out,6*,8,75.00,,52,17.33,110.64
8,25/01/1995,West Indies,Basin Reserve,not out,9*,6,150.00,,61,20.33,115.09
9,29/11/1995,India,Brabourne Stadium,c B K V Prasad b A Kumble,2,7,28.57,,63,15.75,105.00
10,07/11/1996,Sri Lanka,Sharjah Cricket Stadium,not out,1*,3,33.33,,64,16.00,101.59
11,10/11/1996,Pakistan,Sharjah Cricket Stadium,st Moin Khan b Saqlain Mushtaq,14,12,116.67,,78,15.60,104.00
12,11/11/1996,Sri Lanka,Sharjah Cricket Stadium,not out,0*,2,0.00,,78,15.60,101.30
13,13/11/1996,Pakistan,Sharjah Cricket Stadium,not out,3*,3,100.00,,81,16.20,101.25
14,04/12/1996,Pakistan,Jinnah Stadium (Gujwranwala),run out,0,2,0.00,,81,13.50,98.78
15,06/12/1996,Pakistan,Jinnah Stadium (Sialkot),c sub b Waqar Younis,1,4,25.00,,82,11.71,95.35
16,08/12/1996,Pakistan,National Stadium (Karachi),did not bat,-,-,-,,82,11.71,95.35
17,20/02/1997,England,AMI Stadium,did not bat,-,-,-,,82,11.71,95.35
18,23/02/1997,England,Eden Park,did not bat,-,-,-,,82,11.71,95.35
19,26/02/1997,England,McLean Park,b C White,22,23,95.65,,104,13.00,95.41
20,02/03/1997,England,Eden Park,not out,13*,17,76.47,,117,14.63,92.86
21,25/03/1997,Sri Lanka,AMI Stadium,c & b S T Jayasuriya,1,6,16.67,,118,13.11,89.39
22,27/03/1997,Sri Lanka,Basin Reserve,c U D U Chandana b W P U J C Vaas,18,21,85.71,,136,13.60,88.89
23,04/02/1998,Zimbabwe,Seddon Park,not out,0*,0,-,,136,13.60,88.89
24,06/02/1998,Zimbabwe,Basin Reserve,did not bat,-,-,-,,136,13.60,88.89
25,08/02/1998,Australia,AMI Stadium,not out,0*,0,-,,136,13.60,88.89
26,10/02/1998,Australia,Basin Reserve,not out,9*,4,225.00,,145,14.50,92.36
27,12/02/1998,Australia,McLean Park,did not bat,-,-,-,,145,14.50,92.36
28,14/02/1998,Australia,Eden Park,did not bat,-,-,-,,145,14.50,92.36
29,04/03/1998,Zimbabwe,AMI Stadium,st A Flower b P A Strang,0,1,0.00,,145,13.18,91.77
30,08/03/1998,Zimbabwe,Eden Park,not out,5*,3,166.67,,150,13.64,93.17
31,17/04/1998,India,Sharjah Cricket Stadium,b A Kumble,10,9,111.11,,160,13.33,94.12
32,20/04/1998,India,Sharjah Cricket Stadium,did not bat,-,-,-,,160,13.33,94.12
33,21/04/1998,Australia,Sharjah Cricket Stadium,did not bat,-,-,-,,160,13.33,94.12
34,24/10/1998,Zimbabwe,Bangabandhu National Stadium,did not bat,-,-,-,,160,13.33,94.12
35,26/10/1998,Sri Lanka,Bangabandhu National Stadium,run out,6,12,50.00,,166,12.77,91.21
36,09/01/1999,India,Owen Delany Park,did not bat,-,-,-,,166,12.77,91.21
37,16/01/1999,India,Eden Park,did not bat,-,-,-,,166,12.77,91.21
38,19/01/1999,India,AMI Stadium,did not bat,-,-,-,,166,12.77,91.21
39,17/02/1999,South Africa,AMI Stadium,c & b S M Pollock,6,5,120.00,,172,12.29,91.98
40,20/02/1999,South Africa,Eden Park,did not bat,-,-,-,,172,12.29,91.98
41,01/03/2000,Australia,McLean Park,not out,0*,1,0.00,,172,12.29,91.49
42,03/03/2000,Australia,Eden Park,did not bat,-,-,-,,172,12.29,91.49
No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,,
