0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,25/03/1994,India,McLean Park,90,90,90.00,,0,,,0,,,,20 years 358 days
2.0,27/03/1994,India,Eden Park,6,96,48.00,,0,,,0,,,,20 years 360 days
3.0,30/03/1994,India,Basin Reserve,2,98,32.67,,0,,,0,,,,20 years 363 days
4.0,02/04/1994,India,AMI Stadium,25,123,30.75,,0,,,0,,,,21 years 0 days
5.0,16/04/1994,Australia,Sharjah Cricket Stadium,35,158,31.60,,0,,,0,,,,21 years 14 days
6.0,18/04/1994,Sri Lanka,Sharjah Cricket Stadium,14,172,28.67,,0,,1,1,,,,21 years 16 days
7.0,20/04/1994,Pakistan,Sharjah Cricket Stadium,1,173,24.71,,0,,,1,,,,21 years 18 days
8.0,19/05/1994,England,Edgbaston,17,190,23.75,,0,,1,2,,,,21 years 47 days
9.0,26/10/1994,West Indies,Nehru Stadium (Margao),-,190,23.75,,0,,,2,,,,21 years 207 days
10.0,28/10/1994,India,Reliance Stadium,33*,223,27.88,,0,,,2,,,,21 years 209 days
11.0,01/11/1994,West Indies,Nehru Stadium (Guwahati),18,241,26.78,,0,,,2,,,,21 years 213 days
12.0,03/11/1994,India,Arun Jaitley Stadium,56,297,29.70,,0,,,2,,,,21 years 215 days
13.0,06/12/1994,South Africa,Newlands,12,309,28.09,,0,,,2,,,,21 years 248 days
14.0,08/12/1994,Sri Lanka,Mangaung Oval,11,320,26.67,,0,,,2,,,,21 years 250 days
15.0,11/12/1994,South Africa,SuperSport Park,0,320,24.62,,0,,,2,,,,21 years 253 days
16.0,13/12/1994,Pakistan,St George's Park,4,324,23.14,,0,,1,3,,,,21 years 255 days
17.0,18/12/1994,Sri Lanka,Buffalo Park,5,329,21.93,,0,,1,4,,,,21 years 260 days
18.0,19/12/1994,Pakistan,Buffalo Park,19,348,21.75,0/5,0,,,4,,,,21 years 261 days
19.0,16/02/1995,India,McLean Park,59*,407,25.44,,0,,,4,,,,21 years 320 days
20.0,19/02/1995,Australia,Eden Park,53,460,27.06,,0,,1,5,,,,21 years 323 days
21.0,23/02/1995,South Africa,AMI Stadium,21,481,26.72,,0,,1,6,,,,21 years 327 days
22.0,26/02/1995,Australia,Eden Park,0,481,25.32,,0,,,6,,,,21 years 330 days
23.0,26/03/1995,Sri Lanka,AMI Stadium,46,527,26.35,,0,,1,7,,,,21 years 358 days
24.0,29/03/1995,Sri Lanka,Seddon Park,6,533,25.38,,0,,,7,,,,21 years 361 days
25.0,01/04/1995,Sri Lanka,Eden Park,18,551,25.05,,0,,1,8,,,,22 years 364 days
26.0,15/11/1995,India,Keenan Stadium,78*,629,28.59,,0,,,8,,,,22 years 227 days
27.0,18/11/1995,India,Gandhi Sports Complex Ground,3,632,27.48,,0,,1,9,,,,22 years 230 days
28.0,24/11/1995,India,Nehru Stadium (Pune),26,658,27.42,,0,,,9,,,,22 years 236 days
29.0,26/11/1995,India,Vidarbha Cricket Association Ground,60,718,28.72,,0,,,9,,,,22 years 238 days
30.0,29/11/1995,India,Brabourne Stadium,8,726,27.92,,0,,,9,,,,22 years 241 days
31.0,15/12/1995,Pakistan,Carisbrook,15,741,27.44,,0,,,9,,,,22 years 257 days
32.0,17/12/1995,Pakistan,AMI Stadium,48,789,28.18,,0,,,9,,,,22 years 259 days
33.0,20/12/1995,Pakistan,Basin Reserve,35,824,28.41,,0,,,9,,,,22 years 262 days
34.0,23/12/1995,Pakistan,Eden Park,38,862,28.73,,0,,,9,,,,22 years 265 days
35.0,28/01/1996,Zimbabwe,Eden Park,2,864,27.87,,0,,1,10,,,,22 years 301 days
36.0,31/01/1996,Zimbabwe,Basin Reserve,70,934,29.19,,0,,1,11,,,,22 years 304 days
37.0,03/02/1996,Zimbabwe,McLean Park,50,984,29.82,,0,,1,12,,,,22 years 307 days
38.0,14/02/1996,England,Sardar Patel Stadium,28,1012,29.76,,0,,,12,,,,22 years 318 days
39.0,17/02/1996,Netherlands,Reliance Stadium,66,1078,30.80,1/8,1,13.00,,12,,,,22 years 321 days
40.0,20/02/1996,South Africa,Iqbal Stadium,33,1111,30.86,,1,13.00,1,13,,,,22 years 324 days
41.0,27/02/1996,United Arab Emirates,Iqbal Stadium,16,1127,30.46,,1,13.00,2,15,,,,22 years 331 days
42.0,06/03/1996,Pakistan,Gaddafi Stadium,42,1169,30.76,,1,13.00,,15,,,,22 years 339 days
43.0,11/03/1996,Australia,MA Chidambaram Stadium,8,1177,30.18,,1,13.00,,15,,,,22 years 344 days
44.0,26/03/1996,West Indies,Sabina Park,8,1185,29.63,,1,13.00,1,16,,,,22 years 359 days
45.0,29/03/1996,West Indies,Queen's Park Oval,106*,1291,32.28,,1,13.00,1,17,,,,22 years 362 days
46.0,30/03/1996,West Indies,Queen's Park Oval,4,1295,31.59,,1,13.00,1,18,,,,22 years 363 days
47.0,03/04/1996,West Indies,Bourda,9,1304,31.05,,1,13.00,,18,,,,23 years 2 days
48.0,06/04/1996,West Indies,Arnos Vale Ground,75,1379,32.07,0/15,1,28.00,1,19,,,,23 years 5 days
49.0,07/11/1996,Sri Lanka,Sharjah Cricket Stadium,1,1380,31.36,,1,28.00,,19,,,,23 years 220 days
50.0,10/11/1996,Pakistan,Sharjah Cricket Stadium,1,1381,30.69,,1,28.00,1,20,,,,23 years 223 days
51.0,11/11/1996,Sri Lanka,Sharjah Cricket Stadium,13,1394,30.30,,1,28.00,1,21,,,,23 years 224 days
52.0,15/11/1996,Pakistan,Sharjah Cricket Stadium,4,1398,29.74,,1,28.00,2,23,,,,23 years 228 days
53.0,04/12/1996,Pakistan,Jinnah Stadium (Gujwranwala),36,1434,29.88,,1,28.00,1,24,,,,23 years 247 days
54.0,06/12/1996,Pakistan,Jinnah Stadium (Sialkot),88,1522,31.06,,1,28.00,,24,,,,23 years 249 days
55.0,08/12/1996,Pakistan,National Stadium (Karachi),48*,1570,32.04,,1,28.00,,24,,,,23 years 251 days
56.0,20/02/1997,England,AMI Stadium,34,1604,32.08,,1,28.00,,24,,,,23 years 325 days
57.0,23/02/1997,England,Eden Park,42,1646,32.27,,1,28.00,,24,,,,23 years 328 days
58.0,26/02/1997,England,McLean Park,12,1658,31.88,,1,28.00,,24,,,,23 years 331 days
59.0,02/03/1997,England,Eden Park,37,1695,31.98,,1,28.00,1,25,,,,23 years 335 days
60.0,04/03/1997,England,Basin Reserve,17,1712,31.70,,1,28.00,1,26,,,,23 years 337 days
61.0,25/03/1997,Sri Lanka,AMI Stadium,31,1743,31.69,,1,28.00,,26,,,,23 years 358 days
62.0,27/03/1997,Sri Lanka,Basin Reserve,9,1752,31.29,,1,28.00,1,27,,,,23 years 360 days
63.0,09/05/1997,Pakistan,Punjab Cricket Association IS Bindra Stadium,9,1761,30.89,,1,28.00,1,28,,,,24 years 38 days
64.0,14/05/1997,India,M Chinnaswamy Stadium,13,1774,30.59,,1,28.00,,28,,,,24 years 43 days
65.0,20/05/1997,Sri Lanka,Lal Bahadur Shastri Stadium,24,1798,30.47,,1,28.00,,28,,,,24 years 49 days
66.0,01/10/1997,Zimbabwe,Queens Sports Club,19,1817,30.28,,1,28.00,1,29,,,,24 years 183 days
67.0,04/10/1997,Zimbabwe,Harare Sports Club,5,1822,29.87,,1,28.00,,29,,,,24 years 186 days
68.0,05/10/1997,Zimbabwe,Harare Sports Club,62,1884,30.39,,1,28.00,,29,,,,24 years 187 days
69.0,06/12/1997,South Africa,Adelaide Oval,10,1894,30.06,,1,28.00,,29,,,,24 years 249 days
70.0,07/12/1997,Australia,Adelaide Oval,61,1955,30.55,,1,28.00,,29,,,,24 years 250 days
71.0,11/12/1997,South Africa,Bellerive Oval,32,1987,30.57,,1,28.00,,29,,,,24 years 254 days
72.0,17/12/1997,Australia,Melbourne Cricket Ground,6,1993,30.20,,1,28.00,,29,,,,24 years 260 days
73.0,09/01/1998,South Africa,Brisbane Cricket Ground,2,1995,29.78,,1,28.00,,29,,,,24 years 283 days
74.0,14/01/1998,Australia,Sydney Cricket Ground,28,2023,29.75,,1,28.00,1,30,,,,24 years 288 days
75.0,16/01/1998,South Africa,WACA Ground,26,2049,29.70,,1,28.00,,30,,,,24 years 290 days
76.0,21/01/1998,Australia,Melbourne Cricket Ground,116*,2165,31.38,,1,28.00,,30,,,,24 years 295 days
77.0,04/02/1998,Zimbabwe,Seddon Park,26,2191,31.30,,1,28.00,,30,,,,24 years 309 days
78.0,06/02/1998,Zimbabwe,Basin Reserve,17*,2208,31.54,,1,28.00,1,31,,,,24 years 311 days
79.0,08/02/1998,Australia,AMI Stadium,2,2210,31.13,,1,28.00,,31,,,,24 years 313 days
