0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
AMI Stadium,2,2,0,0,0,0,19,24,12.00,75.00,1,0
Arnos Vale Ground,1,1,0,0,1,0,50,50,50.00,75.76,0,0
Basin Reserve,3,2,0,0,0,0,40,42,21.00,64.62,2,2
Bourda,1,1,0,0,0,0,19,19,19.00,59.38,1,0
Brabourne Stadium,1,1,0,0,0,0,29,29,29.00,56.86,1,0
Carisbrook,1,1,0,0,0,0,1,1,1.00,50.00,0,0
Eden Park,4,3,0,0,0,1,5,6,2.00,37.50,0,0
Gaddafi Stadium,1,1,0,0,0,0,41,41,41.00,61.19,0,0
Gandhi Sports Complex Ground,1,1,0,0,0,0,9,9,9.00,34.62,1,0
Iqbal Stadium,2,2,1,0,0,0,31*,34,34.00,87.18,0,0
Jinnah Stadium (Gujwranwala),1,1,0,0,0,0,2,2,2.00,28.57,1,0
Jinnah Stadium (Sialkot),1,1,0,0,0,0,2,2,2.00,50.00,0,2
Keenan Stadium,1,0,0,0,0,0,0,0,,,0,0
MA Chidambaram Stadium,1,1,0,0,1,0,89,89,89.00,92.71,1,0
Mangaung Oval,1,0,0,0,0,0,0,0,,,1,0
McLean Park,2,2,0,0,0,0,22,29,14.50,64.44,2,0
National Stadium (Karachi),1,0,0,0,0,0,0,0,,,0,1
Nehru Stadium (Pune),1,0,0,0,0,0,0,0,,,0,0
Queen's Park Oval,2,2,1,0,0,0,13*,19,19.00,76.00,0,0
Reliance Stadium,1,1,1,0,0,0,14*,14,,127.27,0,1
Sabina Park,1,1,0,0,0,1,0,0,0.00,,1,0
Sardar Patel Stadium,1,1,1,0,0,0,13*,13,,108.33,1,0
Sharjah Cricket Stadium,5,5,1,0,1,0,52,95,23.75,50.80,8,2
Vidarbha Cricket Association Ground,1,1,0,0,0,0,1,1,1.00,50.00,0,1
Overall (24),37,31,5,0,3,2,89,519,19.96,65.95,21,9
