0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/03/1994,Pakistan,Eden Park,Asif Mujtaba (c K R Rutherford),10.0,1/29,,60.00,2.90,1,29.00
2.0,16/03/1994,Pakistan,AMI Stadium,,4.0,0/17,,84.00,3.29,,46.00
3.0,27/03/1994,India,Eden Park,S R Tendulkar (c & b),5.2,1/19,,58.00,3.36,2,32.50
4.0,02/04/1994,India,AMI Stadium,M Azharuddin (c G R Larsen),10.0,1/30,,58.67,3.24,3,31.67
5.0,16/04/1994,Australia,Sharjah Cricket Stadium,,7.0,0/26,,72.67,3.33,,40.33
6.0,19/05/1994,England,Edgbaston,,11.0,0/45,,94.67,3.51,,55.33
7.0,26/10/1994,West Indies,Nehru Stadium (Margao),C A Walsh (c †A C Parore),10.0,5/22,,43.00,3.28,4,23.50
,,,,C L Hooper (b),,,,,,5,
,,,,B C Lara (st †A C Parore),,,,,,6,
,,,,J C Adams (st †A C Parore),,,,,,7,
,,,,P V Simmons (c B A Young),,,,,,8,
8.0,28/10/1994,India,Reliance Stadium,M M Prabhakar (c & b),10.0,2/56,,40.40,3.62,9,24.40
,,,,N S Sidhu (c R P De Groen),,,,,,10,
9.0,01/11/1994,West Indies,Nehru Stadium (Guwahati),,5.0,0/34,,43.40,3.84,,27.80
10.0,03/11/1994,India,Arun Jaitley Stadium,S R Tendulkar (b),9.0,1/36,,44.36,3.86,11,28.55
11.0,08/12/1996,Pakistan,National Stadium (Karachi),Zahoor Elahi (b),10.0,2/33,,42.15,3.80,12,26.69
,,,,Inzamam-ul-Haq (st †L K Germon),,,,,,13,
12.0,09/06/2002,West Indies,Darren Sammy National Cricket Stadium,,4.0,0/26,,44.00,3.91,,28.69
