0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,25/03/1997,Sri Lanka,AMI Stadium,b M Muralitharan,13,14,92.86,,13,13.00,92.86
2,27/03/1997,Sri Lanka,Basin Reserve,c †R S Kaluwitharana b M Muralitharan,14,24,58.33,,27,13.50,71.05
3,09/05/1997,Pakistan,Punjab Cricket Association IS Bindra Stadium,b Saqlain Mushtaq,45,57,78.95,,72,24.00,75.79
4,14/05/1997,India,M Chinnaswamy Stadium,run out,23,31,74.19,,95,23.75,75.40
5,20/05/1997,Sri Lanka,Lal Bahadur Shastri Stadium,st R S Kaluwitharana b S T Jayasuriya,41,73,56.16,,136,27.20,68.34
6,01/10/1997,Zimbabwe,Queens Sports Club,run out,55,75,73.33,,191,31.83,69.71
7,04/10/1997,Zimbabwe,Harare Sports Club,run out,22,31,70.97,,213,30.43,69.84
8,05/10/1997,Zimbabwe,Harare Sports Club,c & b G W Flower,13,17,76.47,,226,28.25,70.19
9,06/12/1997,South Africa,Adelaide Oval,c J N Rhodes b S M Pollock,4,5,80.00,,230,25.56,70.34
10,07/12/1997,Australia,Adelaide Oval,lbw b S K Warne,31,44,70.45,,261,26.10,70.35
11,11/12/1997,South Africa,Bellerive Oval,lbw b L Klusener,3,6,50.00,,264,24.00,70.03
12,17/12/1997,Australia,Melbourne Cricket Ground,c †A C Gilchrist b A C Dale,3,8,37.50,,267,22.25,69.35
13,09/01/1998,South Africa,Brisbane Cricket Ground,c B M McMillan b J H Kallis,42,66,63.64,,309,23.77,68.51
14,14/01/1998,Australia,Sydney Cricket Ground,c †A C Gilchrist b P Wilson,14,25,56.00,,323,23.07,67.86
15,04/03/1998,Zimbabwe,AMI Stadium,run out,2,3,66.67,,325,21.67,67.85
16,06/03/1998,Zimbabwe,McLean Park,did not bat,-,-,-,,325,21.67,67.85
17,08/03/1998,Zimbabwe,Eden Park,c J A Rennie b P A Strang,11,13,84.62,,336,21.00,68.29
18,17/04/1998,India,Sharjah Cricket Stadium,st N R Mongia b Harbhajan Singh,16,40,40.00,,352,20.71,66.17
19,18/04/1998,Australia,Sharjah Cricket Stadium,c T M Moody b S K Warne,14,26,53.85,,366,20.33,65.59
20,20/04/1998,India,Sharjah Cricket Stadium,c M Azharuddin b Harvinder Singh,4,11,36.36,,370,19.47,65.03
21,21/06/1998,Sri Lanka,R Premadasa Stadium,st R S Kaluwitharana b H D P K Dharmasena,1,5,20.00,,371,18.55,64.63
22,23/06/1998,India,R Premadasa Stadium,lbw b B K V Prasad,44,46,95.65,,415,19.76,66.94
23,03/07/1998,India,Sinhalese Sports Club Ground,st N R Mongia b Harbhajan Singh,0,7,0.00,,415,18.86,66.19
24,05/07/1998,Sri Lanka,Sinhalese Sports Club Ground,c †R S Kaluwitharana b M Muralitharan,4,5,80.00,,419,18.22,66.30
25,09/01/1999,India,Owen Delany Park,lbw b S R Tendulkar,57,62,91.94,,476,19.83,68.59
26,12/01/1999,India,McLean Park,lbw b S R Tendulkar,61,95,64.21,,537,21.48,68.06
27,14/01/1999,India,Basin Reserve,c †N R Mongia b B K V Prasad,4,4,100.00,,541,20.81,68.22
28,16/01/1999,India,Eden Park,c M Azharuddin b J Srinath,1,4,25.00,,542,20.07,68.01
29,19/01/1999,India,AMI Stadium,run out,0,3,0.00,,542,19.36,67.75
30,14/02/1999,South Africa,Carisbrook,c S M Pollock b J H Kallis,5,11,45.45,,547,18.86,67.45
31,17/02/1999,South Africa,AMI Stadium,c D J Cullinan b S M Pollock,5,8,62.50,,552,18.40,67.40
32,20/02/1999,South Africa,Eden Park,c L Klusener b S M Pollock,21,34,61.76,,573,18.48,67.17
33,25/03/1999,South Africa,McLean Park,c †M V Boucher b L Klusener,40,51,78.43,,613,19.16,67.81
34,26/03/1999,South Africa,McLean Park,lbw b S M Pollock,1,5,20.00,,614,18.61,67.55
35,27/03/1999,South Africa,Eden Park,b J H Kallis,27,40,67.50,,641,18.85,67.54
36,30/03/1999,South Africa,Basin Reserve,did not bat,-,-,-,,641,18.85,67.54
37,17/05/1999,Bangladesh,County Ground (Chelmsford),lbw b Naimuir Rahman,35,86,40.70,,676,19.31,65.31
38,20/05/1999,Australia,Sophia Gardens,c †A C Gilchrist b A C Dale,5,8,62.50,,681,18.92,65.29
39,24/05/1999,West Indies,County Ground (Southampton),c B C Lara b C A Walsh,2,21,9.52,,683,18.46,64.19
40,28/05/1999,Pakistan,County Ground (Derby),c †Moin Khan b Shoaib Akhtar,1,20,5.00,,684,18.00,63.10
41,06/06/1999,Zimbabwe,Headingley,lbw b G J Whittall,35,35,100.00,,719,18.44,64.25
42,10/06/1999,South Africa,Edgbaston,c S M Pollock b J H Kallis,12,20,60.00,,731,18.28,64.18
43,12/06/1999,India,Trent Bridge,run out,74,116,63.79,,805,19.63,64.14
44,16/06/1999,Pakistan,Old Trafford,b Abdul Razzaq,35,48,72.92,,840,20.00,64.47
45,11/04/2002,Pakistan,Sharjah Cricket Stadium,lbw b Waqar Younis,1,3,33.33,,841,19.56,64.40
46,14/04/2002,Sri Lanka,Sharjah Cricket Stadium,lbw b W P U J C Vaas,0,1,0.00,,841,19.11,64.35
47,15/04/2002,Pakistan,Sharjah Cricket Stadium,c & b Saqlain Mushtaq,27,38,71.05,,868,19.29,64.54
48,21/04/2002,Pakistan,National Stadium (Karachi),run out,22,34,64.71,,890,19.35,64.54
49,24/04/2002,Pakistan,Rawalpindi Cricket Stadium,lbw b Wasim Akram,62,92,67.39,,952,20.26,64.72
50,27/04/2002,Pakistan,Gaddafi Stadium,b Abdul Razzaq,28,44,63.64,,980,20.42,64.69
No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,No. of Innings Played = 48,,
