0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,31/03/1974,Australia,AMI Stadium,c G J Gilmour b A A Mallett,14,35,40.00,,14,14.00,40.00
2,08/03/1975,England,Carisbrook,did not bat,-,-,-,,14,14.00,40.00
3,09/03/1975,England,Basin Reserve,c B Wood b F J Titmus,25,32,78.13,,39,19.50,58.21
4,07/06/1975,East Africa,Edgbaston,c Zulfiqar Ali b R K Sethi,66,68,97.06,,105,35.00,77.78
5,11/06/1975,England,Trent Bridge,b A W Greig,1,8,12.50,,106,26.50,74.13
6,14/06/1975,India,Old Trafford,lbw b S Abid Ali,1,6,16.67,,107,21.40,71.81
7,18/06/1975,West Indies,Kennington Oval,b C H Lloyd,3,12,25.00,,110,18.33,68.32
8,21/02/1976,India,AMI Stadium,did not bat,-,-,-,,110,18.33,68.32
9,22/02/1976,India,Eden Park,c S Venkataraghavan b E D Solkar,14,20,70.00,,124,17.71,68.51
10,16/10/1976,Pakistan,Jinnah Stadium (Sialkot),c Mushtaq Mohammad b Javed Miandad,2,12,16.67,,126,15.75,65.28
11,15/07/1978,England,North Marine Road Ground,b R G D Willis,7,16,43.75,,133,14.78,63.64
12,17/07/1978,England,Old Trafford,absent hurt,DNB*,-,-,,133,14.78,63.64
13,06/02/1980,West Indies,AMI Stadium,c C H Lloyd b J Garner,0,2,0.00,,133,13.30,63.03
14,23/11/1980,Australia,Adelaide Oval,c & b D K Lillee,16,25,64.00,,149,13.55,63.14
15,25/11/1980,Australia,Sydney Cricket Ground,c J Dyson b L S Pascoe,6,15,40.00,,155,12.92,61.75
16,07/12/1980,Australia,Melbourne Cricket Ground,lbw b G S Chappell,3,7,42.86,,158,12.15,61.24
17,09/12/1980,India,WACA Ground,c Kapil Dev b R M H Binny,1,9,11.11,,159,11.36,59.55
18,21/12/1980,India,Brisbane Cricket Ground,c †S M H Kirmani b D R Doshi,11,24,45.83,,170,11.33,58.42
19,23/12/1980,India,Adelaide Oval,c S M Gavaskar b Yograj Singh,13,32,40.63,,183,11.44,56.66
20,10/01/1981,India,Melbourne Cricket Ground,did not bat,-,-,-,,183,11.44,56.66
21,13/01/1981,Australia,Sydney Cricket Ground,c L S Pascoe b T M Chappell,23,45,51.11,,206,12.12,55.98
22,18/01/1981,India,Brisbane Cricket Ground,c †B Reddy b Kapil Dev,6,12,50.00,,212,11.78,55.79
23,01/02/1981,Australia,Melbourne Cricket Ground,c T M Chappell b D K Lillee,24,19,126.32,,236,12.42,59.15
24,03/02/1981,Australia,Sydney Cricket Ground,c †R W Marsh b D K Lillee,12,13,92.31,,248,12.40,60.19
No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,No. of Innings Played = 21,,
