0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,23/05/1990,England,Headingley,-,0,,2/45,2,22.50,,0,,,,22 years 117 days
2.0,25/05/1990,England,Kennington Oval,1,1,1.00,1/53,3,32.67,,0,,,,22 years 119 days
3.0,02/11/1990,Pakistan,Gaddafi Stadium,2,3,1.50,0/22,3,40.00,,0,,,,22 years 280 days
4.0,04/11/1990,Pakistan,Arbab Niaz Stadium,3,6,2.00,0/15,3,45.00,,0,,,,22 years 282 days
5.0,06/11/1990,Pakistan,Jinnah Stadium (Sialkot),0,6,1.50,0/46,3,60.33,,0,,,,22 years 284 days
6.0,29/11/1990,Australia,Sydney Cricket Ground,4*,10,2.50,3/39,6,36.67,,0,,,,22 years 307 days
7.0,01/12/1990,England,Adelaide Oval,-,10,2.50,3/36,9,28.44,,0,,,,22 years 309 days
8.0,02/12/1990,Australia,Adelaide Oval,12*,22,5.50,1/42,10,29.80,,0,,,,22 years 310 days
9.0,07/12/1990,England,WACA Ground,2,24,4.80,2/45,12,28.58,,0,,,,22 years 315 days
10.0,11/12/1990,Australia,Melbourne Cricket Ground,6,30,5.00,2/40,14,27.36,,0,,,,22 years 319 days
11.0,13/12/1990,England,Sydney Cricket Ground,1,31,4.43,4/35,18,23.22,,0,,,,22 years 321 days
12.0,15/12/1990,England,Brisbane Cricket Ground,-,31,4.43,0/36,18,25.22,,0,,,,22 years 323 days
13.0,18/12/1990,Australia,Bellerive Oval,-,31,4.43,1/34,19,25.68,,0,,,,22 years 326 days
14.0,13/01/1991,Australia,Sydney Cricket Ground,-,31,4.43,1/32,20,26.00,,0,,,,22 years 352 days
15.0,15/01/1991,Australia,Melbourne Cricket Ground,1*,32,4.57,1/30,21,26.19,,0,,,,22 years 354 days
16.0,26/01/1991,Sri Lanka,McLean Park,-,32,4.57,2/44,23,25.83,,0,,,,23 years 0 days
17.0,28/01/1991,Sri Lanka,Eden Park,-,32,4.57,2/27,25,24.84,,0,,,,23 years 2 days
18.0,06/02/1991,Sri Lanka,Carisbrook,1*,33,4.71,1/29,26,25.00,,0,,,,23 years 11 days
19.0,09/02/1991,England,AMI Stadium,0*,33,4.71,3/54,29,24.28,,0,,,,23 years 14 days
20.0,13/02/1991,England,Basin Reserve,18*,51,7.29,3/43,32,23.34,,0,,,,23 years 18 days
21.0,16/02/1991,England,Eden Park,0*,51,7.29,3/43,35,22.57,,0,,,,23 years 21 days
22.0,11/01/1992,England,Eden Park,9*,60,8.57,0/26,35,23.31,,0,,,,23 years 350 days
23.0,04/12/1992,Sri Lanka,R Premadasa Stadium,3*,63,9.00,2/15,37,22.46,,0,,,,24 years 313 days
24.0,12/12/1992,Sri Lanka,P Sara Oval,-,63,9.00,0/45,37,23.68,,0,,,,24 years 321 days
25.0,13/12/1992,Sri Lanka,R Premadasa Stadium,3,66,8.25,3/59,40,23.38,1,1,,,,24 years 322 days
26.0,21/03/1993,Australia,AMI Stadium,2*,68,8.50,1/41,41,23.80,1,2,,,,25 years 54 days
27.0,24/03/1993,Australia,Basin Reserve,1,69,7.67,0/11,41,24.07,,2,,,,25 years 57 days
28.0,27/03/1993,Australia,Seddon Park,-,69,7.67,2/41,43,23.91,,2,,,,25 years 60 days
29.0,28/03/1993,Australia,Eden Park,22*,91,10.11,1/52,44,24.55,,2,,,,25 years 61 days
30.0,12/12/1993,Australia,Adelaide Oval,4,95,9.50,1/18,45,24.40,,2,,,,25 years 320 days
31.0,16/12/1993,Australia,Melbourne Cricket Ground,4,99,9.00,1/26,46,24.43,,2,,,,25 years 324 days
32.0,18/12/1993,South Africa,Bellerive Oval,-,99,9.00,3/28,49,23.51,,2,,,,25 years 326 days
33.0,08/01/1994,South Africa,Brisbane Cricket Ground,-,99,9.00,3/38,52,22.88,,2,,,,25 years 347 days
34.0,11/01/1994,Australia,Sydney Cricket Ground,1,100,8.33,4/40,56,21.96,1,3,,,,25 years 350 days
35.0,14/01/1994,South Africa,WACA Ground,1,101,7.77,3/24,59,21.25,,3,,,,25 years 353 days
36.0,19/01/1994,Australia,Melbourne Cricket Ground,6,107,7.64,1/45,60,21.65,,3,,,,25 years 358 days
37.0,03/03/1994,Pakistan,Carisbrook,6*,113,8.07,2/20,62,21.27,,3,,,,26 years 36 days
38.0,06/03/1994,Pakistan,Eden Park,4*,117,8.36,1/31,63,21.43,,3,,,,26 years 39 days
39.0,09/03/1994,Pakistan,Basin Reserve,-,117,8.36,1/52,64,21.91,,3,,,,26 years 42 days
40.0,13/03/1994,Pakistan,Eden Park,1*,118,8.43,1/29,65,22.02,,3,,,,26 years 46 days
41.0,16/03/1994,Pakistan,AMI Stadium,-,118,8.43,3/21,68,21.35,,3,,,,26 years 49 days
42.0,25/03/1994,India,McLean Park,-,118,8.43,1/37,69,21.58,1,4,,,,26 years 58 days
43.0,27/03/1994,India,Eden Park,17,135,9.00,1/41,70,21.86,,4,,,,26 years 60 days
44.0,30/03/1994,India,Basin Reserve,8*,143,9.53,1/36,71,22.06,1,5,,,,26 years 63 days
45.0,02/04/1994,India,AMI Stadium,-,143,9.53,1/43,72,22.35,,5,,,,26 years 66 days
46.0,16/04/1994,Australia,Sharjah Cricket Stadium,2*,145,9.67,1/43,73,22.63,,5,,,,26 years 80 days
47.0,18/04/1994,Sri Lanka,Sharjah Cricket Stadium,0*,145,9.67,3/46,76,22.34,,5,,,,26 years 82 days
48.0,20/04/1994,Pakistan,Sharjah Cricket Stadium,-,145,9.67,1/57,77,22.79,,5,,,,26 years 84 days
49.0,19/05/1994,England,Edgbaston,3,148,9.25,5/45,82,21.95,,5,,,,26 years 113 days
50.0,26/10/1994,West Indies,Nehru Stadium (Margao),-,148,9.25,2/19,84,21.65,,5,,,,26 years 273 days
51.0,28/10/1994,India,Reliance Stadium,-,148,9.25,0/53,84,22.29,,5,,,,26 years 275 days
52.0,01/11/1994,West Indies,Nehru Stadium (Guwahati),34*,182,11.38,2/71,86,22.59,,5,,,,26 years 279 days
53.0,06/12/1994,South Africa,Newlands,1,183,10.76,2/29,88,22.41,,5,,,,26 years 314 days
54.0,08/12/1994,Sri Lanka,Mangaung Oval,-,183,10.76,3/29,91,21.99,,5,,,,26 years 316 days
55.0,11/12/1994,South Africa,SuperSport Park,1*,184,10.82,0/40,91,22.43,,5,,,,26 years 319 days
56.0,13/12/1994,Pakistan,St George's Park,0,184,10.22,3/43,94,22.17,,5,,,,26 years 321 days
57.0,18/12/1994,Sri Lanka,Buffalo Park,-,184,10.22,1/73,95,22.71,,5,,,,26 years 326 days
58.0,19/12/1994,Pakistan,Buffalo Park,0,184,9.68,0/36,95,23.08,,5,,,,26 years 327 days
59.0,19/02/1995,Australia,Eden Park,4,188,9.40,2/54,97,23.16,1,6,,,,27 years 24 days
60.0,23/02/1995,South Africa,AMI Stadium,-,188,9.40,1/35,98,23.29,,6,,,,27 years 28 days
61.0,26/02/1995,Australia,Eden Park,1,189,9.00,1/52,99,23.58,1,7,,,,27 years 31 days
62.0,26/03/1995,Sri Lanka,AMI Stadium,-,189,9.00,1/47,100,23.81,,7,,,,27 years 59 days
63.0,29/03/1995,Sri Lanka,Seddon Park,-,189,9.00,1/22,101,23.79,,7,,,,27 years 62 days
64.0,01/04/1995,Sri Lanka,Eden Park,4,193,8.77,2/56,103,23.87,,7,,,,27 years 65 days
