0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,05/11/1999,India,Madhavrao Scindia Cricket Ground,B K V Prasad (c N J Astle),10.0,3/63,,20.00,6.30,1,21.00
,,,,J Srinath (c sub),,,,,,2,
,,,,S R Tendulkar (c C L Cairns),,,,,,3,
2.0,08/11/1999,India,Lal Bahadur Shastri Stadium,,10.0,0/58,,40.00,6.05,,40.33
3.0,11/11/1999,India,Captain Roop Singh Stadium,,6.0,0/37,,52.00,6.08,,52.67
4.0,14/11/1999,India,Nehru Stadium (Guwahati),A B Agarkar (lbw),9.3,2/39,,42.60,5.55,4,39.40
,,,,T A S Kumaran (c N J Astle),,,,,,5,
5.0,17/11/1999,India,Arun Jaitley Stadium,,10.0,0/23,,54.60,4.84,,44.00
6.0,06/01/2000,West Indies,McLean Park,D Ramnarine (b),10.0,1/31,,55.50,4.52,6,41.83
7.0,08/01/2000,West Indies,Westpac Stadium,B C Lara (lbw),10.0,3/37,,43.67,4.40,7,32.00
,,,,R D Jacobs (c †A C Parore),,,,,,8,
,,,,S L Campbell (c †A C Parore),,,,,,9,
8.0,11/01/2000,West Indies,AMI Stadium,M V Dillon (c A J Penn),9.5,4/57,,34.77,4.58,10,26.54
,,,,A F G Griffith (c C M Spearman),,,,,,11,
,,,,S L Campbell (c N J Astle),,,,,,12,
,,,,C A Walsh (b),,,,,,13,
9.0,17/02/2000,Australia,Westpac Stadium,,2.0,0/12,,35.69,4.62,,27.46
10.0,19/02/2000,Australia,Eden Park,,4.0,0/21,,37.54,4.65,,29.08
11.0,23/02/2000,Australia,Carisbrook,,6.0,0/56,,40.31,4.97,,33.38
12.0,26/02/2000,Australia,AMI Stadium,I J Harvey (lbw),9.0,1/60,,41.29,5.13,14,35.29
13.0,01/03/2000,Australia,McLean Park,,6.4,0/46,,44.14,5.24,,38.57
14.0,03/03/2000,Australia,Eden Park,G D McGrath (c †C J Nevin),3.2,1/10,,42.53,5.17,15,36.67
15.0,20/08/2000,Pakistan,Kallang Ground,,1.0,0/12,,42.93,5.24,,37.47
16.0,25/08/2000,South Africa,Kallang Ground,J H Kallis (c & b),7.0,1/23,,42.88,5.12,16,36.56
17.0,27/09/2000,Zimbabwe,Harare Sports Club,,8.0,0/39,,45.88,5.10,,39.00
18.0,30/09/2000,Zimbabwe,Queens Sports Club,,7.0,0/47,,48.50,5.19,,41.94
19.0,01/10/2000,Zimbabwe,Queens Sports Club,,9.0,0/41,,51.88,5.15,,44.50
20.0,11/10/2000,Pakistan,Gymkhana Club Ground,,10.0,0/41,,55.63,5.08,,47.06
