0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,27/09/2000,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,0,,
2,30/09/2000,Zimbabwe,Queens Sports Club,b H H Streak,2,3,66.67,,2,2.00,66.67
3,01/10/2000,Zimbabwe,Queens Sports Club,not out,0*,0,-,,2,2.00,66.67
4,08/02/2001,Sri Lanka,Seddon Park,not out,0*,0,-,,2,2.00,66.67
5,11/02/2001,Sri Lanka,AMI Stadium,did not bat,-,-,-,,2,2.00,66.67
6,18/02/2001,Pakistan,Eden Park,lbw b Shoaib Akhtar,0,1,0.00,,2,1.00,50.00
7,20/02/2001,Pakistan,McLean Park,did not bat,-,-,-,,2,1.00,50.00
8,22/02/2001,Pakistan,Westpac Stadium,c Saleem Elahi b Saqlain Mushtaq,3,14,21.43,,5,1.67,27.78
9,25/02/2001,Pakistan,AMI Stadium,did not bat,-,-,-,,5,1.67,27.78
10,28/02/2001,Pakistan,Carisbrook,did not bat,-,-,-,,5,1.67,27.78
11,10/04/2001,Sri Lanka,Sharjah Cricket Stadium,not out,7*,12,58.33,,12,4.00,40.00
12,15/04/2001,Pakistan,Sharjah Cricket Stadium,b Saqlain Mushtaq,6,10,60.00,,18,4.50,45.00
13,17/04/2001,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,18,4.50,45.00
14,18/07/2001,Sri Lanka,R Premadasa Stadium,not out,6*,5,120.00,,24,6.00,53.33
15,20/07/2001,India,R Premadasa Stadium,did not bat,-,-,-,,24,6.00,53.33
16,25/07/2001,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,24,6.00,53.33
17,26/07/2001,India,R Premadasa Stadium,not out,2*,3,66.67,,26,6.50,54.17
18,31/07/2001,Sri Lanka,Sinhalese Sports Club Ground,not out,20*,13,153.85,,46,11.50,75.41
19,02/08/2001,India,Sinhalese Sports Club Ground,did not bat,-,-,-,,46,11.50,75.41
20,13/02/2002,England,AMI Stadium,did not bat,-,-,-,,46,11.50,75.41
21,16/02/2002,England,Westpac Stadium,did not bat,-,-,-,,46,11.50,75.41
22,20/02/2002,England,McLean Park,b A F Giles,1,10,10.00,,47,9.40,66.20
23,23/02/2002,England,Eden Park,b A Flintoff,5,7,71.43,,52,8.67,66.67
24,26/02/2002,England,Carisbrook,did not bat,-,-,-,,52,8.67,66.67
25,09/04/2002,Sri Lanka,Sharjah Cricket Stadium,not out,1*,8,12.50,,53,8.83,61.63
26,11/04/2002,Pakistan,Sharjah Cricket Stadium,not out,5*,6,83.33,,58,9.67,63.04
27,14/04/2002,Sri Lanka,Sharjah Cricket Stadium,b R P Arnold,14,25,56.00,,72,10.29,61.54
28,15/04/2002,Pakistan,Sharjah Cricket Stadium,b Wasim Akram,0,1,0.00,,72,9.00,61.02
29,21/04/2002,Pakistan,National Stadium (Karachi),not out,18*,29,62.07,,90,11.25,61.22
30,24/04/2002,Pakistan,Rawalpindi Cricket Stadium,did not bat,-,-,-,,90,11.25,61.22
31,27/04/2002,Pakistan,Gaddafi Stadium,run out,0,2,0.00,,90,10.00,60.40
32,05/06/2002,West Indies,Sabina Park,c S Chanderpaul b R O Hinds,1,3,33.33,,91,9.10,59.87
33,08/06/2002,West Indies,Darren Sammy National Cricket Stadium,not out,4*,4,100.00,,95,9.50,60.90
34,09/06/2002,West Indies,Darren Sammy National Cricket Stadium,not out,3*,3,100.00,,98,9.80,61.64
35,12/06/2002,West Indies,Queen's Park Oval,did not bat,-,-,-,,98,9.80,61.64
36,16/06/2002,West Indies,Arnos Vale Ground,not out,0*,0,-,,98,9.80,61.64
37,15/09/2002,Australia,Sinhalese Sports Club Ground,c S K Warne b B Lee,0,6,0.00,,98,8.91,59.39
38,26/12/2002,India,Eden Park,did not bat,-,-,-,,98,8.91,59.39
39,29/12/2002,India,McLean Park,b Z Khan,5,6,83.33,,103,8.58,60.23
40,01/01/2003,India,AMI Stadium,did not bat,-,-,-,,103,8.58,60.23
41,04/01/2003,India,Queenstown Events Centre,did not bat,-,-,-,,103,8.58,60.23
42,08/01/2003,India,Westpac Stadium,b J Srinath,4,9,44.44,,107,8.23,59.44
43,11/01/2003,India,Eden Park,run out,1,5,20.00,,108,7.71,58.38
44,14/01/2003,India,Seddon Park,did not bat,-,-,-,,108,7.71,58.38
45,10/02/2003,Sri Lanka,Mangaung Oval,c †K C Sangakkara b R P Arnold,4,3,133.33,,112,7.47,59.57
46,14/03/2003,India,SuperSport Park,c & b D Mongia,11,13,84.62,,123,7.69,61.19
47,11/05/2003,Pakistan,Rangiri Dambulla International Stadium,did not bat,-,-,-,,123,7.69,61.19
48,13/05/2003,Sri Lanka,Rangiri Dambulla International Stadium,lbw b M Muralitharan,2,3,66.67,,125,7.35,61.27
49,19/05/2003,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-,-,,125,7.35,61.27
50,20/05/2003,Pakistan,Rangiri Dambulla International Stadium,not out,2*,1,200.00,,127,7.47,61.95
51,23/05/2003,Pakistan,Rangiri Dambulla International Stadium,did not bat,-,-,-,,127,7.47,61.95
52,23/10/2003,India,MA Chidambaram Stadium,did not bat,-,-,-,,127,7.47,61.95
53,29/10/2003,Australia,Nahar Singh Stadium,not out,3*,15,20.00,,130,7.65,59.09
54,03/11/2003,Australia,Nehru Stadium (Pune),not out,1*,1,100.00,,131,7.71,59.28
55,06/11/2003,India,Barabati Stadium,did not bat,-,-,-,,131,7.71,59.28
56,09/11/2003,Australia,Nehru Stadium (Guwahati),not out,0*,0,-,,131,7.71,59.28
57,15/11/2003,India,Lal Bahadur Shastri Stadium,lbw b Z Khan,0,2,0.00,,131,7.28,58.74
58,01/12/2003,Pakistan,Gaddafi Stadium,not out,1*,2,50.00,,132,7.33,58.67
59,05/12/2003,Pakistan,Rawalpindi Cricket Stadium,lbw b Shoaib Akhtar,10,14,71.43,,142,7.47,59.41
60,07/12/2003,Pakistan,Rawalpindi Cricket Stadium,did not bat,-,-,-,,142,7.47,59.41
61,03/01/2004,Pakistan,Eden Park,did not bat,-,-,-,,142,7.47,59.41
62,07/01/2004,Pakistan,Queenstown Events Centre,not out,3*,2,150.00,,145,7.63,60.17
63,10/01/2004,Pakistan,AMI Stadium,did not bat,-,-,-,,145,7.63,60.17
64,14/01/2004,Pakistan,McLean Park,did not bat,-,-,-,,145,7.63,60.17
65,13/02/2004,South Africa,Eden Park,did not bat,-,-,-,,145,7.63,60.17
66,17/02/2004,South Africa,AMI Stadium,did not bat,-,-,-,,145,7.63,60.17
67,20/02/2004,South Africa,Westpac Stadium,did not bat,-,-,-,,145,7.63,60.17
68,29/02/2004,South Africa,Eden Park,did not bat,-,-,-,,145,7.63,60.17
69,02/03/2004,South Africa,McLean Park,did not bat,-,-,-,,145,7.63,60.17
70,26/06/2004,West Indies,Edgbaston,did not bat,-,-,-,,145,7.63,60.17
71,08/07/2004,West Indies,The Rose Bowl,did not bat,-,-,-,,145,7.63,60.17
72,10/09/2004,United States,Kennington Oval,did not bat,-,-,-,,145,7.63,60.17
73,26/12/2004,Sri Lanka,Eden Park,did not bat,-,-,-,,145,7.63,60.17
74,19/02/2005,Australia,Westpac Stadium,b G D McGrath,1,2,50.00,,146,7.30,60.08
75,22/02/2005,Australia,AMI Stadium,not out,0*,0,-,,146,7.30,60.08
76,26/02/2005,Australia,Eden Park,not out,0*,0,-,,146,7.30,60.08
77,16/02/2007,Australia,Westpac Stadium,did not bat,-,-,-,,146,7.30,60.08
78,17/02/2007,Australia,Eden Park,did not bat,-,-,-,,146,7.30,60.08
79,20/02/2007,Australia,Seddon Park,c †B J Haddin b M G Johnson,8,8,100.00,,154,7.33,61.35
80,22/03/2007,Canada,Darren Sammy National Cricket Stadium,did not bat,-,-,-,,154,7.33,61.35
81,08/09/2009,Sri Lanka,R Premadasa Stadium,run out,2,7,28.57,,156,7.09,60.47
82,24/09/2009,South Africa,SuperSport Park,c J-P Duminy b W D Parnell,4,2,200.00,,160,6.96,61.54
83,27/09/2009,Sri Lanka,Wanderers Stadium,did not bat,-,-,-,,160,6.96,61.54
