0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,18/03/1988,West Indies,Queen's Park Oval,run out,12,23,52.17,,12,12.00,52.17
2,30/03/1988,West Indies,Bourda,run out,6,25,24.00,,18,9.00,37.50
3,27/10/1988,Sri Lanka,Bangabandhu National Stadium,c R S Mahanama b K I W Wijegunawardene,11,29,37.93,,29,9.67,37.66
4,31/10/1988,India,Bangabandhu National Stadium,lbw b Arshad Ayub,2,18,11.11,,31,7.75,32.63
5,02/01/1989,Australia,WACA Ground,c S P O'Donnell b C J McDermott,90,135,66.67,,121,24.20,52.61
6,07/01/1989,West Indies,Brisbane Cricket Ground,c I V A Richards b C E L Ambrose,75,119,63.03,,196,32.67,56.16
7,08/01/1989,Australia,Brisbane Cricket Ground,b T M Alderman,0,1,0.00,,196,28.00,56.00
8,10/01/1989,Australia,Melbourne Cricket Ground,c & b A R Border,5,7,71.43,,201,25.13,56.30
9,06/02/1989,New Zealand,Carisbrook,run out,1,15,6.67,,202,22.44,54.30
10,04/03/1989,New Zealand,AMI Stadium,b D K Morrison,7,31,22.58,,209,20.90,51.86
11,08/03/1989,New Zealand,Basin Reserve,run out,3,7,42.86,,212,19.27,51.71
12,11/03/1989,New Zealand,Eden Park,run out,23,46,50.00,,235,19.58,51.54
13,14/03/1989,New Zealand,Seddon Park,lbw b M C Snedden,11,35,31.43,,246,18.92,50.10
14,23/03/1989,Sri Lanka,Sharjah Cricket Stadium,run out,14,27,51.85,,260,18.57,50.19
15,24/03/1989,Sri Lanka,Sharjah Cricket Stadium,b P A de Silva,20,24,83.33,,280,18.67,51.66
16,25/10/1989,West Indies,Gandhi Stadium,run out,77,106,72.64,,357,22.31,55.09
17,27/10/1989,Sri Lanka,"KD Singh ""Babu"" Stadium",not out,19*,17,111.76,,376,23.50,56.54
18,28/10/1989,India,Eden Gardens,c A K Sharma b M Amarnath,51,83,61.45,,427,25.12,57.09
19,30/10/1989,England,Vidarbha Cricket Association Ground,did not bat,-,-,-,,427,25.12,57.09
20,01/11/1989,West Indies,Eden Gardens,c †P J L Dujon b W K M Benjamin,3,4,75.00,,430,23.89,57.18
21,31/12/1989,Sri Lanka,WACA Ground,b J R Ratnayeke,69,116,59.48,,499,26.26,57.49
22,03/01/1990,Australia,Melbourne Cricket Ground,c †I A Healy b C G Rackemann,23,65,35.38,,522,26.10,55.95
23,20/02/1990,Australia,Sydney Cricket Ground,b G D Campbell,14,22,63.64,,536,25.52,56.13
24,14/10/1994,Australia,Ibn-e-Qasim Bagh Stadium,c †I A Healy b C J McDermott,20,34,58.82,,556,25.27,56.22
No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,No. of Innings Played = 23,,
