0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,11/02/1973,New Zealand,AMI Stadium,not out,4*,8,50.00,,4,,50.00
2,31/08/1974,England,Trent Bridge,did not bat,-,-,-,,4,,50.00
3,03/09/1974,England,Edgbaston,did not bat,-,-,-,,4,,50.00
4,07/06/1975,Australia,Headingley,c M H N Walker b D K Lillee,6,7,85.71,,10,10.00,66.67
5,11/06/1975,West Indies,Edgbaston,did not bat,-,-,-,,10,10.00,66.67
6,14/06/1975,Sri Lanka,Trent Bridge,did not bat,-,-,-,,10,10.00,66.67
7,16/10/1976,New Zealand,Jinnah Stadium (Sialkot),run out,0,2,0.00,,10,5.00,58.82
No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,,
