0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,11/02/1973,New Zealand,AMI Stadium,,8.0,0/28,,,2.63,,
2.0,31/08/1974,England,Trent Bridge,,10.0,0/31,,,2.85,,
3.0,03/09/1974,England,Edgbaston,K W R Fletcher (c †Wasim Bari),7.0,2/9,,83.00,2.46,1,34.00
,,,,M J Smith (lbw),,,,,,2,
4.0,07/06/1975,Australia,Headingley,M H N Walker (b),12.0,1/50,,79.33,2.97,3,39.33
5.0,11/06/1975,West Indies,Edgbaston,B D Julien (c Javed Miandad),12.0,1/64,,77.50,3.52,4,45.50
6.0,14/06/1975,Sri Lanka,Trent Bridge,,6.0,0/14,,86.50,3.40,,49.00
7.0,16/10/1976,New Zealand,Jinnah Stadium (Sialkot),G M Turner (b),7.0,1/38,,80.40,3.49,5,46.80
