0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,18/08/2016,Ireland,The Village,,5.0,0/21,,,4.20,,
2.0,27/08/2016,England,Lord's,B A Stokes (b),9.0,1/52,,84.00,5.21,1,73.00
3.0,30/08/2016,England,Trent Bridge,A D Hales (lbw),10.0,2/74,,48.00,6.13,2,49.00
,,,,J J Roy (c †Sarfaraz Ahmed),,,,,,3,
4.0,01/09/2016,England,Headingley,J E Root (c Mohammad Irfan),10.0,1/53,,51.00,5.88,4,50.00
5.0,04/09/2016,England,Sophia Gardens,C R Woakes (b),10.0,4/60,,33.00,5.91,5,32.50
,,,,B A Stokes (c Umar Gul),,,,,,6,
,,,,J E Root (b),,,,,,7,
,,,,D J Willey (c Mohammad Nawaz),,,,,,8,
6.0,30/09/2016,West Indies,Sharjah Cricket Stadium,K C Brathwaite (c †Sarfaraz Ahmed),5.4,3/14,,27.09,5.52,9,24.91
,,,,S P Narine (c Imad Wasim),,,,,,10,
,,,,S T Gabriel (b),,,,,,11,
7.0,02/10/2016,West Indies,Sharjah Cricket Stadium,,9.0,0/56,,32.00,5.63,,30.00
8.0,05/10/2016,West Indies,Sheikh Zayed Stadium,,6.0,0/13,,35.27,5.30,,31.18
9.0,13/01/2017,Australia,Brisbane Cricket Ground,M A Starc (b),9.0,3/65,,31.57,5.54,12,29.14
,,,,G J Maxwell (c Mohammad Hafeez),,,,,,13,
,,,,C A Lynn (c †Mohammad Rizwan),,,,,,14,
10.0,15/01/2017,Australia,Melbourne Cricket Ground,T M Head (c †Mohammad Rizwan),7.0,1/29,,32.27,5.42,15,29.13
11.0,19/01/2017,Australia,WACA Ground,P S P Handscomb (c †Mohammad Rizwan),10.0,1/62,,34.00,5.50,16,31.19
12.0,22/01/2017,Australia,Sydney Cricket Ground,D A Warner (c †Mohammad Rizwan),10.0,5/52,,28.76,5.47,17,26.24
,,,,S P D Smith (lbw),,,,,,18,
,,,,U T Khawaja (c †Mohammad Rizwan),,,,,,19,
,,,,M S Wade (c Imad Wasim),,,,,,20,
,,,,G J Maxwell (c Sharjeel Khan),,,,,,21,
13.0,26/01/2017,Australia,Adelaide Oval,M S Wade (c Shoaib Malik),9.0,2/100,,28.61,5.94,22,28.30
,,,,T M Head (c Azhar Ali),,,,,,23,
14.0,07/04/2017,West Indies,Providence Stadium,,5.0,0/43,,29.91,6.05,,30.17
15.0,09/04/2017,West Indies,Providence Stadium,K O A Powell (lbw),8.5,5/38,,26.46,5.93,24,26.14
,,,,A R Nurse (lbw),,,,,,25,
,,,,J O Holder (c Babar Azam),,,,,,26,
,,,,S D Hope (c Shadab Khan),,,,,,27,
,,,,A S Joseph (c Babar Azam),,,,,,28,
