0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,18/10/2017,Sri Lanka,Sheikh Zayed Stadium,100,100,100.00,,0,,,0,,,,21 years 310 days
2.0,20/10/2017,Sri Lanka,Sharjah Cricket Stadium,2,102,51.00,,0,,,0,,,,21 years 312 days
3.0,23/10/2017,Sri Lanka,Sharjah Cricket Stadium,45*,147,73.50,,0,,,0,,,,21 years 315 days
4.0,08/01/2018,New Zealand,Saxton Oval,2,149,49.67,,0,,,0,,,,22 years 27 days
5.0,13/07/2018,Zimbabwe,Queens Sports Club,128,277,69.25,,0,,,0,,,,22 years 213 days
6.0,16/07/2018,Zimbabwe,Queens Sports Club,44,321,64.20,,0,,,0,,,,22 years 216 days
7.0,18/07/2018,Zimbabwe,Queens Sports Club,0,321,53.50,,0,,,0,,,,22 years 218 days
8.0,20/07/2018,Zimbabwe,Queens Sports Club,113,434,62.00,,0,,,0,,,,22 years 220 days
9.0,22/07/2018,Zimbabwe,Queens Sports Club,110,544,68.00,,0,,1,1,,,,22 years 222 days
10.0,16/09/2018,Hong Kong,Dubai International Cricket Stadium,50*,594,74.25,,0,,1,2,,,,22 years 278 days
11.0,19/09/2018,India,Dubai International Cricket Stadium,2,596,66.22,,0,,,2,,,,22 years 281 days
12.0,21/09/2018,Afghanistan,Sheikh Zayed Stadium,80,676,67.60,,0,,,2,,,,22 years 283 days
13.0,23/09/2018,India,Dubai International Cricket Stadium,10,686,62.36,,0,,,2,,,,22 years 285 days
14.0,26/09/2018,Bangladesh,Sheikh Zayed Stadium,83,769,64.08,,0,,,2,,,,22 years 288 days
15.0,07/11/2018,New Zealand,Sheikh Zayed Stadium,34,803,61.77,,0,,,2,,,,22 years 330 days
16.0,09/11/2018,New Zealand,Sheikh Zayed Stadium,16*,819,63.00,,0,,1,3,,,,22 years 332 days
17.0,19/01/2019,South Africa,St George's Park,86,905,64.64,,0,,,3,,,,23 years 38 days
18.0,22/01/2019,South Africa,Kingsmead,5,910,60.67,,0,,1,4,,,,23 years 41 days
19.0,25/01/2019,South Africa,SuperSport Park,101,1011,63.19,,0,,,4,,,,23 years 44 days
20.0,27/01/2019,South Africa,Wanderers Stadium,71,1082,63.65,,0,,,4,,,,23 years 46 days
21.0,30/01/2019,South Africa,Newlands,8,1090,60.56,,0,,,4,,,,23 years 49 days
22.0,22/03/2019,Australia,Sharjah Cricket Stadium,17,1107,58.26,,0,,,4,,,,23 years 100 days
23.0,23/03/2019,Australia,Sharjah Cricket Stadium,0,1107,55.35,,0,,1,5,,,,23 years 101 days
24.0,27/03/2019,Australia,Sheikh Zayed Stadium,46,1153,54.90,,0,,,5,,,,23 years 105 days
25.0,08/05/2019,England,Kennington Oval,42*,1195,56.90,,0,,,5,,,,23 years 147 days
26.0,11/05/2019,England,The Rose Bowl,35,1230,55.91,,0,,,5,,,,23 years 150 days
27.0,14/05/2019,England,County Ground (Bristol),151,1381,60.04,,0,,,5,,,,23 years 153 days
28.0,17/05/2019,England,Trent Bridge,6*,1387,60.30,,0,,,5,,,,23 years 156 days
29.0,31/05/2019,West Indies,Trent Bridge,2,1389,57.88,,0,,,5,,,,23 years 170 days
30.0,03/06/2019,England,Trent Bridge,44,1433,57.32,,0,,,5,,,,23 years 173 days
31.0,12/06/2019,Australia,The Cooper Associates County Ground,53,1486,57.15,,0,,1,6,,,,23 years 182 days
32.0,16/06/2019,India,Old Trafford,7,1493,55.30,,0,,,6,,,,23 years 186 days
33.0,23/06/2019,South Africa,Lord's,44,1537,54.89,,0,,1,7,,,,23 years 193 days
34.0,26/06/2019,New Zealand,Edgbaston,19,1556,53.66,,0,,,7,,,,23 years 196 days
35.0,29/06/2019,Afghanistan,Headingley,36,1592,53.07,,0,,,7,,,,23 years 199 days
36.0,05/07/2019,Bangladesh,Lord's,100,1692,54.58,,0,,,7,,,,23 years 205 days
37.0,30/09/2019,Sri Lanka,National Stadium (Karachi),31,1723,53.84,,0,,,7,,,,23 years 292 days
