0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,22/11/1991,West Indies,Gaddafi Stadium,b M D Marshall,20,29,68.97,,20,20.00,68.97
2,24/11/1991,West Indies,Iqbal Stadium,c B C Lara b A C Cummins,60,91,65.93,,80,40.00,66.67
3,10/01/1992,Sri Lanka,Sports Stadium,did not bat,-,-,-,,80,40.00,66.67
4,13/01/1992,Sri Lanka,National Stadium (Karachi),run out,48,70,68.57,,128,42.67,67.37
5,15/01/1992,Sri Lanka,Niaz Stadium,c M S Atapattu b G F Labrooy,60,78,76.92,,188,47.00,70.15
6,17/01/1992,Sri Lanka,Ibn-e-Qasim Bagh Stadium,c sub b S T Jayasuriya,101,121,83.47,,289,57.80,74.29
7,19/01/1992,Sri Lanka,Rawalpindi Cricket Stadium,c G P Wickramasinghe b C P H Ramanayake,117,103,113.59,,406,67.67,82.52
8,23/02/1992,West Indies,Melbourne Cricket Ground,c C L Hooper b R A Harper,27,39,69.23,,433,61.86,81.54
9,27/02/1992,Zimbabwe,Bellerive Oval,c E A Brandes b I P Butchart,14,43,32.56,,447,55.88,77.87
10,01/03/1992,England,Adelaide Oval,c †A J Stewart b P A J De Freitas,0,1,0.00,,447,49.67,77.74
11,04/03/1992,India,Sydney Cricket Ground,lbw b Kapil Dev,2,6,33.33,,449,44.90,77.28
12,08/03/1992,South Africa,Brisbane Cricket Ground,run out,48,45,106.67,,497,45.18,79.39
13,11/03/1992,Australia,WACA Ground,run out,16,16,100.00,,513,42.75,79.91
14,15/03/1992,Sri Lanka,WACA Ground,run out,11,11,100.00,,524,40.31,80.25
15,18/03/1992,New Zealand,AMI Stadium,b D K Morrison,5,8,62.50,,529,37.79,80.03
16,21/03/1992,New Zealand,Eden Park,run out,60,37,162.16,,589,39.27,84.38
17,25/03/1992,England,Melbourne Cricket Ground,b D R Pringle,42,35,120.00,,631,39.44,86.08
18,20/05/1992,England,Lord's,c & b I T Botham,2,3,66.67,,633,37.24,86.01
19,22/05/1992,England,Kennington Oval,lbw b D R Pringle,15,15,100.00,,648,36.00,86.28
20,20/08/1992,England,Trent Bridge,run out,10,29,34.48,,658,34.63,84.36
21,22/08/1992,England,Lord's,c †R J Blakey b D A Reeve,16,25,64.00,,674,33.70,83.73
22,24/08/1992,England,Old Trafford,lbw b D G Cork,75,86,87.21,,749,35.67,84.06
23,04/12/1992,West Indies,WACA Ground,c B C Lara b C L Hooper,28,37,75.68,,777,35.32,83.73
24,10/12/1992,Australia,Bellerive Oval,c D R Martyn b M E Waugh,22,34,64.71,,799,34.74,83.06
25,12/12/1992,West Indies,Adelaide Oval,run out,18,30,60.00,,817,34.04,82.36
26,13/12/1992,Australia,Adelaide Oval,not out,60*,70,85.71,,877,36.54,82.58
27,17/12/1992,West Indies,Sydney Cricket Ground,c C L Hooper b K C G Benjamin,17,47,36.17,,894,35.76,80.61
28,26/12/1992,New Zealand,Basin Reserve,c A H Jones b W Watson,0,7,0.00,,894,34.38,80.11
29,28/12/1992,New Zealand,McLean Park,c †A C Parore b G R Larsen,2,13,15.38,,896,33.19,79.36
30,30/12/1992,New Zealand,Eden Park,run out,2,6,33.33,,898,32.07,79.12
31,09/01/1993,West Indies,Brisbane Cricket Ground,c P V Simmons b K C G Benjamin,0,6,0.00,,898,30.97,78.70
32,12/01/1993,Australia,Melbourne Cricket Ground,not out,39*,47,82.98,,937,32.31,78.87
33,14/01/1993,Australia,Sydney Cricket Ground,b C J McDermott,40,46,86.96,,977,32.57,79.17
34,01/02/1993,Zimbabwe,Sharjah Cricket Stadium,c U Ranchod b E A Brandes,90,133,67.67,,1067,34.42,78.05
35,02/02/1993,Sri Lanka,Sharjah Cricket Stadium,not out,27*,24,112.50,,1094,35.29,78.65
36,04/02/1993,Sri Lanka,Sharjah Cricket Stadium,c G P Wickramasinghe b C P H Ramanayake,20,11,181.82,,1114,34.81,79.46
37,09/02/1993,South Africa,Kingsmead,run out,47,68,69.12,,1161,35.18,78.98
38,13/02/1993,West Indies,Wanderers Stadium,c & b P V Simmons,23,54,42.59,,1184,34.82,77.69
39,23/03/1993,West Indies,Sabina Park,lbw b I R Bishop,50,50,100.00,,1234,35.26,78.40
40,26/03/1993,West Indies,Queen's Park Oval,run out,11,33,33.33,,1245,34.58,77.47
41,27/03/1993,West Indies,Queen's Park Oval,not out,90*,104,86.54,,1335,37.08,78.02
42,30/03/1993,West Indies,Arnos Vale Ground,c †J R Murray b C L Hooper,17,44,38.64,,1352,36.54,77.04
43,03/04/1993,West Indies,Bourda,lbw b C A Walsh,53,91,58.24,,1405,36.97,76.11
44,29/10/1993,West Indies,Sharjah Cricket Stadium,c K C G Benjamin b C L Hooper,25,56,44.64,,1430,36.67,75.18
45,30/10/1993,Sri Lanka,Sharjah Cricket Stadium,b C P H Ramanayake,37,35,105.71,,1467,36.68,75.74
46,01/11/1993,West Indies,Sharjah Cricket Stadium,run out,20,36,55.56,,1487,36.27,75.37
47,02/11/1993,Sri Lanka,Sharjah Cricket Stadium,c G P Wickramasinghe b D K Liyanage,53,76,69.74,,1540,36.67,75.16
48,05/11/1993,West Indies,Sharjah Cricket Stadium,c D L Haynes b C A Walsh,30,51,58.82,,1570,36.51,74.76
49,24/12/1993,Zimbabwe,National Stadium (Karachi),b H H Streak,12,28,42.86,,1582,35.95,74.34
50,25/12/1993,Zimbabwe,Rawalpindi Cricket Stadium,not out,44*,45,97.78,,1626,36.95,74.83
51,27/12/1993,Zimbabwe,Gaddafi Stadium,not out,80*,94,85.11,,1706,38.77,75.25
52,03/03/1994,New Zealand,Carisbrook,c A H Jones b C Pringle,1,8,12.50,,1707,37.93,75.03
53,06/03/1994,New Zealand,Eden Park,lbw b C Pringle,14,31,45.16,,1721,37.41,74.63
54,09/03/1994,New Zealand,Basin Reserve,c C L Cairns b C Pringle,88,131,67.18,,1809,38.49,74.23
55,13/03/1994,New Zealand,Eden Park,c B A Young b G R Larsen,7,28,25.00,,1816,37.83,73.67
56,16/03/1994,New Zealand,AMI Stadium,c B A Young b C Pringle,4,24,16.67,,1820,37.14,73.12
57,15/04/1994,India,Sharjah Cricket Stadium,c †N R Mongia b R K Chauhan,1,11,9.09,,1821,36.42,72.84
58,17/04/1994,United Arab Emirates,Sharjah Cricket Stadium,not out,50*,47,106.38,,1871,37.42,73.46
59,20/04/1994,New Zealand,Sharjah Cricket Stadium,not out,137*,129,106.20,,2008,40.16,75.04
60,22/04/1994,India,Sharjah Cricket Stadium,st N R Mongia b R K Chauhan,12,26,46.15,,2020,39.61,74.76
61,03/08/1994,Sri Lanka,R Premadasa Stadium,not out,53*,53,100.00,,2073,40.65,75.25
62,06/08/1994,Sri Lanka,R Premadasa Stadium,c P A de Silva b A Ranatunga,14,42,33.33,,2087,40.13,74.62
63,07/08/1994,Sri Lanka,Sinhalese Sports Club Ground,c R S Mahanama b R S Kalpage,10,36,27.78,,2097,39.57,74.02
64,22/08/1994,Sri Lanka,Sinhalese Sports Club Ground,c & b S T Jayasuriya,33,51,64.71,,2130,39.44,73.86
65,24/08/1994,Sri Lanka,R Premadasa Stadium,lbw b A Ranatunga,25,45,55.56,,2155,39.18,73.57
66,07/09/1994,Australia,Sinhalese Sports Club Ground,st I A Healy b S K Warne,29,69,42.03,,2184,39.00,72.85
67,11/09/1994,Sri Lanka,Sinhalese Sports Club Ground,run out,2,5,40.00,,2186,38.35,72.79
68,14/10/1994,Australia,Ibn-e-Qasim Bagh Stadium,run out,59,86,68.60,,2245,38.71,72.68
69,16/10/1994,South Africa,National Stadium (Karachi),not out,51*,86,59.30,,2296,39.59,72.31
70,20/10/1994,South Africa,Rawalpindi Cricket Stadium,run out,10,18,55.56,,2306,39.08,72.22
71,22/10/1994,Australia,Rawalpindi Cricket Stadium,not out,91*,80,113.75,,2397,40.63,73.24
72,28/10/1994,South Africa,Iqbal Stadium,c C E Eksteen b E O Simons,19,39,48.72,,2416,40.27,72.95
73,30/10/1994,Australia,Gaddafi Stadium,c †P A Emery b G D McGrath,10,21,47.62,,2426,39.77,72.79
