0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,31/10/2001,Zimbabwe,Sharjah Cricket Stadium,,7.0,0/43,,,6.14,,
2.0,03/04/2003,Zimbabwe,Sharjah Cricket Stadium,G W Flower (c Mohammad Hafeez),9.0,2/38,,48.00,5.06,1,40.50
,,,,D A Marillier (b),,,,,,2,
3.0,08/04/2003,Kenya,Sharjah Cricket Stadium,,6.0,0/16,,66.00,4.41,,48.50
4.0,10/04/2003,Zimbabwe,Sharjah Cricket Stadium,R W Price (lbw),10.0,2/32,,48.00,4.03,3,32.25
,,,,D D Ebrahim (c Shoaib Malik),,,,,,4,
5.0,20/05/2003,New Zealand,Rangiri Dambulla International Stadium,C L Cairns (b),10.0,3/31,,36.00,3.81,5,22.86
,,,,C J Nevin (c Mohammad Sami),,,,,,6,
,,,,S B Styris (c Shoaib Malik),,,,,,7,
6.0,23/05/2003,New Zealand,Rangiri Dambulla International Stadium,,10.0,0/35,,44.57,3.75,,27.86
7.0,12/10/2003,South Africa,Rawalpindi Cricket Stadium,H H Gibbs (st †Rashid Latif),10.0,1/37,,46.50,3.74,8,29.00
8.0,29/11/2003,New Zealand,Gaddafi Stadium,,10.0,0/76,,54.00,4.28,,38.50
9.0,01/12/2003,New Zealand,Gaddafi Stadium,,10.0,0/48,,61.50,4.34,,44.50
10.0,17/07/2004,Bangladesh,Sinhalese Sports Club Ground,Mohammad Rafique (c Yasir Hameed),8.2,1/26,,60.22,4.23,9,42.44
11.0,09/04/2005,India,Keenan Stadium,M Kaif (c Younis Khan),10.0,1/45,,60.20,4.26,10,42.70
12.0,12/04/2005,India,Sardar Patel Stadium,,3.0,0/29,,62.00,4.41,,45.60
13.0,10/12/2005,England,Gaddafi Stadium,A J Strauss (c Salman Butt),9.0,1/62,,61.27,4.61,11,47.09
14.0,12/12/2005,England,Gaddafi Stadium,P D Collingwood (c & b),6.0,1/24,,59.17,4.58,12,45.17
15.0,21/12/2005,England,Rawalpindi Cricket Stadium,,3.0,0/13,,60.67,4.57,,46.25
16.0,27/06/2006,Scotland,Grange Cricket Club,,8.0,0/35,,64.67,4.56,,49.17
17.0,13/03/2007,West Indies,Sabina Park,D Ramdin (st †Kamran Akmal),9.0,1/45,,63.85,4.59,13,48.85
18.0,21/03/2007,Zimbabwe,Sabina Park,B R M Taylor (c Younis Khan),4.0,2/48,,56.93,4.80,14,45.53
,,,,S C Williams (c Umar Gul),,,,,,15,
