0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,20/09/1982,Australia,Niaz Stadium,,1.0,0/1,,,1.00,,
2.0,17/12/1982,India,Ibn-e-Qasim Bagh Stadium,,1.0,0/3,,,2.00,,
3.0,13/06/1983,England,Lord's,D I Gower (c Sarfraz Nawaz),12.0,1/44,,84.00,3.43,1,48.00
4.0,16/06/1983,Sri Lanka,Headingley,,1.0,0/8,,90.00,3.73,,56.00
5.0,10/01/1984,Australia,Sydney Cricket Ground,,2.0,0/15,,102.00,4.18,,71.00
6.0,04/02/1984,West Indies,WACA Ground,,0.1,0/1,,103.00,4.19,,72.00
7.0,21/05/1987,England,Kennington Oval,,2.0,0/15,,115.00,4.54,,87.00
8.0,08/10/1987,Sri Lanka,Niaz Stadium,R S Mahanama (c Javed Miandad),1.0,1/7,,60.50,4.66,2,47.00
9.0,12/10/1987,England,Pindi Club Ground,,3.0,0/16,,69.50,4.75,,55.00
