0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,23/04/2011,West Indies,Darren Sammy National Cricket Stadium,did not bat,-,-,-,,0,,
2,25/04/2011,West Indies,Darren Sammy National Cricket Stadium,did not bat,-,-,-,,0,,
3,28/04/2011,West Indies,Kensington Oval,b D Bishoo,3,7,42.86,,3,3.00,42.86
4,02/05/2011,West Indies,Kensington Oval,run out,0,2,0.00,,3,1.50,33.33
5,05/05/2011,West Indies,Providence Stadium,not out,19*,30,63.33,,22,11.00,56.41
6,28/05/2011,Ireland,Civil Service Cricket Club,did not bat,-,-,-,,22,11.00,56.41
7,30/05/2011,Ireland,Civil Service Cricket Club,did not bat,-,-,-,,22,11.00,56.41
No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,No. of Innings Played = 3,,
