0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,23/12/1977,England,Zafar Ali (Sahiwal) Stadium,,1.0,0/12,,,9.00,,
2.0,24/05/1978,England,Old Trafford,D I Gower (c Javed Miandad),11.0,2/52,,37.00,5.19,1,32.00
,,,,C T Radley (c & b),,,,,,2,
3.0,26/05/1978,England,Kennington Oval,G R J Roope (c Naeem Ahmed),6.0,2/31,,27.50,5.18,3,23.75
,,,,I T Botham (b),,,,,,4,
4.0,01/10/1978,India,Ayub National Stadium,,8.0,0/32,,39.50,4.82,,31.75
5.0,09/06/1979,Canada,Headingley,,4.0,0/11,,45.50,4.55,,34.50
6.0,13/06/1979,Australia,Trent Bridge,A M J Hilditch (c Sadiq Mohammad),12.0,1/31,,50.80,3.99,5,33.80
7.0,16/06/1979,England,Headingley,,12.0,0/30,,65.20,3.66,,39.80
8.0,20/06/1979,West Indies,Kennington Oval,,10.0,0/50,,77.20,3.87,,49.80
9.0,21/11/1980,West Indies,National Stadium (Karachi),C H Lloyd (c Sadiq Mohammad),4.0,2/13,,58.57,3.83,6,37.43
,,,,S F A Bacchus (hit wicket),,,,,,7,
10.0,05/12/1980,West Indies,Jinnah Stadium (Sialkot),,2.0,0/16,,60.29,3.95,,39.71
11.0,21/11/1981,West Indies,Melbourne Cricket Ground,D L Haynes (b),7.0,1/43,,58.00,4.15,8,40.13
12.0,06/12/1981,Australia,Adelaide Oval,R W Marsh (c †Ashraf Ali),7.0,2/25,,50.60,4.10,9,34.60
,,,,A R Border (c Wasim Raja),,,,,,10,
13.0,17/12/1981,Australia,Sydney Cricket Ground,A R Border (c †Ashraf Ali),10.0,3/20,,43.54,3.88,11,28.15
,,,,G S Chappell (c Javed Miandad),,,,,,12,
,,,,G M Wood (b),,,,,,13,
14.0,19/12/1981,West Indies,WACA Ground,,1.0,0/1,,44.00,3.85,,28.23
15.0,09/01/1982,Australia,Melbourne Cricket Ground,G M Wood (c Wasim Raja),6.0,1/24,,43.43,3.86,14,27.93
16.0,14/01/1982,Australia,Sydney Cricket Ground,G M Wood (b),10.0,3/36,,39.29,3.84,15,25.12
,,,,R B McCosker (lbw),,,,,,16,
,,,,B M Laird (c †Wasim Bari),,,,,,17,
17.0,16/01/1982,West Indies,Brisbane Cricket Ground,M A Holding (c †Ashraf Ali),2.0,2/11,,35.79,3.86,18,23.05
,,,,A M E Roberts (c Sarfraz Nawaz),,,,,,19,
18.0,29/03/1982,Sri Lanka,Gaddafi Stadium,S Wettimuny (c †Ashraf Ali),8.0,2/56,,34.67,4.07,20,23.52
,,,,R L Dias (c Imran Khan),,,,,,21,
