0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,20/02/1990,Australia,Sydney Cricket Ground,T M Moody (st †Saleem Yousuf),3.0,1/15,,18.00,5.00,1,15.00
2.0,29/04/1990,Sri Lanka,Sharjah Cricket Stadium,,10.0,0/49,,78.00,4.92,,64.00
3.0,04/05/1990,Australia,Sharjah Cricket Stadium,,6.0,0/34,,114.00,5.16,,98.00
4.0,11/11/1990,West Indies,Gaddafi Stadium,D L Haynes (c Waqar Younis),3.0,1/19,,66.00,5.32,2,58.50
5.0,13/11/1990,West Indies,Ibn-e-Qasim Bagh Stadium,,1.0,0/4,,69.00,5.26,,60.50
6.0,12/10/1995,Sri Lanka,Sharjah Cricket Stadium,R S Kalpage (b),2.0,1/9,,50.00,5.20,3,43.33
7.0,04/10/1996,Sri Lanka,Gymkhana Club Ground,,1.0,0/8,,52.00,5.31,,46.00
8.0,06/10/1996,South Africa,Gymkhana Club Ground,,1.0,0/6,,54.00,5.33,,48.00
9.0,08/12/1996,New Zealand,National Stadium (Karachi),,2.0,0/10,,58.00,5.31,,51.33
10.0,14/09/1997,India,"Cricket, Skating & Curling Club",,0.4,0/2,,59.33,5.26,,52.00
11.0,22/11/1998,Zimbabwe,Sheikhupura Stadium,,1.4,0/11,,62.67,5.33,,55.67
12.0,16/03/1999,Bangladesh,Bangabandhu National Stadium,Khaled Mahmud (c & b),5.0,2/9,,43.60,4.84,4,35.20
,,,,Hasibul Hussain (c Shahid Afridi),,,,,,5,
13.0,25/02/2003,Netherlands,Boland Park,J Esmeijer (lbw),4.0,1/15,,40.33,4.74,6,31.83
