0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Basin Reserve,19.0,0,84,0,0,0/35,,,4.42
Dubai International Cricket Stadium,24.3,1,117,4,0,2/31,29.25,36.75,4.78
Edgbaston,25.0,0,115,2,0,1/43,57.50,75.00,4.60
Headingley,10.0,0,44,1,0,1/44,44.00,60.00,4.40
Kennington Oval,7.0,0,60,2,0,2/60,30.00,21.00,8.57
Kingsmead,10.0,0,46,2,0,2/46,23.00,30.00,4.60
Lord's,19.0,1,109,5,0,3/50,21.80,22.80,5.74
National Stadium (Karachi),18.5,0,126,3,0,2/76,42.00,37.67,6.69
Newlands,10.0,0,78,0,0,0/78,,,7.80
Old Trafford,9.0,0,61,0,0,0/61,,,6.78
Providence Stadium,27.0,1,149,5,0,2/52,29.80,32.40,5.52
Queens Sports Club,38.4,0,155,9,2,4/28,17.22,25.78,4.01
Saxton Oval,4.0,0,29,0,0,0/29,,,7.25
Seddon Park,10.0,0,42,3,0,3/42,14.00,20.00,4.20
Sharjah Cricket Stadium,13.0,1,53,4,0,2/24,13.25,19.50,4.08
Sheikh Zayed Stadium,49.0,3,199,11,1,4/38,18.09,26.73,4.06
Sophia Gardens,9.0,0,40,1,0,1/40,40.00,54.00,4.44
St George's Park,10.0,0,41,1,0,1/41,41.00,60.00,4.10
SuperSport Park,6.0,0,46,0,0,0/46,,,7.67
Trent Bridge,10.0,0,63,2,0,2/63,31.50,30.00,6.30
University Oval,10.0,0,51,2,0,2/51,25.50,30.00,5.10
Wanderers Stadium,9.0,0,42,2,0,2/42,21.00,27.00,4.67
Overall (22),348.0,7,1750,59,3,4/28,29.66,35.39,5.03
