0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,31/03/1982,Sri Lanka,National Stadium (Karachi),did not bat,-,-,-,,0,,
2,20/09/1982,Australia,Niaz Stadium,did not bat,-,-,-,,0,,
3,08/10/1982,Australia,Gaddafi Stadium,did not bat,-,-,-,,0,,
4,22/10/1982,Australia,National Stadium (Karachi),did not bat,-,-,-,,0,,
5,12/10/1984,India,Ayub National Stadium,did not bat,-,-,-,,0,,
6,31/10/1984,India,Jinnah Stadium (Sialkot),did not bat,-,-,-,,0,,
7,12/11/1984,New Zealand,Arbab Niaz Stadium,did not bat,-,-,-,,0,,
8,23/11/1984,New Zealand,Iqbal Stadium,did not bat,-,-,-,,0,,
9,02/12/1984,New Zealand,Jinnah Stadium (Sialkot),not out,27*,34,79.41,,27,,79.41
10,07/12/1984,New Zealand,Ibn-e-Qasim Bagh Stadium,not out,15*,17,88.24,,42,,82.35
11,22/03/1985,India,Sharjah Cricket Stadium,b Kapil Dev,0,7,0.00,,42,42.00,72.41
12,26/03/1985,England,Sharjah Cricket Stadium,did not bat,-,-,-,,42,42.00,72.41
13,03/11/1985,Sri Lanka,Niaz Stadium,did not bat,-,-,-,,42,42.00,72.41
14,15/11/1985,West Indies,Sharjah Cricket Stadium,did not bat,-,-,-,,42,42.00,72.41
15,17/11/1985,India,Sharjah Cricket Stadium,did not bat,-,-,-,,42,42.00,72.41
16,27/11/1985,West Indies,Jinnah Stadium (Gujwranwala),did not bat,-,-,-,,42,42.00,72.41
17,02/12/1985,West Indies,Arbab Niaz Stadium,not out,3*,4,75.00,,45,45.00,72.58
18,04/12/1985,West Indies,Pindi Club Ground,did not bat,-,-,-,,45,45.00,72.58
19,06/12/1985,West Indies,National Stadium (Karachi),did not bat,-,-,-,,45,45.00,72.58
20,02/03/1986,Sri Lanka,Asgiriya Stadium,did not bat,-,-,-,,45,45.00,72.58
21,08/03/1986,Sri Lanka,Tyronne Fernando Stadium,not out,0*,5,0.00,,45,45.00,67.16
22,11/03/1986,Sri Lanka,Sinhalese Sports Club Ground,did not bat,-,-,-,,45,45.00,67.16
23,07/04/1986,New Zealand,Sinhalese Sports Club Ground,did not bat,-,-,-,,45,45.00,67.16
24,11/04/1986,Australia,Sharjah Cricket Stadium,did not bat,-,-,-,,45,45.00,67.16
25,15/04/1986,New Zealand,Sharjah Cricket Stadium,did not bat,-,-,-,,45,45.00,67.16
26,18/04/1986,India,Sharjah Cricket Stadium,not out,1*,1,100.00,,46,46.00,67.65
27,17/10/1986,West Indies,Arbab Niaz Stadium,did not bat,-,-,-,,46,46.00,67.65
28,04/11/1986,West Indies,Jinnah Stadium (Gujwranwala),did not bat,-,-,-,,46,46.00,67.65
29,14/11/1986,West Indies,Jinnah Stadium (Sialkot),did not bat,-,-,-,,46,46.00,67.65
30,17/11/1986,West Indies,Ibn-e-Qasim Bagh Stadium,c †P J L Dujon b A H Gray,1,6,16.67,,47,23.50,63.51
31,18/11/1986,West Indies,Niaz Stadium,did not bat,-,-,-,,47,23.50,63.51
32,28/11/1986,West Indies,Sharjah Cricket Stadium,not out,4*,9,44.44,,51,25.50,61.45
33,22/03/1987,India,Nehru Stadium (Pune),did not bat,-,-,-,,51,25.50,61.45
34,24/03/1987,India,Vidarbha Cricket Association Ground,did not bat,-,-,-,,51,25.50,61.45
35,26/03/1987,India,Keenan Stadium,did not bat,-,-,-,,51,25.50,61.45
36,03/04/1987,Australia,Sharjah Cricket Stadium,did not bat,-,-,-,,51,25.50,61.45
37,07/04/1987,England,Sharjah Cricket Stadium,not out,3*,2,150.00,,54,27.00,63.53
38,21/05/1987,England,Kennington Oval,did not bat,-,-,-,,54,27.00,63.53
39,23/05/1987,England,Trent Bridge,did not bat,-,-,-,,54,27.00,63.53
40,25/05/1987,England,Edgbaston,b N A Foster,0,5,0.00,,54,18.00,60.00
41,08/10/1987,Sri Lanka,Niaz Stadium,did not bat,-,-,-,,54,18.00,60.00
42,12/10/1987,England,Pindi Club Ground,did not bat,-,-,-,,54,18.00,60.00
43,16/10/1987,West Indies,Gaddafi Stadium,run out,0,1,0.00,,54,13.50,59.34
44,20/10/1987,England,National Stadium (Karachi),did not bat,-,-,-,,54,13.50,59.34
45,25/10/1987,Sri Lanka,Iqbal Stadium,did not bat,-,-,-,,54,13.50,59.34
46,04/11/1987,Australia,Gaddafi Stadium,c †G C Dyer b C J McDermott,1,3,33.33,,55,11.00,58.51
47,22/11/1987,England,Arbab Niaz Stadium,not out,0*,0,-,,55,11.00,58.51
48,12/03/1988,West Indies,Sabina Park,did not bat,-,-,-,,55,11.00,58.51
49,18/10/1988,West Indies,Sharjah Cricket Stadium,did not bat,-,-,-,,55,11.00,58.51
50,19/10/1988,India,Sharjah Cricket Stadium,run out,2,3,66.67,,57,9.50,58.76
51,22/10/1988,West Indies,Sharjah Cricket Stadium,not out,0*,1,0.00,,57,9.50,58.16
52,27/10/1988,Sri Lanka,Bangabandhu National Stadium,did not bat,-,-,-,,57,9.50,58.16
53,29/10/1988,Bangladesh,MA Aziz Stadium,did not bat,-,-,-,,57,9.50,58.16
54,31/10/1988,India,Bangabandhu National Stadium,not out,7*,8,87.50,,64,10.67,60.38
55,10/12/1988,West Indies,Adelaide Oval,did not bat,-,-,-,,64,10.67,60.38
56,11/12/1988,Australia,Adelaide Oval,b T M Alderman,1,9,11.11,,65,9.29,56.52
57,17/12/1988,West Indies,Bellerive Oval,not out,0*,0,-,,65,9.29,56.52
58,01/01/1989,West Indies,WACA Ground,run out,12,27,44.44,,77,9.63,54.23
59,02/01/1989,Australia,WACA Ground,did not bat,-,-,-,,77,9.63,54.23
60,10/01/1989,Australia,Melbourne Cricket Ground,did not bat,-,-,-,,77,9.63,54.23
61,04/03/1989,New Zealand,AMI Stadium,not out,8*,6,133.33,,85,10.63,57.43
62,08/03/1989,New Zealand,Basin Reserve,did not bat,-,-,-,,85,10.63,57.43
63,11/03/1989,New Zealand,Eden Park,did not bat,-,-,-,,85,10.63,57.43
64,14/03/1989,New Zealand,Seddon Park,c †I D S Smith b W Watson,13,16,81.25,,98,10.89,59.76
65,23/03/1989,Sri Lanka,Sharjah Cricket Stadium,not out,6*,4,150.00,,104,11.56,61.90
66,24/03/1989,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,104,11.56,61.90
67,10/02/1990,Sri Lanka,Brisbane Cricket Ground,did not bat,-,-,-,,104,11.56,61.90
68,11/02/1990,Australia,Brisbane Cricket Ground,run out,1,3,33.33,,105,10.50,61.40
69,20/02/1990,Australia,Sydney Cricket Ground,not out,1*,2,50.00,,106,10.60,61.27
70,23/02/1990,Australia,Melbourne Cricket Ground,c P L Taylor b G D Campbell,10,43,23.26,,116,10.55,53.70
No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,No. of Innings Played = 25,,
