0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,5,5,1,0,1,1,59,145,36.25,83.33,5,0
AMI Stadium,1,1,0,0,0,0,44,44,44.00,151.72,3,0
Arun Jaitley Stadium,1,1,0,0,0,0,25,25,25.00,50.00,3,0
Brisbane Cricket Ground,3,3,0,0,0,0,33,73,24.33,82.02,5,0
Civil Service Cricket Club,2,1,1,0,1,0,60*,60,,125.00,0,0
Darren Sammy National Cricket Stadium,5,4,3,0,0,0,40*,123,123.00,139.77,6,0
Dubai International Cricket Stadium,11,9,0,0,3,0,91,293,32.56,75.71,2,2
Eden Park,2,2,0,0,0,0,13,21,10.50,55.26,0,0
Hagley Oval,1,1,0,0,1,0,59,59,59.00,83.10,0,0
Harare Sports Club,1,0,0,0,0,0,0,0,,,0,0
Headingley,1,1,0,0,0,0,28,28,28.00,121.74,0,0
Kennington Oval,1,1,0,0,0,0,14,14,14.00,70.00,0,0
Kensington Oval,1,1,0,0,0,0,30,30,30.00,111.11,0,0
Khan Shaheb Osman Ali Stadium,2,2,1,1,1,0,102*,176,176.00,109.32,2,0
Lord's,1,1,0,0,0,0,21,21,21.00,52.50,0,0
Mahinda Rajapaksha International Cricket Stadium,3,3,0,0,1,0,71,87,29.00,129.85,4,0
McLean Park,3,3,0,0,0,0,19,33,11.00,103.13,3,0
Melbourne Cricket Ground,1,1,1,0,0,0,18*,18,,90.00,0,0
Newlands,1,1,0,0,0,1,0,0,0.00,,2,1
Pallekele International Cricket Stadium,3,3,1,0,0,0,38,77,38.50,65.81,0,0
Providence Stadium,3,3,0,0,1,0,50,93,31.00,86.92,3,2
Punjab Cricket Association IS Bindra Stadium,1,1,0,0,0,0,29,29,29.00,120.83,1,0
Queens Sports Club,1,1,0,0,0,0,36,36,36.00,61.02,0,0
Queenstown Events Centre,1,0,0,0,0,0,0,0,,,0,0
R Premadasa Stadium,8,7,3,1,1,1,102*,265,66.25,92.01,3,0
Rangiri Dambulla International Stadium,6,6,0,0,2,0,66,192,32.00,85.33,4,0
Riverside Ground,1,1,0,0,0,0,43,43,43.00,130.30,0,0
Seddon Park,1,1,0,0,0,0,32,32,32.00,100.00,2,0
Sharjah Cricket Stadium,12,11,2,0,1,2,52,244,27.11,92.08,9,1
Sheikh Zayed Stadium,13,11,1,0,1,0,61*,245,24.50,72.27,9,4
Shere Bangla National Stadium,10,9,1,0,3,0,77,299,37.38,101.01,6,2
St George's Park,1,1,0,0,0,0,42,42,42.00,140.00,1,0
SuperSport Park,3,3,1,0,0,1,5,7,3.50,20.00,2,1
Sydney Cricket Ground,2,2,0,0,0,1,11,11,5.50,44.00,0,0
The Rose Bowl,1,1,0,0,0,0,19,19,19.00,55.88,0,0
WACA Ground,3,3,0,0,1,0,67,144,48.00,67.61,1,0
Wanderers Stadium,2,2,1,0,1,0,55,96,96.00,84.96,1,0
Westpac Stadium,2,2,0,0,0,1,13,13,6.50,50.00,0,0
Zahur Ahmed Chowdhury Stadium,1,1,0,0,1,0,57,57,57.00,67.86,0,0
Overall (39),121,110,17,2,20,8,102*,3194,34.34,86.05,77,13
