0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,04/11/2016,Hong Kong,Mission Road,b Ehsan Khan,2,9,22.22,,2,2.00,22.22
2,06/11/2016,Hong Kong,Mission Road,b Ehsan Khan,9,21,42.86,,11,5.50,36.67
3,08/11/2016,Hong Kong,Mission Road,c †C Carter b Aizaz Khan,16,30,53.33,,27,9.00,45.00
4,31/03/2017,United Arab Emirates,Sheikh Zayed Stadium,b Zahoor Khan,1,3,33.33,,28,7.00,44.44
5,05/10/2017,Scotland,Amini Park,c & b M A Leask,0,2,0.00,,28,5.60,43.08
6,24/11/2017,Scotland,Dubai International Cricket Stadium,not out,24*,52,46.15,,52,10.40,44.44
7,25/11/2017,Scotland,Dubai International Cricket Stadium,not out,9*,15,60.00,,61,12.20,46.21
8,06/12/2017,Hong Kong,ICC Global Cricket Academy,run out,12,14,85.71,,73,12.17,50.00
9,04/03/2018,United Arab Emirates,Harare Sports Club,b Amir Hayat,19,18,105.56,,92,13.14,56.10
10,06/03/2018,Ireland,Harare Sports Club,c P R Stirling b W B Rankin,25,40,62.50,,117,14.63,57.35
11,08/03/2018,West Indies,Old Hararians Sports Club,c †S D Hope b C R Brathwaite,1,8,12.50,,118,13.11,55.66
12,17/03/2018,Hong Kong,Old Hararians Sports Club,lbw b K D Shah,39,72,54.17,,157,15.70,55.28
13,27/04/2019,United States,Affies Park,b T K Patel,15,34,44.12,,172,15.64,54.09
14,14/08/2019,Oman,Mannofield Park,not out,29*,43,67.44,,201,18.27,55.68
15,17/08/2019,Scotland,Mannofield Park,b Hamza Tahir,6,11,54.55,,207,17.25,55.65
16,20/08/2019,Scotland,Mannofield Park,st M H Cross b M R J Watt,12,21,57.14,,219,16.85,55.73
17,21/08/2019,Oman,Mannofield Park,b Jay Odedra,29,55,52.73,,248,17.71,55.36
18,13/09/2019,United States,Central Broward Regional Park,did not bat,-,-,-,,248,17.71,55.36
19,19/09/2019,United States,Central Broward Regional Park,not out,13*,31,41.94,,261,18.64,54.49
20,22/09/2019,Namibia,Central Broward Regional Park,c Z Groenewald b B M Scholtz,4,17,23.53,,265,17.67,53.43
No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,No. of Innings Played = 19,,
