0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,09/11/2014,Hong Kong,Tony Ireland Stadium,Nadeem Ahmed (c T P Ura),9.3,4/60,,14.25,6.32,1,15.00
,,,,J J Atkinson (lbw),,,,,,2,
,,,,Irfan Ahmed (lbw),,,,,,3,
,,,,Aizaz Khan (b),,,,,,4,
2.0,04/11/2016,Hong Kong,Mission Road,C Carter (c †D Bau),10.0,1/46,,23.40,5.44,5,21.20
3.0,06/11/2016,Hong Kong,Mission Road,,7.0,0/29,,31.80,5.09,,27.00
4.0,08/11/2016,Hong Kong,Mission Road,,2.3,0/21,,34.80,5.38,,31.20
5.0,02/04/2017,United Arab Emirates,Sheikh Zayed Stadium,Mohammed Qasim (c †D Bau),5.0,2/20,,29.14,5.18,6,25.14
,,,,Imran Haider (lbw),,,,,,7,
6.0,04/04/2017,United Arab Emirates,Sheikh Zayed Stadium,,8.0,0/46,,36.00,5.29,,31.71
7.0,05/10/2017,Scotland,Amini Park,C S MacLeod (c M D Dai),10.0,3/57,,31.20,5.37,8,27.90
,,,,A C Evans (b),,,,,,9,
,,,,H G Munsey (lbw),,,,,,10,
8.0,08/10/2017,Scotland,Amini Park,S M Sharif (b),10.0,2/36,,31.00,5.08,11,26.25
,,,,M A Leask (lbw),,,,,,12,
9.0,24/11/2017,Scotland,Dubai International Cricket Stadium,,4.4,0/29,,33.33,5.16,,28.67
10.0,06/12/2017,Hong Kong,ICC Global Cricket Academy,Waqas Khan (b),10.0,2/54,,32.86,5.19,13,28.43
,,,,C Carter (lbw),,,,,,14,
11.0,04/03/2018,United Arab Emirates,Harare Sports Club,Ahmed Raza (c †J N T Vare),9.4,4/39,,28.78,5.06,15,24.28
,,,,Rohan Mustafa (c S Bau),,,,,,16,
,,,,Imran Haider (c V V Morea),,,,,,17,
,,,,Amir Hayat (c †J N T Vare),,,,,,18,
12.0,06/03/2018,Ireland,Harare Sports Club,K J O'Brien (b),10.0,1/60,,30.42,5.16,19,26.16
13.0,08/03/2018,West Indies,Old Hararians Sports Club,S O Hetmeyer (c A Vala),10.0,1/36,,31.90,5.01,20,26.65
14.0,17/03/2018,Hong Kong,Old Hararians Sports Club,Nadeem Ahmed (b),7.2,4/24,,28.42,4.90,21,23.21
,,,,Nizakat Khan (c J B Reva),,,,,,22,
,,,,Tanwir Afzal (c †K Doriga),,,,,,23,
,,,,S S McKechnie (c S Bau),,,,,,24,
15.0,27/04/2019,United States,Affies Park,J S Malhotra (b),10.0,4/37,,26.50,4.80,25,21.21
,,,,A Jones (c †K Doriga),,,,,,26,
,,,,Jasdeep Singh (lbw),,,,,,27,
,,,,S N Netravalkar (c C J A Amini),,,,,,28,
16.0,14/08/2019,Oman,Mannofield Park,,10.0,0/46,,28.64,4.79,,22.86
17.0,17/08/2019,Scotland,Mannofield Park,,3.0,0/18,,29.29,4.81,,23.50
18.0,20/08/2019,Scotland,Mannofield Park,H G Munsey (c A Vala),5.0,1/48,,29.31,4.98,29,24.34
19.0,21/08/2019,Oman,Mannofield Park,Jatinder Singh (c & b),6.4,1/39,,29.67,5.02,30,24.83
20.0,13/09/2019,United States,Central Broward Regional Park,J S Malhotra (c & b),6.0,1/43,,29.87,5.11,31,25.42
21.0,19/09/2019,United States,Central Broward Regional Park,J S Malhotra (c A Vala),5.0,1/17,,29.88,5.05,32,25.16
22.0,22/09/2019,Namibia,Central Broward Regional Park,J P Kotze (c N Pokana),9.2,1/26,,30.67,4.93,33,25.18
23.0,23/09/2019,Namibia,Central Broward Regional Park,Z E Green (c N Pokana),8.0,1/69,,31.18,5.09,34,26.47
