0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,9.0,0,62,3,0,3/62,20.67,18.00,6.89
Australia,12.0,0,64,1,0,1/35,64.00,72.00,5.33
Bangladesh,19.0,1,91,4,1,4/37,22.75,28.50,4.79
Canada,31.0,2,180,4,0,3/46,45.00,46.50,5.81
England,1.3,0,4,0,0,0/4,,,2.67
India,8.5,2,41,1,0,1/41,41.00,53.00,4.64
Ireland,36.0,4,156,4,0,2/29,39.00,54.00,4.33
Kenya,37.0,1,175,6,0,3/28,29.17,37.00,4.73
Netherlands,25.0,2,122,12,1,5/22,10.17,12.50,4.88
New Zealand,12.0,0,93,4,0,3/53,23.25,18.00,7.75
Pakistan,16.0,0,90,0,0,0/41,,,5.63
South Africa,4.0,0,32,0,0,0/32,,,8.00
West Indies,10.1,0,63,2,0,2/36,31.50,30.50,6.20
Overall (13),221.3,12,1173,41,2,5/22,28.61,32.41,5.30
