0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,46.3,7,213,14,2,6/28,15.21,19.93,4.58
Australia,5.0,1,38,1,0,1/38,38.00,30.00,7.60
Bangladesh,10.0,0,68,2,0,2/68,34.00,30.00,6.80
Canada,6.0,1,37,1,0,1/37,37.00,36.00,6.17
England,16.0,0,121,7,1,4/68,17.29,13.71,7.56
Hong Kong,18.0,2,90,1,0,1/33,90.00,108.00,5.00
Ireland,35.2,4,150,7,0,3/41,21.43,30.29,4.25
Netherlands,18.0,0,67,4,0,3/27,16.75,27.00,3.72
New Zealand,7.0,0,40,3,0,3/40,13.33,14.00,5.71
Sri Lanka,17.0,1,108,4,0,3/63,27.00,25.50,6.35
United Arab Emirates,13.0,0,66,2,0,2/17,33.00,39.00,5.08
Zimbabwe,8.0,2,16,1,0,1/16,16.00,48.00,2.00
Overall (12),199.5,18,1014,47,3,6/28,21.57,25.51,5.07
