0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Bert Sutcliffe Oval,10.0,0,45,0,0,0/45,,,4.50
Cambusdoon New Ground,24.0,1,89,3,0,2/19,29.67,48.00,3.71
Castle Avenue,10.0,0,47,5,1,4/28,9.40,12.00,4.70
Civil Service Cricket Club,30.0,2,124,7,0,3/26,17.71,25.71,4.13
Dubai International Cricket Stadium,10.0,1,42,1,0,1/42,42.00,60.00,4.20
Grange Cricket Club,60.0,1,302,9,0,3/38,33.56,40.00,5.03
Gymkhana Club Ground,28.0,1,115,6,0,3/26,19.17,28.00,4.11
Hagley Oval,25.0,2,108,3,0,1/19,36.00,50.00,4.32
Hazelaarweg,10.0,0,28,0,0,0/28,,,2.80
Jaffrey Sports Club Ground,8.0,1,35,1,0,1/35,35.00,48.00,4.38
Mannofield Park,69.0,3,250,7,1,4/33,35.71,59.14,3.62
Mombasa Sports Ground,28.0,0,119,2,0,1/40,59.50,84.00,4.25
Ruaraka Sports Club Ground,19.0,0,102,1,0,1/51,102.00,114.00,5.37
Saxton Oval,10.0,0,49,0,0,0/49,,,4.90
Sharjah Cricket Stadium,17.0,1,61,1,0,1/33,61.00,102.00,3.59
Shere Bangla National Stadium,9.0,0,57,2,0,2/57,28.50,27.00,6.33
The Village,26.0,0,137,5,1,5/54,27.40,31.20,5.27
Titwood,6.0,0,32,1,0,1/32,32.00,36.00,5.33
University Oval,14.0,0,66,2,0,1/21,33.00,42.00,4.71
Warner Park,16.5,0,121,4,0,2/43,30.25,25.25,7.19
Willowmoore Park,9.0,1,46,0,0,0/46,,,5.11
Overall (21),438.5,14,1975,60,3,5/54,32.92,43.88,4.50
